test_index,true,predicted,confidence,margin,true_class_prob,true_rank
1452,seaUrchin,seaAnemone,1.0,1.0,0.0,4
1470,shark,turtle,1.0,1.0,0.0,3
1414,seaSlug,eel,1.0,1.0,0.0,10
1425,seaSlug,flatworm,1.0,1.0,0.0,2
929,fish,eel,1.0,1.0,0.0,3
1605,turtle,shark,1.0,1.0,0.0,5
505,fish,shark,1.0,1.0,0.0,3
1031,flatworm,seaSlug,1.0,1.0,0.0,2
769,fish,rayfish,1.0,1.0,0.0,4
1276,seaAnemone,seaUrchin,1.0,1.0,0.0,4
1293,seaAnemone,fish,1.0,1.0,0.0,2
1029,flatworm,seaSlug,1.0,1.0,0.0,2
593,fish,fishInGroups,0.9999,0.9998,1e-04,2
1273,seaAnemone,seaUrchin,0.9999,0.9999,0.0,2
516,fish,eel,0.9998,0.9997,0.0,4
1079,octopus,squid,0.9998,0.9996,0.0002,2
391,eel,starfish,0.9997,0.9994,0.0,3
399,eel,crab,0.9997,0.9995,0.0,5
1155,rayfish,octopus,0.9996,0.9993,0.0,3
293,coral,seaUrchin,0.9994,0.9991,0.0003,2
329,coral,seaUrchin,0.999,0.9984,0.0005,2
423,fish,eel,0.9986,0.9971,0.0014,2
1048,jellyfish,seaCucumber,0.9984,0.9971,0.0,19
509,fish,eel,0.9983,0.9967,0.0016,2
311,coral,starfish,0.9983,0.9975,0.0006,3
493,fish,fishInGroups,0.9982,0.9964,0.0017,2
595,fish,fishInGroups,0.9978,0.9958,0.002,2
722,fish,seaAnemone,0.996,0.9929,0.0009,3
1066,marine_dolphin,shark,0.9959,0.9932,0.0003,4
424,fish,seaCucumber,0.9957,0.9934,1e-04,6
592,fish,shrimp,0.9956,0.9921,1e-04,6
374,eel,turtle,0.9952,0.9938,0.0005,6
3,coral,seaAnemone,0.9928,0.9858,0.007,2
1398,seaCucumber,starfish,0.9927,0.9889,0.001,4
1495,squid,jellyfish,0.9916,0.9896,0.0006,6
857,fish,starfish,0.9914,0.9854,0.0017,3
515,fish,starfish,0.9903,0.9837,1e-04,5
461,fish,turtle,0.9875,0.9791,0.002,3
1068,marine_dolphin,shark,0.9875,0.9753,0.0121,2
726,fish,seaAnemone,0.9872,0.9771,0.0101,2
452,fish,seaSlug,0.9861,0.9797,0.0016,4
1478,shrimp,flatworm,0.9854,0.9709,0.0,8
341,coral,starfish,0.9853,0.9786,0.0013,5
192,coral,rayfish,0.985,0.9802,0.0015,5
916,fish,eel,0.9839,0.9689,0.0004,3
345,coral,seaSlug,0.9836,0.9685,0.0003,4
1088,rayfish,marine_dolphin,0.9813,0.9632,0.0006,3
1163,rayfish,shark,0.9735,0.9514,0.0221,2
1061,marine_dolphin,fishInGroups,0.9729,0.9472,0.0009,3
1490,squid,octopus,0.9725,0.945,0.0275,2
45,coral,seaCucumber,0.9695,0.9458,0.0014,4
521,fish,jellyfish,0.9688,0.9531,0.0073,3
581,fish,fishInGroups,0.967,0.947,0.02,2
945,fish,eel,0.9656,0.943,0.0226,2
705,fish,seaSlug,0.9648,0.9504,0.008,3
1604,turtle,fishInGroups,0.9646,0.9379,0.0051,3
447,fish,eel,0.9575,0.9428,0.0043,5
804,fish,seaAnemone,0.9564,0.9309,0.0255,2
803,fish,seaAnemone,0.9511,0.9225,0.0287,2
1242,seaAnemone,fish,0.9487,0.9297,0.019,2
543,fish,turtle,0.9431,0.9196,0.0235,2
1430,seaUrchin,starfish,0.9335,0.8704,0.063,2
24,coral,seaAnemone,0.933,0.872,0.0058,3
1103,rayfish,eel,0.9293,0.8587,0.0,3
398,eel,starfish,0.9248,0.8524,0.0724,2
879,fish,crab,0.9247,0.884,0.0408,2
425,fish,eel,0.9225,0.8707,0.0517,2
282,coral,seaCucumber,0.9225,0.8797,0.0024,5
104,coral,fishInGroups,0.9157,0.8396,0.0761,2
296,coral,starfish,0.914,0.8841,0.0233,3
80,coral,seaAnemone,0.9103,0.8532,0.0326,3
884,fish,seaAnemone,0.9103,0.824,0.0864,2
1535,starfish,flatworm,0.9103,0.8578,0.0031,7
1070,marine_dolphin,shark,0.9092,0.8247,0.0,7
1032,flatworm,seaSlug,0.9085,0.8642,0.0443,2
316,coral,seaUrchin,0.9043,0.839,0.0249,3
371,diver,fishInGroups,0.9035,0.8289,0.0004,5
1610,turtle,fish,0.903,0.8649,0.0133,5
1104,rayfish,fish,0.9023,0.8318,0.0705,2
1284,seaAnemone,fishInGroups,0.9015,0.8528,0.0121,4
963,fishInGroups,crab,0.9001,0.848,0.052,2
1208,seaAnemone,jellyfish,0.8992,0.8256,0.0736,2
12,coral,diver,0.8954,0.8269,0.0297,3
917,fish,seaAnemone,0.8925,0.8297,0.0426,3
1464,shark,marine_dolphin,0.8915,0.8282,0.0634,2
1065,marine_dolphin,shark,0.887,0.8507,0.0363,2
894,fish,seaAnemone,0.8841,0.8007,0.0834,2
