,coral,crab,diver,eel,fish,fishInGroups,flatworm,jellyfish,marine_dolphin,octopus,rayfish,seaAnemone,seaCucumber,seaSlug,seaUrchin,shark,shrimp,squid,starfish,turtle
coral,200,3,2,24,12,16,2,0,0,0,21,32,8,4,6,0,0,0,13,5
crab,0,6,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
diver,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
eel,0,1,0,25,1,0,0,0,0,0,2,0,0,4,0,0,0,0,5,3
fish,29,6,0,32,331,34,2,8,1,0,20,32,1,8,3,11,2,0,6,12
fishInGroups,7,1,2,0,5,52,0,1,0,0,0,0,0,0,1,3,0,0,0,0
flatworm,0,0,0,2,0,1,2,0,0,0,0,0,1,6,0,0,0,0,1,0
jellyfish,0,0,0,0,1,1,0,21,0,0,0,0,1,0,1,0,0,0,0,0
marine_dolphin,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,0,0,0
octopus,0,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0
rayfish,2,0,1,6,3,0,0,0,1,2,70,0,1,1,0,3,0,0,2,3
seaAnemone,15,0,0,1,13,1,0,1,0,1,2,184,0,0,3,0,0,0,0,0
seaCucumber,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0
seaSlug,0,0,0,2,2,0,2,0,0,0,0,1,1,11,0,0,0,0,0,1
seaUrchin,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26,0,0,0,1,0
shark,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,12,0,0,0,1
shrimp,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0
squid,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,3,0,0
starfish,0,0,0,2,0,0,1,0,0,0,1,0,1,1,1,0,0,0,33,0
turtle,1,0,1,2,3,1,0,0,1,0,1,0,1,1,0,3,1,0,0,60
