true,predicted,count,pct_of_true_class
fish,fishInGroups,34,6.32
coral,seaAnemone,32,9.2
fish,eel,32,5.95
fish,seaAnemone,32,5.95
fish,coral,29,5.39
coral,eel,24,6.9
coral,rayfish,21,6.03
fish,rayfish,20,3.72
coral,fishInGroups,16,4.6
seaAnemone,coral,15,6.79
seaAnemone,fish,13,5.88
coral,starfish,13,3.74
fish,turtle,12,2.23
coral,fish,12,3.45
fish,shark,11,2.04
fish,seaSlug,8,1.49
coral,seaCucumber,8,2.3
fish,jellyfish,8,1.49
fishInGroups,coral,7,9.72
marine_dolphin,shark,7,70.0
coral,seaUrchin,6,1.72
fish,starfish,6,1.12
fish,crab,6,1.12
flatworm,seaSlug,6,46.15
rayfish,eel,6,6.32
eel,starfish,5,12.2
fishInGroups,fish,5,6.94
coral,turtle,5,1.44
coral,seaSlug,4,1.15
eel,seaSlug,4,9.76
eel,turtle,3,7.32
coral,crab,3,0.86
rayfish,shark,3,3.16
rayfish,fish,3,3.16
rayfish,turtle,3,3.16
seaAnemone,seaUrchin,3,1.36
fishInGroups,shark,3,4.17
fish,seaUrchin,3,0.56
squid,jellyfish,3,30.0
seaCucumber,eel,3,30.0
turtle,fish,3,3.95
squid,octopus,3,30.0
shark,fishInGroups,3,15.79
turtle,shark,3,3.95
rayfish,starfish,2,2.11
seaAnemone,rayfish,2,0.9
fish,flatworm,2,0.37
fishInGroups,diver,2,2.78
crab,fish,2,18.18
coral,flatworm,2,0.57
coral,diver,2,0.57
fish,shrimp,2,0.37
flatworm,eel,2,15.38
eel,rayfish,2,4.88
crab,rayfish,2,18.18
seaSlug,fish,2,10.0
shark,marine_dolphin,2,10.53
seaSlug,eel,2,10.0
seaSlug,flatworm,2,10.0
seaCucumber,starfish,2,20.0
rayfish,octopus,2,2.11
marine_dolphin,fishInGroups,2,20.0
rayfish,coral,2,2.11
octopus,fish,2,20.0
turtle,eel,2,2.63
starfish,eel,2,5.0
jellyfish,seaCucumber,1,4.0
diver,fishInGroups,1,7.69
eel,crab,1,2.44
diver,shark,1,7.69
diver,jellyfish,1,7.69
eel,fish,1,2.44
crab,eel,1,9.09
jellyfish,fishInGroups,1,4.0
jellyfish,fish,1,4.0
flatworm,starfish,1,7.69
flatworm,seaCucumber,1,7.69
flatworm,fishInGroups,1,7.69
fishInGroups,jellyfish,1,1.39
fishInGroups,seaUrchin,1,1.39
fishInGroups,crab,1,1.39
fish,seaCucumber,1,0.19
fish,marine_dolphin,1,0.19
rayfish,marine_dolphin,1,1.05
octopus,eel,1,10.0
jellyfish,seaUrchin,1,4.0
octopus,squid,1,10.0
octopus,starfish,1,10.0
seaCucumber,shrimp,1,10.0
seaAnemone,fishInGroups,1,0.45
seaAnemone,jellyfish,1,0.45
seaAnemone,octopus,1,0.45
seaAnemone,eel,1,0.45
rayfish,diver,1,1.05
rayfish,seaCucumber,1,1.05
rayfish,seaSlug,1,1.05
shark,eel,1,5.26
seaUrchin,starfish,1,3.45
seaUrchin,seaAnemone,1,3.45
seaUrchin,fish,1,3.45
shrimp,flatworm,1,9.09
seaSlug,seaAnemone,1,5.0
seaSlug,turtle,1,5.0
seaSlug,seaCucumber,1,5.0
squid,rayfish,1,10.0
shark,turtle,1,5.26
shrimp,eel,1,9.09
starfish,flatworm,1,2.5
starfish,seaSlug,1,2.5
starfish,seaUrchin,1,2.5
starfish,seaCucumber,1,2.5
starfish,rayfish,1,2.5
turtle,diver,1,1.32
turtle,coral,1,1.32
turtle,marine_dolphin,1,1.32
turtle,fishInGroups,1,1.32
turtle,rayfish,1,1.32
turtle,seaCucumber,1,1.32
turtle,seaSlug,1,1.32
turtle,shrimp,1,1.32
