stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
1,1,5.45897,0.07242,3.08736,0.06707,0.03231,0.001,55.3,True
1,2,3.06695,0.06804,2.93325,0.3468,0.05598,0.001,104.5,True
1,3,3.07213,0.06975,2.96563,0.3407,0.05163,0.001,153.5,False
1,4,3.23474,0.06613,2.93992,0.01524,0.03593,0.001,202.8,False
1,5,3.14526,0.07242,2.94816,0.01296,0.04925,0.001,251.6,False
1,6,3.10587,0.07052,2.95493,0.00991,0.03251,0.0001,300.7,False
1,7,2.97456,0.06175,2.94983,0.0122,0.03666,0.0001,349.3,False
1,8,2.94958,0.07242,2.96001,0.01448,0.03758,0.0001,398.6,False
1,9,2.94565,0.07471,2.97739,0.01601,0.03579,0.0001,448.2,False
1,10,2.9441,0.07395,2.97367,0.01524,0.03593,1e-05,498.1,False
1,11,2.93345,0.07318,2.97227,0.01524,0.03662,1e-05,547.2,False
1,12,2.91433,0.0789,2.97596,0.01524,0.03526,1e-05,596.0,False
1,13,2.91027,0.08462,2.98073,0.01524,0.03462,1e-05,645.5,False
1,14,2.93764,0.07071,2.97335,0.01524,0.03593,1.0000000000000002e-06,694.3,False
1,15,2.92662,0.07662,2.97261,0.01524,0.03662,1.0000000000000002e-06,742.7,False
1,16,2.92584,0.07566,2.97166,0.01524,0.03733,1.0000000000000002e-06,792.6,False
1,17,2.93588,0.07338,2.97116,0.01524,0.03808,1.0000000000000002e-06,841.2,False
1,18,2.92981,0.06899,2.97109,0.01524,0.03808,1.0000000000000002e-07,890.2,False
1,19,2.91127,0.07738,2.97111,0.01524,0.03808,1.0000000000000002e-07,938.7,False
1,20,2.91868,0.07852,2.97114,0.01524,0.03808,1.0000000000000002e-07,987.4,False
1,21,2.92023,0.08005,2.97124,0.01524,0.03808,1.0000000000000002e-07,1036.5,False
1,22,2.92303,0.06956,2.97126,0.01524,0.03808,1.0000000000000002e-07,1085.6,False
1,23,2.93313,0.07509,2.97123,0.01524,0.03808,1.0000000000000002e-07,1134.6,False
1,24,2.9143,0.08081,2.97126,0.01524,0.03808,1.0000000000000002e-07,1184.5,False
1,25,2.90843,0.07719,2.9713,0.01524,0.03808,1.0000000000000002e-07,1233.9,False
2,1,3.00787,0.07242,2.95976,0.00762,0.02655,1e-05,1352.0,False
2,2,2.98069,0.07204,3.06769,0.01753,0.03196,1e-05,1450.4,False
2,3,2.93979,0.07738,2.99776,0.02591,0.03866,1e-05,1548.9,False
2,4,2.91823,0.08386,2.96291,0.23552,0.0545,1e-05,1648.1,False
2,5,2.99296,0.09243,2.934,0.01753,0.04457,1e-05,1749.7,False
2,6,2.91522,0.13227,3.92663,0.0625,0.06977,1e-05,1852.5,True
2,7,2.37585,0.24033,3.0582,0.17835,0.13426,1e-05,1956.5,True
2,8,2.25064,0.28111,2.92811,0.18979,0.16566,1e-05,2060.9,True
2,9,2.07735,0.31771,2.26013,0.23857,0.197,1e-05,2164.9,True
2,10,1.95451,0.35125,2.86015,0.16463,0.18856,1e-05,2267.6,False
2,11,1.84859,0.39241,2.31596,0.24543,0.23032,1e-05,2371.8,True
2,12,1.72304,0.43396,2.24338,0.23628,0.24531,1e-05,2475.8,True
2,13,1.65079,0.47246,2.19785,0.30183,0.25554,1e-05,2579.7,True
2,14,1.56167,0.48733,2.20744,0.32165,0.28741,1e-05,2683.6,True
2,15,1.49383,0.5243,2.05867,0.38491,0.31733,1e-05,2787.5,True
2,16,1.39605,0.55822,1.89684,0.41311,0.37104,1e-05,2891.4,True
2,17,1.35644,0.57919,1.95446,0.42454,0.35767,1e-05,2994.8,False
2,18,1.30967,0.5952,2.07234,0.39253,0.35918,1e-05,3097.8,False
2,19,1.26713,0.60797,1.97327,0.41692,0.36086,1e-05,3200.1,False
2,20,1.15946,0.63865,1.96622,0.41235,0.36075,1e-05,3302.4,False
2,21,1.13795,0.63865,1.68817,0.49466,0.42368,1e-05,3406.6,True
2,22,1.11347,0.67067,1.79123,0.49162,0.42859,1e-05,3510.4,True
2,23,1.013,0.69335,1.84565,0.47256,0.41545,1e-05,3612.8,False
2,24,0.97451,0.70745,1.58066,0.54192,0.45084,1e-05,3716.7,True
2,25,0.93142,0.71527,1.57165,0.55259,0.45968,1e-05,3820.7,True
2,26,0.92315,0.71488,1.48453,0.56326,0.43557,1e-05,3923.3,False
2,27,0.89022,0.72499,1.56113,0.56707,0.47893,1e-05,4027.2,True
2,28,0.84692,0.73871,1.51197,0.56479,0.49672,1e-05,4132.1,True
2,29,0.85337,0.74404,1.39136,0.58079,0.48674,1e-05,4235.6,False
2,30,0.80332,0.76082,1.37723,0.59756,0.48625,1e-05,4337.7,False
2,31,0.77281,0.75395,1.51192,0.57317,0.48186,1e-05,4440.5,False
2,32,0.7614,0.77282,1.60226,0.55259,0.48985,1e-05,4543.1,False
2,33,0.7339,0.77873,1.52152,0.57622,0.48948,1e-05,4645.7,False
2,34,0.74026,0.78216,1.66515,0.58689,0.4895,1.0000000000000002e-06,4749.0,False
2,35,0.70875,0.7875,1.34974,0.62881,0.52079,1.0000000000000002e-06,4852.9,True
2,36,0.62455,0.81094,1.36742,0.6311,0.52797,1.0000000000000002e-06,4956.9,True
2,37,0.61525,0.81037,1.36043,0.62576,0.52716,1.0000000000000002e-06,5059.4,False
2,38,0.60668,0.81246,1.37669,0.6372,0.54289,1.0000000000000002e-06,5163.5,True
2,39,0.62114,0.80446,1.33385,0.64024,0.54763,1.0000000000000002e-06,5267.8,True
2,40,0.5915,0.8178,1.31721,0.64558,0.53788,1.0000000000000002e-06,5370.2,False
2,41,0.61605,0.80827,1.28991,0.6372,0.54041,1.0000000000000002e-06,5473.1,False
2,42,0.60452,0.81685,1.33387,0.64101,0.54174,1.0000000000000002e-06,5575.4,False
2,43,0.583,0.81723,1.32154,0.64101,0.52514,1.0000000000000002e-06,5678.1,False
2,44,0.5559,0.82809,1.3148,0.64634,0.55076,1.0000000000000002e-06,5782.1,True
2,45,0.59691,0.81037,1.27862,0.64558,0.54727,1.0000000000000002e-06,5884.6,False
2,46,0.5667,0.82276,1.34104,0.63948,0.54165,1.0000000000000002e-06,5987.4,False
2,47,0.5719,0.81971,1.28828,0.64634,0.54823,1.0000000000000002e-06,6089.6,False
2,48,0.56873,0.82352,1.27857,0.65396,0.5669,1.0000000000000002e-06,6193.6,True
2,49,0.57396,0.82199,1.2719,0.64787,0.5692,1.0000000000000002e-06,6298.4,True
2,50,0.55501,0.82733,1.27539,0.64939,0.56978,1.0000000000000002e-06,6402.9,True
2,51,0.54655,0.83057,1.2848,0.65473,0.55837,1.0000000000000002e-06,6505.2,False
2,52,0.53194,0.82981,1.26556,0.65701,0.5511,1.0000000000000002e-06,6608.2,False
2,53,0.5397,0.83324,1.25473,0.65854,0.55732,1.0000000000000002e-06,6710.4,False
2,54,0.5581,0.82809,1.24099,0.65473,0.55985,1.0000000000000002e-06,6812.8,False
2,55,0.55504,0.82504,1.19207,0.64939,0.56421,1.0000000000000002e-06,6916.1,False
2,56,0.5241,0.83305,1.23792,0.65625,0.57221,1.0000000000000002e-06,7020.2,True
2,57,0.51798,0.83762,1.27715,0.64939,0.55468,1.0000000000000002e-06,7122.8,False
2,58,0.53143,0.83457,1.26537,0.65168,0.54885,1.0000000000000002e-06,7225.7,False
2,59,0.54824,0.82733,1.25501,0.6532,0.55506,1.0000000000000002e-06,7327.7,False
2,60,0.5442,0.82924,1.24042,0.66616,0.56442,1.0000000000000002e-06,7430.2,False
2,61,0.49613,0.84029,1.24107,0.65701,0.55099,1.0000000000000002e-06,7532.4,False
2,62,0.50727,0.84486,1.23994,0.65473,0.5482,1.0000000000000002e-07,7634.9,False
