file,test_index,true,predicted,confidence,correct
err_000_coral-as-seaUrchin.png,293,coral,seaUrchin,0.9994,False
err_001_crab-as-fish.png,356,crab,fish,0.6627,False
err_002_diver-as-fishInGroups.png,371,diver,fishInGroups,0.9035,False
err_003_eel-as-starfish.png,391,eel,starfish,0.9997,False
err_004_fish-as-rayfish.png,769,fish,rayfish,1.0,False
err_005_fishInGroups-as-crab.png,963,fishInGroups,crab,0.9001,False
err_006_flatworm-as-seaSlug.png,1029,flatworm,seaSlug,1.0,False
err_007_jellyfish-as-seaCucumber.png,1048,jellyfish,seaCucumber,0.9984,False
err_008_marine_dolphin-as-shark.png,1066,marine_dolphin,shark,0.9959,False
err_009_octopus-as-squid.png,1079,octopus,squid,0.9998,False
err_010_rayfish-as-octopus.png,1155,rayfish,octopus,0.9996,False
err_011_seaAnemone-as-seaUrchin.png,1276,seaAnemone,seaUrchin,1.0,False
err_012_seaCucumber-as-starfish.png,1398,seaCucumber,starfish,0.9927,False
err_013_seaSlug-as-flatworm.png,1425,seaSlug,flatworm,1.0,False
err_014_seaUrchin-as-seaAnemone.png,1452,seaUrchin,seaAnemone,1.0,False
err_015_shark-as-turtle.png,1470,shark,turtle,1.0,False
err_016_shrimp-as-flatworm.png,1478,shrimp,flatworm,0.9854,False
err_017_squid-as-jellyfish.png,1495,squid,jellyfish,0.9916,False
err_018_starfish-as-flatworm.png,1535,starfish,flatworm,0.9103,False
err_019_turtle-as-shark.png,1605,turtle,shark,1.0,False
zz_ok_020_coral-as-coral.png,125,coral,coral,1.0,True
zz_ok_021_crab-as-crab.png,349,crab,crab,1.0,True
zz_ok_022_diver-as-diver.png,360,diver,diver,1.0,True
zz_ok_023_eel-as-eel.png,381,eel,eel,1.0,True
zz_ok_024_fish-as-fish.png,615,fish,fish,1.0,True
zz_ok_025_fishInGroups-as-fishInGroups.png,990,fishInGroups,fishInGroups,1.0,True
zz_ok_026_flatworm-as-flatworm.png,1028,flatworm,flatworm,1.0,True
zz_ok_027_jellyfish-as-jellyfish.png,1037,jellyfish,jellyfish,1.0,True
zz_ok_028_marine_dolphin-as-marine_dolphin.png,1069,marine_dolphin,marine_dolphin,0.9999,True
zz_ok_029_octopus-as-octopus.png,1077,octopus,octopus,1.0,True
zz_ok_030_rayfish-as-rayfish.png,1113,rayfish,rayfish,1.0,True
zz_ok_031_seaAnemone-as-seaAnemone.png,1249,seaAnemone,seaAnemone,1.0,True
zz_ok_032_seaCucumber-as-seaCucumber.png,1400,seaCucumber,seaCucumber,1.0,True
zz_ok_033_seaSlug-as-seaSlug.png,1416,seaSlug,seaSlug,1.0,True
zz_ok_034_seaUrchin-as-seaUrchin.png,1427,seaUrchin,seaUrchin,1.0,True
zz_ok_035_shark-as-shark.png,1458,shark,shark,1.0,True
zz_ok_036_shrimp-as-shrimp.png,1477,shrimp,shrimp,1.0,True
zz_ok_037_squid-as-squid.png,1488,squid,squid,1.0,True
zz_ok_038_starfish-as-starfish.png,1496,starfish,starfish,1.0,True
zz_ok_039_turtle-as-turtle.png,1539,turtle,turtle,1.0,True
