class,support,precision,recall,f1,top3_recall,mean_conf_correct,mean_conf_wrong,mean_true_prob_when_wrong
marine_dolphin,10,0.1667,0.1,0.125,0.6,0.9999,0.8231,0.0258
flatworm,13,0.2,0.1538,0.1739,0.6154,0.7212,0.6605,0.1062
seaCucumber,10,0.2105,0.4,0.2759,0.6,0.7314,0.5213,0.117
eel,41,0.2427,0.6098,0.3472,0.8537,0.7935,0.654,0.1323
seaSlug,20,0.3056,0.55,0.3929,0.7,0.9482,0.5941,0.0436
shark,19,0.3,0.6316,0.4068,0.7895,0.917,0.7001,0.0698
crab,11,0.3529,0.5455,0.4286,0.6364,0.9059,0.5262,0.0229
squid,10,0.75,0.3,0.4286,0.7,1.0,0.6898,0.1223
octopus,10,0.4545,0.5,0.4762,0.7,0.9948,0.6792,0.0435
fishInGroups,72,0.4643,0.7222,0.5652,0.9722,0.8217,0.5333,0.2095
starfish,40,0.5156,0.825,0.6346,0.925,0.98,0.6545,0.0887
rayfish,95,0.5833,0.7368,0.6512,0.9263,0.8176,0.583,0.1113
coral,348,0.7874,0.5747,0.6645,0.8793,0.696,0.5188,0.1471
diver,13,0.625,0.7692,0.6897,0.9231,0.9797,0.5811,0.1198
jellyfish,25,0.6,0.84,0.7,0.92,0.9569,0.6833,0.0618
fish,538,0.8803,0.6152,0.7243,0.9312,0.8162,0.5847,0.1554
seaUrchin,29,0.6341,0.8966,0.7429,0.9655,0.9512,0.8642,0.1234
turtle,76,0.7059,0.7895,0.7453,0.8684,0.9053,0.5683,0.0688
shrimp,11,0.6923,0.8182,0.75,0.8182,0.8958,0.5783,0.0108
seaAnemone,221,0.736,0.8326,0.7813,0.9638,0.8442,0.5373,0.1571
