test_index,model,method_a,method_b,spearman,iou_top10
3,resnet50,gradcam,lime,0.16684,0.37527
3,resnet50,gradcam,shap,0.07657,0.1388
3,resnet50,lime,shap,0.02279,0.14727
3,resnet50,gradcam,random,0.00216,0.05333
319,resnet50,gradcam,lime,0.17641,0.12602
319,resnet50,gradcam,shap,0.03325,0.06836
319,resnet50,lime,shap,-0.00116,0.06371
319,resnet50,gradcam,random,-0.00154,0.05134
341,resnet50,gradcam,lime,0.03289,0.0
341,resnet50,gradcam,shap,-0.00157,0.05333
341,resnet50,lime,shap,0.00298,0.0662
341,resnet50,gradcam,random,0.0052,0.05521
350,resnet50,gradcam,lime,0.05563,0.07742
350,resnet50,gradcam,shap,0.05137,0.09577
350,resnet50,lime,shap,0.00544,0.05289
350,resnet50,gradcam,random,-0.0028,0.05002
354,resnet50,gradcam,lime,0.22865,0.47277
354,resnet50,gradcam,shap,0.0641,0.1352
354,resnet50,lime,shap,0.04482,0.12313
354,resnet50,gradcam,random,0.00437,0.05377
360,resnet50,gradcam,lime,0.21663,0.04805
360,resnet50,gradcam,shap,0.06323,0.0947
360,resnet50,lime,shap,0.02913,0.12124
360,resnet50,gradcam,random,0.00067,0.052
386,resnet50,gradcam,lime,0.46175,0.19381
386,resnet50,gradcam,shap,0.07502,0.10616
386,resnet50,lime,shap,0.03985,0.12881
386,resnet50,gradcam,random,0.0023,0.05432
581,resnet50,gradcam,lime,0.30203,0.21905
581,resnet50,gradcam,shap,0.03522,0.10082
581,resnet50,lime,shap,0.00702,0.07453
581,resnet50,gradcam,random,0.00483,0.05134
593,resnet50,gradcam,lime,0.5643,0.14295
593,resnet50,gradcam,shap,0.05594,0.07985
593,resnet50,lime,shap,0.06879,0.12124
593,resnet50,gradcam,random,0.00776,0.05565
713,resnet50,gradcam,lime,0.26856,0.3492
713,resnet50,gradcam,shap,0.08154,0.13187
713,resnet50,lime,shap,0.02704,0.14361
713,resnet50,gradcam,random,0.00176,0.05134
718,resnet50,gradcam,lime,0.16947,0.0001
718,resnet50,gradcam,shap,0.01177,0.05688
718,resnet50,lime,shap,0.01499,0.05222
718,resnet50,gradcam,random,-0.00921,0.05255
725,resnet50,gradcam,lime,0.19167,0.29154
725,resnet50,gradcam,shap,0.09015,0.14387
725,resnet50,lime,shap,0.03299,0.13725
725,resnet50,gradcam,random,0.0039,0.05399
784,resnet50,gradcam,lime,0.50102,0.3089
784,resnet50,gradcam,shap,0.06766,0.1639
784,resnet50,lime,shap,0.034,0.09998
784,resnet50,gradcam,random,0.01458,0.05211
944,resnet50,gradcam,lime,0.5106,0.32971
944,resnet50,gradcam,shap,0.07822,0.15241
944,resnet50,lime,shap,0.05715,0.1388
944,resnet50,gradcam,random,-0.00031,0.05499
1008,resnet50,gradcam,lime,0.08648,0.06349
1008,resnet50,gradcam,shap,0.01389,0.06
1008,resnet50,lime,shap,0.00413,0.05599
1008,resnet50,gradcam,random,0.00304,0.0541
1025,resnet50,gradcam,lime,0.34804,0.15188
1025,resnet50,gradcam,shap,0.08485,0.12945
1025,resnet50,lime,shap,0.06434,0.0773
1025,resnet50,gradcam,random,0.00073,0.05156
1031,resnet50,gradcam,lime,0.46937,0.08852
1031,resnet50,gradcam,shap,0.06399,0.07788
1031,resnet50,lime,shap,0.01399,0.03743
1031,resnet50,gradcam,random,-0.00354,0.04947
1037,resnet50,gradcam,lime,-0.26676,0.01858
1037,resnet50,gradcam,shap,0.05247,0.10276
1037,resnet50,lime,shap,0.0059,0.06292
1037,resnet50,gradcam,random,0.00097,0.05145
1039,resnet50,gradcam,lime,0.46622,0.27659
1039,resnet50,gradcam,shap,0.04818,0.10373
1039,resnet50,lime,shap,0.02276,0.09434
1039,resnet50,gradcam,random,0.00424,0.05167
1067,resnet50,gradcam,lime,0.34847,0.1297
1067,resnet50,gradcam,shap,0.04374,0.03209
1067,resnet50,lime,shap,0.02545,0.0322
1067,resnet50,gradcam,random,-0.00914,0.053
1069,resnet50,gradcam,lime,0.38512,0.0
1069,resnet50,gradcam,shap,0.01664,0.04783
1069,resnet50,lime,shap,0.01743,0.05933
1069,resnet50,gradcam,random,0.00066,0.05477
1070,resnet50,gradcam,lime,0.4759,0.51023
1070,resnet50,gradcam,shap,0.05825,0.09805
1070,resnet50,lime,shap,0.02642,0.09721
1070,resnet50,gradcam,random,-0.00422,0.05289
1075,resnet50,gradcam,lime,0.32036,0.04892
1075,resnet50,gradcam,shap,0.01659,0.06858
1075,resnet50,lime,shap,0.0192,0.06541
1075,resnet50,gradcam,random,0.00505,0.05189
1076,resnet50,gradcam,lime,0.42634,0.08605
1076,resnet50,gradcam,shap,0.09525,0.15003
1076,resnet50,lime,shap,0.04294,0.12729
1076,resnet50,gradcam,random,0.00214,0.05488
1077,resnet50,gradcam,lime,0.43388,0.05222
1077,resnet50,gradcam,shap,0.06604,0.10799
1077,resnet50,lime,shap,0.05617,0.09817
1077,resnet50,gradcam,random,-0.00474,0.04772
1157,resnet50,gradcam,lime,0.00838,0.2615
1157,resnet50,gradcam,shap,0.0042,0.0339
1157,resnet50,lime,shap,-0.00154,0.04827
1157,resnet50,gradcam,random,-0.00669,0.05333
1211,resnet50,gradcam,lime,0.56456,0.27335
1211,resnet50,gradcam,shap,0.07452,0.09589
1211,resnet50,lime,shap,0.0373,0.0837
1211,resnet50,gradcam,random,-0.00036,0.05134
1377,resnet50,gradcam,lime,-0.18853,0.06045
1377,resnet50,gradcam,shap,0.0077,0.06927
1377,resnet50,lime,shap,0.0235,0.12012
1377,resnet50,gradcam,random,-0.00501,0.05167
1399,resnet50,gradcam,lime,0.247,0.34811
1399,resnet50,gradcam,shap,0.0311,0.08487
1399,resnet50,lime,shap,0.05263,0.09339
1399,resnet50,gradcam,random,-0.01095,0.052
1412,resnet50,gradcam,lime,0.65368,0.29672
1412,resnet50,gradcam,shap,0.06877,0.11949
1412,resnet50,lime,shap,0.04859,0.09637
1412,resnet50,gradcam,random,0.01008,0.05322
1425,resnet50,gradcam,lime,0.49361,0.49828
1425,resnet50,gradcam,shap,0.00435,0.06034
1425,resnet50,lime,shap,0.01061,0.06927
1425,resnet50,gradcam,random,-0.00142,0.05101
1451,resnet50,gradcam,lime,0.29493,0.39071
1451,resnet50,gradcam,shap,0.06116,0.09553
1451,resnet50,lime,shap,0.02945,0.09446
1451,resnet50,gradcam,random,-0.00392,0.04936
1458,resnet50,gradcam,lime,0.19144,0.0
1458,resnet50,gradcam,shap,0.07498,0.1165
1458,resnet50,lime,shap,0.02568,0.0679
1458,resnet50,gradcam,random,0.00463,0.05421
1468,resnet50,gradcam,lime,0.51498,0.26724
1468,resnet50,gradcam,shap,0.06626,0.09339
1468,resnet50,lime,shap,0.00805,0.04141
1468,resnet50,gradcam,random,0.00166,0.05222
1478,resnet50,gradcam,lime,0.44965,0.34775
1478,resnet50,gradcam,shap,0.07552,0.11638
1478,resnet50,lime,shap,0.05628,0.1278
1478,resnet50,gradcam,random,0.00387,0.04892
1484,resnet50,gradcam,lime,0.18266,0.0
1484,resnet50,gradcam,shap,0.06481,0.12552
1484,resnet50,lime,shap,0.01017,0.0286
1484,resnet50,gradcam,random,0.0048,0.05278
1489,resnet50,gradcam,lime,0.18871,0.2348
1489,resnet50,gradcam,shap,0.04643,0.09386
1489,resnet50,lime,shap,0.032,0.06575
1489,resnet50,gradcam,random,0.00044,0.0541
1515,resnet50,gradcam,lime,0.22686,0.14439
1515,resnet50,gradcam,shap,0.08318,0.15586
1515,resnet50,lime,shap,0.06635,0.12062
1515,resnet50,gradcam,random,0.00402,0.0509
1565,resnet50,gradcam,lime,0.39214,0.21242
1565,resnet50,gradcam,shap,0.03962,0.06563
1565,resnet50,lime,shap,-0.00919,0.03743
1565,resnet50,gradcam,random,-0.0029,0.05167
