test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
3,resnet50,gradcam,0.09271,0.35664,0.21997,0.00055,False,paper_pair
3,resnet50,lime,0.15635,0.64552,0.36224,0.00055,False,paper_pair
3,resnet50,shap,0.44541,0.69512,0.56448,0.00055,False,paper_pair
3,resnet50,random,0.56915,0.60179,0.18954,0.00055,False,paper_pair
319,resnet50,gradcam,0.37392,0.6599,0.17633,0.00097,True,class_coverage
319,resnet50,lime,0.46843,0.89657,0.32469,0.00097,True,class_coverage
319,resnet50,shap,0.40802,0.68385,0.4877,0.00097,True,class_coverage
319,resnet50,random,0.62296,0.55751,0.1899,0.00097,True,class_coverage
341,resnet50,gradcam,0.50788,0.64967,0.21441,0.00391,False,paper_pair
341,resnet50,lime,0.23958,0.51604,0.19214,0.00391,False,paper_pair
341,resnet50,shap,0.4615,0.83665,0.54518,0.00391,False,paper_pair
341,resnet50,random,0.70398,0.88429,0.19037,0.00391,False,paper_pair
350,resnet50,gradcam,0.00882,0.21786,0.21313,0.00034,False,rare_class
350,resnet50,lime,0.02,0.00554,0.15841,0.00034,False,rare_class
350,resnet50,shap,0.00782,0.00703,0.513,0.00034,False,rare_class
350,resnet50,random,0.00783,0.00815,0.18971,0.00034,False,rare_class
354,resnet50,gradcam,0.03015,0.70591,0.34947,0.00186,True,class_coverage
354,resnet50,lime,0.04675,0.76247,0.52302,0.00186,True,class_coverage
354,resnet50,shap,0.01067,0.51367,0.5486,0.00186,True,class_coverage
354,resnet50,random,0.27494,0.22355,0.18934,0.00186,True,class_coverage
360,resnet50,gradcam,0.11645,0.78912,0.20949,0.00182,True,class_coverage
360,resnet50,lime,0.28122,0.90889,0.31496,0.00182,True,class_coverage
360,resnet50,shap,0.19534,0.53938,0.525,0.00182,True,class_coverage
360,resnet50,random,0.44865,0.53691,0.19051,0.00182,True,class_coverage
386,resnet50,gradcam,0.13067,0.87949,0.36256,0.02986,True,class_coverage
386,resnet50,lime,0.02713,0.7659,0.43802,0.02986,True,class_coverage
386,resnet50,shap,0.01019,0.37216,0.5825,0.02986,True,class_coverage
386,resnet50,random,0.19047,0.15547,0.19024,0.02986,True,class_coverage
581,resnet50,gradcam,0.13042,0.36529,0.24468,0.98691,False,fish_group
581,resnet50,lime,0.28074,0.33784,0.29194,0.98691,False,fish_group
581,resnet50,shap,0.01198,0.01945,0.53567,0.98691,False,fish_group
581,resnet50,random,0.01193,0.01858,0.19039,0.98691,False,fish_group
593,resnet50,gradcam,0.19931,0.89328,0.26355,0.77085,False,fish_group
593,resnet50,lime,0.35456,0.93206,0.44977,0.77085,False,fish_group
593,resnet50,shap,0.01642,0.0203,0.54673,0.77085,False,fish_group
593,resnet50,random,0.01429,0.01785,0.18955,0.77085,False,fish_group
713,resnet50,gradcam,0.48552,0.98727,0.27517,0.00255,True,class_coverage
713,resnet50,lime,0.31856,0.65333,0.35409,0.00255,True,class_coverage
713,resnet50,shap,0.27286,0.39114,0.58827,0.00255,True,class_coverage
713,resnet50,random,0.35283,0.36822,0.18991,0.00255,True,class_coverage
718,resnet50,gradcam,0.28076,0.55424,0.24694,0.62795,False,fish_group
718,resnet50,lime,0.48595,0.89455,0.30434,0.62795,False,fish_group
718,resnet50,shap,0.024,0.1033,0.54252,0.62795,False,fish_group
718,resnet50,random,0.05475,0.05483,0.18969,0.62795,False,fish_group
725,resnet50,gradcam,0.84264,0.95381,0.21269,0.16487,True,challenging
725,resnet50,lime,0.17138,0.98246,0.51304,0.16487,True,challenging
725,resnet50,shap,0.08102,0.40069,0.5771,0.16487,True,challenging
725,resnet50,random,0.48902,0.35335,0.1896,0.16487,True,challenging
784,resnet50,gradcam,0.59753,0.98639,0.28372,0.0921,True,challenging
784,resnet50,lime,0.2139,0.6375,0.40602,0.0921,True,challenging
784,resnet50,shap,0.03902,0.78467,0.56993,0.0921,True,challenging
784,resnet50,random,0.38224,0.36211,0.19075,0.0921,True,challenging
944,resnet50,gradcam,0.37783,0.851,0.31117,0.02093,False,paper_pair
944,resnet50,lime,0.29101,0.76642,0.46193,0.02093,False,paper_pair
944,resnet50,shap,0.05688,0.8469,0.64409,0.02093,False,paper_pair
944,resnet50,random,0.69877,0.70845,0.18994,0.02093,False,paper_pair
1008,resnet50,gradcam,0.96987,0.89215,0.15799,0.97785,True,class_coverage
1008,resnet50,lime,0.8911,0.94172,0.21024,0.97785,True,class_coverage
1008,resnet50,shap,0.09449,0.26131,0.50037,0.97785,True,class_coverage
1008,resnet50,random,0.22647,0.22382,0.18957,0.97785,True,class_coverage
1025,resnet50,gradcam,0.05598,0.30072,0.3992,0.00151,True,class_coverage
1025,resnet50,lime,0.01316,0.0322,0.17143,0.00151,True,class_coverage
1025,resnet50,shap,0.52914,0.89537,0.56406,0.00151,True,class_coverage
1025,resnet50,random,0.82265,0.78081,0.19038,0.00151,True,class_coverage
1031,resnet50,gradcam,0.53655,0.75751,0.20167,0.08079,False,paper_pair
1031,resnet50,lime,0.54624,0.82032,0.321,0.08079,False,paper_pair
1031,resnet50,shap,0.0445,0.21881,0.56998,0.08079,False,paper_pair
1031,resnet50,random,0.06887,0.06119,0.18972,0.08079,False,paper_pair
1037,resnet50,gradcam,0.51437,0.83181,0.23353,0.00294,True,class_coverage
1037,resnet50,lime,0.6192,0.81899,0.20352,0.00294,True,class_coverage
1037,resnet50,shap,0.44891,0.79801,0.51505,0.00294,True,class_coverage
1037,resnet50,random,0.54208,0.46801,0.18973,0.00294,True,class_coverage
1039,resnet50,gradcam,0.29569,0.93278,0.27123,0.07658,True,challenging
1039,resnet50,lime,0.27849,0.95012,0.29497,0.07658,True,challenging
1039,resnet50,shap,0.05874,0.87013,0.51869,0.07658,True,challenging
1039,resnet50,random,0.35393,0.35405,0.19061,0.07658,True,challenging
1067,resnet50,gradcam,0.22174,0.91662,0.22633,0.09402,False,paper_pair
1067,resnet50,lime,0.82016,0.62476,0.34186,0.09402,False,paper_pair
1067,resnet50,shap,0.04407,0.25592,0.56683,0.09402,False,paper_pair
1067,resnet50,random,0.12326,0.21412,0.1901,0.09402,False,paper_pair
1069,resnet50,gradcam,0.51028,0.55704,0.16918,0.00401,True,class_coverage
1069,resnet50,lime,0.07587,0.57586,0.42622,0.00401,True,class_coverage
1069,resnet50,shap,0.03806,0.07867,0.47142,0.00401,True,class_coverage
1069,resnet50,random,0.13682,0.04895,0.19072,0.00401,True,class_coverage
1070,resnet50,gradcam,0.15985,0.82067,0.27009,0.00356,False,rare_class
1070,resnet50,lime,0.31094,0.53602,0.42382,0.00356,False,rare_class
1070,resnet50,shap,0.13506,0.40396,0.49606,0.00356,False,rare_class
1070,resnet50,random,0.51076,0.47911,0.1896,0.00356,False,rare_class
1075,resnet50,gradcam,0.95157,0.84799,0.17718,0.06804,True,challenging
1075,resnet50,lime,0.85158,0.77132,0.36843,0.06804,True,challenging
1075,resnet50,shap,0.02949,0.21532,0.53354,0.06804,True,challenging
1075,resnet50,random,0.176,0.15874,0.1891,0.06804,True,challenging
1076,resnet50,gradcam,0.01015,0.20553,0.32772,0.05683,False,rare_class
1076,resnet50,lime,0.02972,0.62186,0.4158,0.05683,False,rare_class
1076,resnet50,shap,0.01889,0.1056,0.59273,0.05683,False,rare_class
1076,resnet50,random,0.04041,0.06655,0.18999,0.05683,False,rare_class
1077,resnet50,gradcam,0.47065,0.91899,0.22045,0.03904,True,class_coverage
1077,resnet50,lime,0.57002,0.89164,0.26894,0.03904,True,class_coverage
1077,resnet50,shap,0.07341,0.30251,0.54575,0.03904,True,class_coverage
1077,resnet50,random,0.08072,0.09556,0.1894,0.03904,True,class_coverage
