test_index,model,method_a,method_b,spearman,iou_top10
3,convnext_base,gradcam,lime,-0.02419,0.18957
3,convnext_base,gradcam,shap,0.04808,0.07753
3,convnext_base,lime,shap,0.00104,0.05933
3,convnext_base,gradcam,random,-0.00592,0.05266
319,convnext_base,gradcam,lime,0.22378,0.13507
319,convnext_base,gradcam,shap,0.03398,0.08172
319,convnext_base,lime,shap,-0.00534,0.06034
319,convnext_base,gradcam,random,-0.0049,0.05211
341,convnext_base,gradcam,lime,0.00763,0.02807
341,convnext_base,gradcam,shap,-0.01486,0.03114
341,convnext_base,lime,shap,-0.00111,0.04575
341,convnext_base,gradcam,random,-0.00215,0.05344
350,convnext_base,gradcam,lime,0.12725,0.08723
350,convnext_base,gradcam,shap,0.05933,0.09231
350,convnext_base,lime,shap,0.01668,0.07132
350,convnext_base,gradcam,random,-0.00389,0.0498
354,convnext_base,gradcam,lime,0.40139,0.29655
354,convnext_base,gradcam,shap,0.07316,0.1361
354,convnext_base,lime,shap,0.0601,0.13136
354,convnext_base,gradcam,random,-0.00178,0.05156
360,convnext_base,gradcam,lime,0.3405,0.01364
360,convnext_base,gradcam,shap,0.06637,0.0877
360,convnext_base,lime,shap,0.02877,0.0735
360,convnext_base,gradcam,random,-0.00654,0.05311
386,convnext_base,gradcam,lime,0.50764,0.08852
386,convnext_base,gradcam,shap,0.09617,0.15294
386,convnext_base,lime,shap,0.05418,0.1278
386,convnext_base,gradcam,random,0.00253,0.05123
581,convnext_base,gradcam,lime,0.39104,0.41304
581,convnext_base,gradcam,shap,0.09689,0.14622
581,convnext_base,lime,shap,0.05633,0.1352
581,convnext_base,gradcam,random,0.0008,0.05101
593,convnext_base,gradcam,lime,0.51851,0.17964
593,convnext_base,gradcam,shap,0.09367,0.15214
593,convnext_base,lime,shap,0.06907,0.12074
593,convnext_base,gradcam,random,0.00626,0.05643
713,convnext_base,gradcam,lime,0.36158,0.06665
713,convnext_base,gradcam,shap,0.12467,0.18158
713,convnext_base,lime,shap,0.05139,0.117
713,convnext_base,gradcam,random,-0.00706,0.0475
