test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
3,convnext_base,gradcam,0.45134,0.87814,0.48782,0.01193,False,paper_pair
3,convnext_base,lime,0.55373,0.88892,0.2598,0.01193,False,paper_pair
3,convnext_base,shap,0.32106,0.70442,0.52819,0.01193,False,paper_pair
3,convnext_base,random,0.69512,0.65729,0.18954,0.01193,False,paper_pair
319,convnext_base,gradcam,0.65597,0.64603,0.36996,0.10993,True,class_coverage
319,convnext_base,lime,0.35299,0.67994,0.29889,0.10993,True,class_coverage
319,convnext_base,shap,0.67372,0.77154,0.50615,0.10993,True,class_coverage
319,convnext_base,random,0.67194,0.68013,0.1899,0.10993,True,class_coverage
341,convnext_base,gradcam,0.54859,0.69358,0.30874,0.00166,False,paper_pair
341,convnext_base,lime,0.55141,0.70292,0.23637,0.00166,False,paper_pair
341,convnext_base,shap,0.59261,0.78035,0.55299,0.00166,False,paper_pair
341,convnext_base,random,0.68868,0.67486,0.19037,0.00166,False,paper_pair
350,convnext_base,gradcam,0.13842,0.10069,0.53642,3e-05,True,rare_class
350,convnext_base,lime,0.06309,0.16688,0.32912,3e-05,True,rare_class
350,convnext_base,shap,0.03167,0.52676,0.54776,3e-05,True,rare_class
350,convnext_base,random,0.10191,0.07712,0.18971,3e-05,True,rare_class
354,convnext_base,gradcam,0.1644,0.90873,0.65322,0.00567,True,class_coverage
354,convnext_base,lime,0.08401,0.94433,0.65423,0.00567,True,class_coverage
354,convnext_base,shap,0.01276,0.73648,0.55219,0.00567,True,class_coverage
354,convnext_base,random,0.41668,0.3306,0.18934,0.00567,True,class_coverage
360,convnext_base,gradcam,0.64487,0.98079,0.30828,0.0705,True,class_coverage
360,convnext_base,lime,0.65763,0.98606,0.1839,0.0705,True,class_coverage
360,convnext_base,shap,0.8015,0.93478,0.49632,0.0705,True,class_coverage
360,convnext_base,random,0.81981,0.8397,0.19051,0.0705,True,class_coverage
386,convnext_base,gradcam,0.30993,0.83379,0.55049,0.00244,True,class_coverage
386,convnext_base,lime,0.21776,0.91382,0.45575,0.00244,True,class_coverage
386,convnext_base,shap,0.023,0.87647,0.63335,0.00244,True,class_coverage
386,convnext_base,random,0.24692,0.201,0.19024,0.00244,True,class_coverage
581,convnext_base,gradcam,0.39926,0.88906,0.46161,0.65769,False,fish_group
581,convnext_base,lime,0.28134,0.93316,0.48891,0.65769,False,fish_group
581,convnext_base,shap,0.02203,0.50674,0.59275,0.65769,False,fish_group
581,convnext_base,random,0.17856,0.15181,0.19039,0.65769,False,fish_group
593,convnext_base,gradcam,0.42319,0.96095,0.48727,0.24593,False,fish_group
593,convnext_base,lime,0.539,0.96984,0.39094,0.24593,False,fish_group
593,convnext_base,shap,0.06126,0.65785,0.5733,0.24593,False,fish_group
593,convnext_base,random,0.46501,0.43568,0.18955,0.24593,False,fish_group
713,convnext_base,gradcam,0.24298,0.79533,0.55926,0.00105,True,class_coverage
713,convnext_base,lime,0.21755,0.93893,0.44967,0.00105,True,class_coverage
713,convnext_base,shap,0.068,0.30354,0.66796,0.00105,True,class_coverage
713,convnext_base,random,0.12528,0.16298,0.18991,0.00105,True,class_coverage
718,convnext_base,gradcam,0.74124,0.87427,0.43804,0.03483,False,fish_group
718,convnext_base,lime,0.37921,0.87232,0.40106,0.03483,False,fish_group
718,convnext_base,shap,0.04679,0.73255,0.57295,0.03483,False,fish_group
718,convnext_base,random,0.43812,0.50106,0.18969,0.03483,False,fish_group
725,convnext_base,gradcam,0.27861,0.90891,0.60768,0.08634,True,challenging
725,convnext_base,lime,0.32108,0.92191,0.31411,0.08634,True,challenging
725,convnext_base,shap,0.31685,0.71545,0.54402,0.08634,True,challenging
725,convnext_base,random,0.43512,0.41713,0.1896,0.08634,True,challenging
784,convnext_base,gradcam,0.33575,0.8615,0.71145,0.56088,True,challenging
784,convnext_base,lime,0.28898,0.95641,0.33893,0.56088,True,challenging
784,convnext_base,shap,0.51312,0.8369,0.51799,0.56088,True,challenging
784,convnext_base,random,0.64349,0.62771,0.19075,0.56088,True,challenging
944,convnext_base,gradcam,0.18577,0.77459,0.52189,0.00123,False,paper_pair
944,convnext_base,lime,0.20324,0.79676,0.45592,0.00123,False,paper_pair
944,convnext_base,shap,0.32571,0.94789,0.70608,0.00123,False,paper_pair
944,convnext_base,random,0.74888,0.62052,0.18994,0.00123,False,paper_pair
1008,convnext_base,gradcam,0.8925,0.9798,0.44495,0.63556,True,class_coverage
1008,convnext_base,lime,0.851,0.99115,0.25085,0.63556,True,class_coverage
1008,convnext_base,shap,0.55881,0.62838,0.52869,0.63556,True,class_coverage
1008,convnext_base,random,0.55933,0.56504,0.18957,0.63556,True,class_coverage
1025,convnext_base,gradcam,0.13091,0.6325,0.57483,0.01125,True,class_coverage
1025,convnext_base,lime,0.12147,0.89145,0.6651,0.01125,True,class_coverage
1025,convnext_base,shap,0.01344,0.80373,0.60876,0.01125,True,class_coverage
1025,convnext_base,random,0.34013,0.38017,0.19038,0.01125,True,class_coverage
1031,convnext_base,gradcam,0.04848,0.3075,0.45934,0.0029,True,paper_pair
1031,convnext_base,lime,0.01515,0.35361,0.50225,0.0029,True,paper_pair
1031,convnext_base,shap,0.01079,0.40198,0.60836,0.0029,True,paper_pair
1031,convnext_base,random,0.0343,0.07186,0.18972,0.0029,True,paper_pair
1037,convnext_base,gradcam,0.80907,0.92131,0.4202,0.06166,True,class_coverage
1037,convnext_base,lime,0.7685,0.95382,0.23828,0.06166,True,class_coverage
1037,convnext_base,shap,0.24437,0.97794,0.48716,0.06166,True,class_coverage
1037,convnext_base,random,0.72247,0.68959,0.18973,0.06166,True,class_coverage
1039,convnext_base,gradcam,0.32924,0.94976,0.49921,0.00465,True,challenging
1039,convnext_base,lime,0.60656,0.91194,0.24344,0.00465,True,challenging
1039,convnext_base,shap,0.56589,0.96334,0.49319,0.00465,True,challenging
1039,convnext_base,random,0.61988,0.61473,0.19061,0.00465,True,challenging
1067,convnext_base,gradcam,0.32592,0.76959,0.43623,0.0001,True,paper_pair
1067,convnext_base,lime,0.52043,0.85848,0.39011,0.0001,True,paper_pair
1067,convnext_base,shap,0.63045,0.86539,0.57067,0.0001,True,paper_pair
1067,convnext_base,random,0.71999,0.74698,0.1901,0.0001,True,paper_pair
1069,convnext_base,gradcam,0.46173,0.92204,0.41856,0.00157,True,class_coverage
1069,convnext_base,lime,0.38523,0.76528,0.38265,0.00157,True,class_coverage
1069,convnext_base,shap,0.24993,0.32196,0.50534,0.00157,True,class_coverage
1069,convnext_base,random,0.41257,0.46994,0.19072,0.00157,True,class_coverage
1070,convnext_base,gradcam,0.35307,0.94293,0.4988,0.00018,True,rare_class
1070,convnext_base,lime,0.71743,0.83299,0.47639,0.00018,True,rare_class
1070,convnext_base,shap,0.5897,0.92876,0.5552,0.00018,True,rare_class
1070,convnext_base,random,0.63228,0.8884,0.1896,0.00018,True,rare_class
1075,convnext_base,gradcam,0.83359,0.92629,0.6982,0.04597,True,challenging
1075,convnext_base,lime,0.71989,0.90596,0.47771,0.04597,True,challenging
1075,convnext_base,shap,0.21339,0.73417,0.62174,0.04597,True,challenging
1075,convnext_base,random,0.55995,0.46322,0.1891,0.04597,True,challenging
1076,convnext_base,gradcam,0.60671,0.57217,0.52043,0.00486,True,rare_class
1076,convnext_base,lime,0.41154,0.60945,0.52738,0.00486,True,rare_class
1076,convnext_base,shap,0.01138,0.09792,0.58856,0.00486,True,rare_class
1076,convnext_base,random,0.05592,0.08078,0.18999,0.00486,True,rare_class
1077,convnext_base,gradcam,0.86151,0.95798,0.51504,0.05476,True,class_coverage
1077,convnext_base,lime,0.93009,0.91632,0.25187,0.05476,True,class_coverage
1077,convnext_base,shap,0.37938,0.5461,0.57045,0.05476,True,class_coverage
1077,convnext_base,random,0.29578,0.31415,0.1894,0.05476,True,class_coverage
1157,convnext_base,gradcam,0.70792,0.90278,0.49368,0.09631,True,class_coverage
1157,convnext_base,lime,0.45367,0.99041,0.34591,0.09631,True,class_coverage
1157,convnext_base,shap,0.87303,0.95232,0.50615,0.09631,True,class_coverage
1157,convnext_base,random,0.86918,0.86148,0.19023,0.09631,True,class_coverage
1211,convnext_base,gradcam,0.52913,0.91011,0.36845,0.12478,True,class_coverage
1211,convnext_base,lime,0.52426,0.83894,0.33495,0.12478,True,class_coverage
1211,convnext_base,shap,0.54918,0.84305,0.52168,0.12478,True,class_coverage
1211,convnext_base,random,0.78644,0.76725,0.18951,0.12478,True,class_coverage
1377,convnext_base,gradcam,0.32272,0.65654,0.43726,0.49706,False,paper_pair
1377,convnext_base,lime,0.06043,0.76601,0.43967,0.49706,False,paper_pair
1377,convnext_base,shap,0.2179,0.60117,0.57034,0.49706,False,paper_pair
1377,convnext_base,random,0.32949,0.41624,0.19034,0.49706,False,paper_pair
1399,convnext_base,gradcam,0.12336,0.85919,0.42423,0.0002,True,class_coverage
1399,convnext_base,lime,0.36459,0.74157,0.29705,0.0002,True,class_coverage
1399,convnext_base,shap,0.81749,0.98159,0.54703,0.0002,True,class_coverage
1399,convnext_base,random,0.85768,0.91016,0.19018,0.0002,True,class_coverage
1412,convnext_base,gradcam,0.97577,0.99412,0.45569,0.68905,True,class_coverage
1412,convnext_base,lime,0.98783,0.99398,0.29501,0.68905,True,class_coverage
1412,convnext_base,shap,0.89832,0.99053,0.54069,0.68905,True,class_coverage
1412,convnext_base,random,0.89562,0.93555,0.19,0.68905,True,class_coverage
1425,convnext_base,gradcam,0.34797,0.85842,0.42202,0.70829,False,paper_pair
1425,convnext_base,lime,0.1381,0.67551,0.46948,0.70829,False,paper_pair
1425,convnext_base,shap,0.01911,0.25668,0.54998,0.70829,False,paper_pair
1425,convnext_base,random,0.07892,0.05257,0.19051,0.70829,False,paper_pair
1451,convnext_base,gradcam,0.51727,0.95296,0.52584,0.02885,True,class_coverage
1451,convnext_base,lime,0.83814,0.95302,0.19548,0.02885,True,class_coverage
1451,convnext_base,shap,0.76159,0.94117,0.51827,0.02885,True,class_coverage
1451,convnext_base,random,0.7508,0.72143,0.19035,0.02885,True,class_coverage
1458,convnext_base,gradcam,0.44162,0.88577,0.57895,0.00049,True,class_coverage
1458,convnext_base,lime,0.70693,0.86915,0.25022,0.00049,True,class_coverage
1458,convnext_base,shap,0.76036,0.9773,0.54879,0.00049,True,class_coverage
1458,convnext_base,random,0.75924,0.77318,0.18982,0.00049,True,class_coverage
1468,convnext_base,gradcam,0.1991,0.95537,0.46978,0.00943,True,paper_pair
1468,convnext_base,lime,0.24962,0.9459,0.57417,0.00943,True,paper_pair
1468,convnext_base,shap,0.35201,0.89526,0.57848,0.00943,True,paper_pair
1468,convnext_base,random,0.56227,0.63726,0.19081,0.00943,True,paper_pair
1478,convnext_base,gradcam,0.39458,0.77088,0.44926,0.0,True,rare_class
1478,convnext_base,lime,0.18597,0.70335,0.38065,0.0,True,rare_class
1478,convnext_base,shap,0.01565,0.71054,0.55418,0.0,True,rare_class
1478,convnext_base,random,0.5621,0.41803,0.19033,0.0,True,rare_class
1484,convnext_base,gradcam,0.86061,0.88121,0.47354,0.00131,True,class_coverage
1484,convnext_base,lime,0.35893,0.96804,0.34767,0.00131,True,class_coverage
1484,convnext_base,shap,0.49034,0.9702,0.58569,0.00131,True,class_coverage
1484,convnext_base,random,0.60115,0.60713,0.19096,0.00131,True,class_coverage
1489,convnext_base,gradcam,0.87438,0.98587,0.55887,0.28145,True,class_coverage
1489,convnext_base,lime,0.90128,0.95651,0.3355,0.28145,True,class_coverage
1489,convnext_base,shap,0.98649,0.9847,0.56672,0.28145,True,class_coverage
1489,convnext_base,random,0.9928,0.98795,0.18995,0.28145,True,class_coverage
1515,convnext_base,gradcam,0.91951,0.96995,0.51944,0.72346,True,class_coverage
1515,convnext_base,lime,0.85046,0.9965,0.27831,0.72346,True,class_coverage
1515,convnext_base,shap,0.99795,0.99722,0.58844,0.72346,True,class_coverage
