test_index,model,method_a,method_b,spearman,iou_top10
3,swin,gradcam,lime,0.37072,0.17825
3,swin,gradcam,shap,0.0,0.0
3,swin,lime,shap,0.0,0.0
3,swin,gradcam,random,0.00013,0.05222
319,swin,gradcam,lime,0.1577,0.16702
319,swin,gradcam,shap,0.0,0.0
319,swin,lime,shap,0.0,0.0
319,swin,gradcam,random,0.00085,0.05266
341,swin,gradcam,lime,0.06401,0.04859
341,swin,gradcam,shap,0.0,0.0
341,swin,lime,shap,0.0,0.0
341,swin,gradcam,random,-0.00414,0.053
350,swin,gradcam,lime,0.21358,0.35962
350,swin,gradcam,shap,0.0,0.0
350,swin,lime,shap,0.0,0.01231
350,swin,gradcam,random,-0.00257,0.05112
354,swin,gradcam,lime,0.52916,0.32532
354,swin,gradcam,shap,0.0,0.0
354,swin,lime,shap,0.0,0.0
354,swin,gradcam,random,0.0006,0.05289
360,swin,gradcam,lime,0.289,0.07098
360,swin,gradcam,shap,0.0,0.00703
360,swin,lime,shap,0.0,0.0
360,swin,gradcam,random,-0.00128,0.05156
386,swin,gradcam,lime,0.31373,0.45105
386,swin,gradcam,shap,0.0,0.0
386,swin,lime,shap,0.0,0.0
386,swin,gradcam,random,0.00196,0.04991
581,swin,gradcam,lime,0.06438,0.0005
581,swin,gradcam,shap,0.0,0.0
581,swin,lime,shap,0.0,0.15493
581,swin,gradcam,random,0.0023,0.05189
593,swin,gradcam,lime,0.42354,0.3702
593,swin,gradcam,shap,0.0,0.0
593,swin,lime,shap,0.0,0.0
593,swin,gradcam,random,0.01031,0.05421
713,swin,gradcam,lime,0.54908,0.25112
713,swin,gradcam,shap,0.0,0.0
713,swin,lime,shap,0.0,0.03604
713,swin,gradcam,random,-0.00192,0.04706
718,swin,gradcam,lime,0.0066,0.20355
718,swin,gradcam,shap,0.0,0.0121
718,swin,lime,shap,0.0,0.06495
718,swin,gradcam,random,-0.00833,0.04925
725,swin,gradcam,lime,0.49128,0.21713
725,swin,gradcam,shap,0.0,0.0
