test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
3,swin,gradcam,0.51217,0.79527,0.48976,0.001,False,paper_pair
3,swin,lime,0.36251,0.72938,0.24805,0.001,False,paper_pair
3,swin,shap,0.61423,0.58425,0.0,0.001,False,paper_pair
3,swin,random,0.59986,0.5709,0.18954,0.001,False,paper_pair
319,swin,gradcam,0.60321,0.83964,0.42434,0.15233,True,class_coverage
319,swin,lime,0.3395,0.8966,0.40529,0.15233,True,class_coverage
319,swin,shap,0.48458,0.55204,0.0,0.15233,True,class_coverage
319,swin,random,0.50121,0.51633,0.1899,0.15233,True,class_coverage
341,swin,gradcam,0.72751,0.92955,0.49276,0.00223,False,paper_pair
341,swin,lime,0.81916,0.7116,0.29277,0.00223,False,paper_pair
341,swin,shap,0.67277,0.68168,0.0,0.00223,False,paper_pair
341,swin,random,0.7306,0.71346,0.19037,0.00223,False,paper_pair
350,swin,gradcam,0.06455,0.5939,0.47158,0.00043,True,rare_class
350,swin,lime,0.09857,0.2642,0.28324,0.00043,True,rare_class
350,swin,shap,0.3453,0.33605,0.0,0.00043,True,rare_class
350,swin,random,0.31584,0.29929,0.18971,0.00043,True,rare_class
354,swin,gradcam,0.08535,0.81468,0.50262,0.00014,True,class_coverage
354,swin,lime,0.12881,0.82511,0.55597,0.00014,True,class_coverage
354,swin,shap,0.2055,0.25465,0.0,0.00014,True,class_coverage
354,swin,random,0.32186,0.28919,0.18934,0.00014,True,class_coverage
360,swin,gradcam,0.99842,0.96328,0.33043,0.98338,True,class_coverage
360,swin,lime,0.80345,0.99976,0.22097,0.98338,True,class_coverage
360,swin,shap,0.90063,0.91937,0.0,0.98338,True,class_coverage
360,swin,random,0.88079,0.89955,0.19051,0.98338,True,class_coverage
386,swin,gradcam,0.17614,0.78585,0.47582,0.00393,True,class_coverage
386,swin,lime,0.08239,0.89913,0.47731,0.00393,True,class_coverage
386,swin,shap,0.08792,0.14039,0.0,0.00393,True,class_coverage
386,swin,random,0.15937,0.1662,0.19024,0.00393,True,class_coverage
581,swin,gradcam,0.72926,0.5794,0.48092,0.667,False,fish_group
581,swin,lime,0.40986,0.96159,0.5531,0.667,False,fish_group
581,swin,shap,0.12414,0.18371,0.0,0.667,False,fish_group
581,swin,random,0.15762,0.07437,0.19039,0.667,False,fish_group
593,swin,gradcam,0.53998,0.98225,0.3597,0.96316,False,fish_group
593,swin,lime,0.4547,0.91825,0.31966,0.96316,False,fish_group
593,swin,shap,0.32938,0.29634,0.0,0.96316,False,fish_group
593,swin,random,0.29007,0.33999,0.18955,0.96316,False,fish_group
713,swin,gradcam,0.39216,0.91875,0.43551,0.01151,True,class_coverage
713,swin,lime,0.39959,0.86423,0.41005,0.01151,True,class_coverage
713,swin,shap,0.19954,0.10715,0.0,0.01151,True,class_coverage
713,swin,random,0.14811,0.09496,0.18991,0.01151,True,class_coverage
718,swin,gradcam,0.72572,0.93912,0.36971,0.35402,False,fish_group
718,swin,lime,0.58701,0.95391,0.36526,0.35402,False,fish_group
718,swin,shap,0.32748,0.24194,0.0,0.35402,False,fish_group
718,swin,random,0.30133,0.27615,0.18969,0.35402,False,fish_group
725,swin,gradcam,0.38779,0.96985,0.60248,0.14698,True,challenging
725,swin,lime,0.28507,0.92588,0.35755,0.14698,True,challenging
725,swin,shap,0.43811,0.34793,0.0,0.14698,True,challenging
725,swin,random,0.4256,0.42506,0.1896,0.14698,True,challenging
784,swin,gradcam,0.46951,0.9854,0.59198,0.56809,True,challenging
784,swin,lime,0.36184,0.8784,0.49933,0.56809,True,challenging
784,swin,shap,0.55904,0.55593,0.0,0.56809,True,challenging
784,swin,random,0.44115,0.4499,0.19075,0.56809,True,challenging
944,swin,gradcam,0.18759,0.82406,0.52848,0.00653,False,paper_pair
944,swin,lime,0.12243,0.80688,0.60227,0.00653,False,paper_pair
944,swin,shap,0.46801,0.41142,0.0,0.00653,False,paper_pair
944,swin,random,0.32987,0.44586,0.18994,0.00653,False,paper_pair
1008,swin,gradcam,0.75373,0.98087,0.33708,0.45677,True,class_coverage
1008,swin,lime,0.90844,0.96873,0.24758,0.45677,True,class_coverage
1008,swin,shap,0.37522,0.40401,0.0,0.45677,True,class_coverage
1008,swin,random,0.44124,0.39405,0.18957,0.45677,True,class_coverage
1025,swin,gradcam,0.1035,0.54198,0.62775,0.00017,True,class_coverage
1025,swin,lime,0.09285,0.55672,0.49838,0.00017,True,class_coverage
1025,swin,shap,0.31542,0.37077,0.0,0.00017,True,class_coverage
1025,swin,random,0.38163,0.42658,0.19038,0.00017,True,class_coverage
1031,swin,gradcam,0.76903,0.93523,0.45621,0.01252,False,paper_pair
1031,swin,lime,0.43976,0.95047,0.47326,0.01252,False,paper_pair
1031,swin,shap,0.24821,0.27651,0.0,0.01252,False,paper_pair
1031,swin,random,0.25103,0.22049,0.18972,0.01252,False,paper_pair
1037,swin,gradcam,0.6155,0.81723,0.48588,0.02616,True,class_coverage
1037,swin,lime,0.4205,0.89254,0.29101,0.02616,True,class_coverage
