test_index,model,method_a,method_b,spearman,iou_top10
3,inceptionv3,gradcam,lime,-0.07964,0.0
3,inceptionv3,gradcam,shap,0.08447,0.08148
3,inceptionv3,lime,shap,0.01574,0.07132
3,inceptionv3,gradcam,random,0.00164,0.05333
319,inceptionv3,gradcam,lime,0.28282,0.19709
319,inceptionv3,gradcam,shap,0.10235,0.13225
319,inceptionv3,lime,shap,0.04717,0.0837
319,inceptionv3,gradcam,random,0.00223,0.05654
341,inceptionv3,gradcam,lime,0.30424,0.15214
341,inceptionv3,gradcam,shap,0.04296,0.07086
341,inceptionv3,lime,shap,0.0481,0.05488
341,inceptionv3,gradcam,random,0.00453,0.05666
350,inceptionv3,gradcam,lime,0.00689,0.07155
350,inceptionv3,gradcam,shap,0.08387,0.10143
350,inceptionv3,lime,shap,0.01558,0.04652
350,inceptionv3,gradcam,random,-0.00283,0.05112
354,inceptionv3,gradcam,lime,0.51023,0.29823
354,inceptionv3,gradcam,shap,0.14574,0.14204
354,inceptionv3,lime,shap,0.06817,0.11687
354,inceptionv3,gradcam,random,-0.0077,0.05156
360,inceptionv3,gradcam,lime,0.44037,0.05399
360,inceptionv3,gradcam,shap,0.02812,0.06191
360,inceptionv3,lime,shap,-0.00342,0.09482
360,inceptionv3,gradcam,random,0.00232,0.05156
386,inceptionv3,gradcam,lime,0.38581,0.15413
386,inceptionv3,gradcam,shap,0.05087,0.06552
386,inceptionv3,lime,shap,0.04169,0.12818
386,inceptionv3,gradcam,random,0.00286,0.05289
581,inceptionv3,gradcam,lime,0.48563,0.26756
581,inceptionv3,gradcam,shap,0.07708,0.15042
581,inceptionv3,lime,shap,0.08619,0.13997
581,inceptionv3,gradcam,random,0.00111,0.05377
593,inceptionv3,gradcam,lime,0.22295,0.27384
593,inceptionv3,gradcam,shap,0.0025,0.07557
593,inceptionv3,lime,shap,0.02581,0.07224
593,inceptionv3,gradcam,random,0.00185,0.05488
713,inceptionv3,gradcam,lime,0.02236,0.16906
713,inceptionv3,gradcam,shap,0.10874,0.15108
713,inceptionv3,lime,shap,0.0425,0.12012
713,inceptionv3,gradcam,random,0.00243,0.0487
718,inceptionv3,gradcam,lime,-0.12802,0.0
718,inceptionv3,gradcam,shap,0.03235,0.05577
718,inceptionv3,lime,shap,0.00593,0.07881
718,inceptionv3,gradcam,random,-0.00185,0.05278
725,inceptionv3,gradcam,lime,0.24749,0.20921
725,inceptionv3,gradcam,shap,0.11136,0.14243
725,inceptionv3,lime,shap,0.00049,0.10421
725,inceptionv3,gradcam,random,0.00119,0.05322
784,inceptionv3,gradcam,lime,-0.07483,0.08417
784,inceptionv3,gradcam,shap,0.12119,0.16377
