test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
3,inceptionv3,gradcam,0.39296,0.78751,0.18128,0.31369,False,paper_pair
3,inceptionv3,lime,0.11778,0.65041,0.45056,0.31369,False,paper_pair
3,inceptionv3,shap,0.0407,0.31933,0.55573,0.31369,False,paper_pair
3,inceptionv3,random,0.07635,0.0408,0.18954,0.31369,False,paper_pair
319,inceptionv3,gradcam,0.03441,0.12779,0.22498,0.25072,True,class_coverage
319,inceptionv3,lime,0.01575,0.07472,0.31232,0.25072,True,class_coverage
319,inceptionv3,shap,0.04698,0.68865,0.57523,0.25072,True,class_coverage
319,inceptionv3,random,0.18801,0.30559,0.1899,0.25072,True,class_coverage
341,inceptionv3,gradcam,0.34581,0.6592,0.30452,0.00076,False,paper_pair
341,inceptionv3,lime,0.2522,0.58036,0.28143,0.00076,False,paper_pair
341,inceptionv3,shap,0.03761,0.77328,0.5869,0.00076,False,paper_pair
341,inceptionv3,random,0.25326,0.45917,0.19037,0.00076,False,paper_pair
350,inceptionv3,gradcam,0.02471,0.19368,0.32831,0.00381,False,rare_class
350,inceptionv3,lime,0.05014,0.16954,0.1836,0.00381,False,rare_class
350,inceptionv3,shap,0.14541,0.58719,0.56021,0.00381,False,rare_class
350,inceptionv3,random,0.4236,0.42666,0.18971,0.00381,False,rare_class
354,inceptionv3,gradcam,0.12286,0.53306,0.28066,0.02263,False,class_coverage
354,inceptionv3,lime,0.11381,0.28573,0.36528,0.02263,False,class_coverage
354,inceptionv3,shap,0.1427,0.88586,0.59166,0.02263,False,class_coverage
354,inceptionv3,random,0.66722,0.70172,0.18934,0.02263,False,class_coverage
360,inceptionv3,gradcam,0.326,0.33974,0.19668,0.18989,False,class_coverage
360,inceptionv3,lime,0.24461,0.24398,0.48864,0.18989,False,class_coverage
360,inceptionv3,shap,0.1034,0.18137,0.5365,0.18989,False,class_coverage
360,inceptionv3,random,0.07529,0.10306,0.19051,0.18989,False,class_coverage
386,inceptionv3,gradcam,0.24796,0.67876,0.26314,0.00796,True,class_coverage
386,inceptionv3,lime,0.08113,0.97276,0.5347,0.00796,True,class_coverage
386,inceptionv3,shap,0.01981,0.79875,0.63328,0.00796,True,class_coverage
386,inceptionv3,random,0.33729,0.2492,0.19024,0.00796,True,class_coverage
