test_index,model,method_a,method_b,spearman,iou_top10
3,vgg19,gradcam,lime,0.49282,0.06495
3,vgg19,gradcam,shap,0.07531,0.09386
3,vgg19,lime,shap,0.05722,0.12501
3,vgg19,gradcam,random,0.00239,0.052
319,vgg19,gradcam,lime,0.49495,0.06247
319,vgg19,gradcam,shap,-0.00238,0.05755
319,vgg19,lime,shap,0.00144,0.03915
319,vgg19,gradcam,random,0.00039,0.05421
341,vgg19,gradcam,lime,-0.01515,0.10702
341,vgg19,gradcam,shap,0.05627,0.09267
341,vgg19,lime,shap,-0.01257,0.06023
341,vgg19,gradcam,random,-0.00183,0.05554
350,vgg19,gradcam,lime,0.09327,0.04575
350,vgg19,gradcam,shap,0.00389,0.05432
350,vgg19,lime,shap,0.03676,0.07018
350,vgg19,gradcam,random,0.00682,0.05554
354,vgg19,gradcam,lime,0.58938,0.47105
354,vgg19,gradcam,shap,0.08593,0.14792
354,vgg19,lime,shap,0.0665,0.11762
354,vgg19,gradcam,random,0.00804,0.05432
360,vgg19,gradcam,lime,0.34276,0.01343
360,vgg19,gradcam,shap,0.06451,0.10738
360,vgg19,lime,shap,0.06161,0.12919
360,vgg19,gradcam,random,-0.00438,0.04936
386,vgg19,gradcam,lime,0.20237,0.07939
386,vgg19,gradcam,shap,0.09899,0.14622
386,vgg19,lime,shap,0.00705,0.06961
386,vgg19,gradcam,random,0.00266,0.05002
581,vgg19,gradcam,lime,0.23429,0.07892
581,vgg19,gradcam,shap,0.10493,0.13161
581,vgg19,lime,shap,0.02277,0.10421
581,vgg19,gradcam,random,0.00287,0.05167
593,vgg19,gradcam,lime,0.3566,0.0773
593,vgg19,gradcam,shap,0.07796,0.07962
593,vgg19,lime,shap,0.0062,0.07869
593,vgg19,gradcam,random,0.00472,0.05532
713,vgg19,gradcam,lime,0.36163,0.34721
713,vgg19,gradcam,shap,0.1104,0.19183
713,vgg19,lime,shap,0.04757,0.16188
713,vgg19,gradcam,random,-0.00283,0.0487
718,vgg19,gradcam,lime,-0.14111,0.0001
718,vgg19,gradcam,shap,0.04416,0.09841
718,vgg19,lime,shap,-0.01039,0.04684
718,vgg19,gradcam,random,-0.00225,0.05266
725,vgg19,gradcam,lime,0.28594,0.24183
725,vgg19,gradcam,shap,0.06386,0.18117
725,vgg19,lime,shap,0.04998,0.13097
725,vgg19,gradcam,random,0.0029,0.05233
784,vgg19,gradcam,lime,0.26496,0.04969
784,vgg19,gradcam,shap,0.01207,0.06654
784,vgg19,lime,shap,0.00888,0.06904
784,vgg19,gradcam,random,-0.0025,0.05156
944,vgg19,gradcam,lime,0.22856,0.36703
944,vgg19,gradcam,shap,0.09274,0.18507
944,vgg19,lime,shap,0.03473,0.15586
944,vgg19,gradcam,random,-0.0044,0.05532
1008,vgg19,gradcam,lime,0.1408,0.0
1008,vgg19,gradcam,shap,0.00972,0.052
