test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
3,vgg19,gradcam,0.12493,0.65661,0.47779,0.02585,False,paper_pair
3,vgg19,lime,0.21592,0.89272,0.44279,0.02585,False,paper_pair
3,vgg19,shap,0.02945,0.28778,0.60402,0.02585,False,paper_pair
3,vgg19,random,0.13474,0.0827,0.18954,0.02585,False,paper_pair
319,vgg19,gradcam,0.21469,0.44878,0.37,0.00289,False,class_coverage
319,vgg19,lime,0.11708,0.28534,0.34437,0.00289,False,class_coverage
319,vgg19,shap,0.02505,0.04693,0.50779,0.00289,False,class_coverage
319,vgg19,random,0.04344,0.03941,0.1899,0.00289,False,class_coverage
341,vgg19,gradcam,0.30495,0.50319,0.58282,0.01313,False,paper_pair
341,vgg19,lime,0.22651,0.51883,0.29741,0.01313,False,paper_pair
341,vgg19,shap,0.06507,0.75955,0.58506,0.01313,False,paper_pair
341,vgg19,random,0.35007,0.36891,0.19037,0.01313,False,paper_pair
350,vgg19,gradcam,0.13148,0.21359,0.59742,0.01447,False,rare_class
350,vgg19,lime,0.12469,0.1665,0.37037,0.01447,False,rare_class
350,vgg19,shap,0.14015,0.27316,0.51233,0.01447,False,rare_class
350,vgg19,random,0.15741,0.19282,0.18971,0.01447,False,rare_class
354,vgg19,gradcam,0.03023,0.68861,0.77711,0.00717,True,class_coverage
354,vgg19,lime,0.036,0.80766,0.41855,0.00717,True,class_coverage
354,vgg19,shap,0.01171,0.28102,0.61461,0.00717,True,class_coverage
354,vgg19,random,0.06656,0.08146,0.18934,0.00717,True,class_coverage
360,vgg19,gradcam,0.47757,0.62792,0.40955,0.03687,True,class_coverage
360,vgg19,lime,0.82995,0.87705,0.37204,0.03687,True,class_coverage
360,vgg19,shap,0.07086,0.05795,0.57463,0.03687,True,class_coverage
360,vgg19,random,0.07544,0.07694,0.19051,0.03687,True,class_coverage
386,vgg19,gradcam,0.13141,0.73968,0.52038,0.01415,True,class_coverage
386,vgg19,lime,0.04104,0.86805,0.54336,0.01415,True,class_coverage
386,vgg19,shap,0.16359,0.60337,0.65187,0.01415,True,class_coverage
386,vgg19,random,0.31647,0.3598,0.19024,0.01415,True,class_coverage
581,vgg19,gradcam,0.18978,0.37751,0.52504,0.0108,False,fish_group
581,vgg19,lime,0.09956,0.30109,0.53759,0.0108,False,fish_group
581,vgg19,shap,0.01096,0.01212,0.62057,0.0108,False,fish_group
581,vgg19,random,0.01108,0.0105,0.19039,0.0108,False,fish_group
593,vgg19,gradcam,0.40182,0.85858,0.42243,0.0788,False,fish_group
593,vgg19,lime,0.6775,0.73279,0.37427,0.0788,False,fish_group
593,vgg19,shap,0.14504,0.29224,0.59946,0.0788,False,fish_group
593,vgg19,random,0.10668,0.11467,0.18955,0.0788,False,fish_group
713,vgg19,gradcam,0.19379,0.72852,0.70366,0.04772,True,class_coverage
713,vgg19,lime,0.21112,0.82359,0.50982,0.04772,True,class_coverage
713,vgg19,shap,0.14332,0.60295,0.68654,0.04772,True,class_coverage
713,vgg19,random,0.4225,0.40707,0.18991,0.04772,True,class_coverage
718,vgg19,gradcam,0.13153,0.50906,0.58689,0.01124,False,fish_group
718,vgg19,lime,0.12834,0.5654,0.31074,0.01124,False,fish_group
718,vgg19,shap,0.01346,0.04594,0.58191,0.01124,False,fish_group
718,vgg19,random,0.02349,0.01931,0.18969,0.01124,False,fish_group
725,vgg19,gradcam,0.18852,0.83412,0.60473,0.00033,True,challenging
725,vgg19,lime,0.29216,0.78981,0.34666,0.00033,True,challenging
