test_index,true,predicted,confidence,true_class_prob,true_rank
60,coral,turtle,0.9784,0.0112,2
252,coral,seaAnemone,0.9753,0.0024,5
1388,seaAnemone,fish,0.969,0.0025,5
228,coral,rayfish,0.9532,0.0125,3
944,fish,eel,0.918,0.0015,15
43,coral,fish,0.9179,0.0166,3
1605,turtle,shark,0.9156,0.02,2
599,fish,fishInGroups,0.9146,0.0469,2
1031,flatworm,seaSlug,0.9042,0.0325,2
73,coral,fish,0.9027,0.0359,2
24,coral,seaAnemone,0.9007,0.0421,2
1480,shrimp,crab,0.8878,0.0049,6
1352,seaAnemone,coral,0.8816,0.0062,8
624,fish,fishInGroups,0.88,0.0045,9
722,fish,seaAnemone,0.8786,0.0511,2
593,fish,fishInGroups,0.8754,0.0107,4
1199,seaAnemone,fish,0.8688,0.0053,9
115,coral,seaAnemone,0.8513,0.0188,3
14,coral,seaAnemone,0.8497,0.0172,4
1213,seaAnemone,coral,0.8454,0.0359,2
313,coral,starfish,0.8277,0.045,2
1377,seaAnemone,coral,0.8229,0.0547,2
803,fish,seaAnemone,0.8224,0.1222,2
718,fish,fishInGroups,0.8201,0.0142,4
985,fishInGroups,fish,0.8155,0.1235,2
316,coral,seaUrchin,0.8147,0.0838,2
581,fish,fishInGroups,0.8055,0.0187,4
979,fishInGroups,coral,0.7947,0.1069,2
1079,octopus,squid,0.7936,0.1055,2
573,fish,coral,0.7936,0.066,2
27,coral,seaAnemone,0.7932,0.0623,2
595,fish,fishInGroups,0.7817,0.1261,2
430,fish,coral,0.7804,0.0274,3
204,coral,fish,0.7754,0.1949,2
1029,flatworm,seaSlug,0.775,0.0429,2
724,fish,eel,0.7721,0.033,3
795,fish,seaAnemone,0.7715,0.0869,2
582,fish,fishInGroups,0.7691,0.0148,3
1331,seaAnemone,coral,0.7657,0.0475,3
529,fish,fishInGroups,0.7544,0.0537,2
56,coral,eel,0.747,0.0339,3
3,coral,seaAnemone,0.7285,0.0049,15
1130,rayfish,fish,0.7268,0.0541,2
1391,seaAnemone,fish,0.7136,0.0734,2
262,coral,rayfish,0.7041,0.1191,2
967,fishInGroups,fish,0.7018,0.0253,5
1558,turtle,shark,0.6999,0.0448,4
532,fish,coral,0.6942,0.2179,2
890,fish,seaAnemone,0.6757,0.1781,2
342,coral,eel,0.6695,0.0052,7
1353,seaAnemone,coral,0.6677,0.1085,2
800,fish,seaAnemone,0.6559,0.1309,2
80,coral,seaAnemone,0.6539,0.0738,3
1024,flatworm,fish,0.6534,0.0372,4
1168,rayfish,coral,0.6532,0.0047,17
287,coral,fish,0.6416,0.0887,2
505,fish,shark,0.6413,0.1203,2
147,coral,rayfish,0.639,0.1249,2
1273,seaAnemone,seaUrchin,0.6364,0.1085,2
530,fish,rayfish,0.611,0.0835,3
577,fish,coral,0.6102,0.117,2
1003,fishInGroups,coral,0.6039,0.1686,2
309,coral,fish,0.5999,0.1115,2
777,fish,seaAnemone,0.5972,0.332,2
774,fish,eel,0.5962,0.024,5
17,coral,seaAnemone,0.5962,0.2612,2
857,fish,eel,0.5908,0.0202,6
1529,starfish,eel,0.5908,0.0874,3
388,eel,seaSlug,0.5832,0.0427,4
551,fish,eel,0.5803,0.1439,2
61,coral,fish,0.5797,0.0679,3
473,fish,turtle,0.5783,0.0574,4
412,eel,flatworm,0.5751,0.0848,2
1015,fishInGroups,coral,0.5738,0.0846,3
1068,marine_dolphin,shark,0.5697,0.0915,2
23,coral,fishInGroups,0.5585,0.2906,2
1510,starfish,seaCucumber,0.5434,0.1828,2
1085,rayfish,eel,0.5431,0.2199,2
22,coral,seaAnemone,0.5401,0.1264,3
347,coral,fishInGroups,0.5385,0.1264,2
586,fish,coral,0.5365,0.2693,2
227,coral,rayfish,0.5314,0.3519,2
471,fish,eel,0.5295,0.418,2
106,coral,fish,0.528,0.2659,2
1478,shrimp,crab,0.5229,0.0728,2
1034,flatworm,seaCucumber,0.5217,0.0145,8
419,fish,fishInGroups,0.5201,0.2002,2
180,coral,seaAnemone,0.5194,0.2688,2
288,coral,fishInGroups,0.5187,0.152,2
1026,flatworm,seaSlug,0.5184,0.1761,2
964,fishInGroups,rayfish,0.5177,0.187,2
1189,seaAnemone,jellyfish,0.5172,0.2205,2
1400,seaCucumber,eel,0.511,0.0774,3
1067,marine_dolphin,shark,0.5087,0.2151,2
1350,seaAnemone,coral,0.5017,0.0329,6
1005,fishInGroups,fish,0.4953,0.3586,2
539,fish,coral,0.4932,0.4399,2
1425,seaSlug,flatworm,0.4896,0.1167,2
1064,marine_dolphin,turtle,0.4887,0.1019,2
1061,marine_dolphin,shark,0.4883,0.0854,3
1547,turtle,coral,0.4856,0.0163,8
104,coral,fishInGroups,0.4854,0.3585,2
437,fish,fishInGroups,0.4842,0.3136,2
443,fish,fishInGroups,0.4806,0.4013,2
980,fishInGroups,fish,0.4779,0.1691,3
427,fish,starfish,0.465,0.1,4
