,coral,crab,diver,eel,fish,fishInGroups,flatworm,jellyfish,marine_dolphin,octopus,rayfish,seaAnemone,seaCucumber,seaSlug,seaUrchin,shark,shrimp,squid,starfish,turtle
coral,290,1,0,4,11,8,0,1,0,0,8,12,1,2,5,0,0,0,3,2
crab,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
diver,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,0,0,0,34,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0
fish,17,3,1,9,463,15,0,2,0,0,5,14,0,2,0,2,0,0,2,3
fishInGroups,5,1,0,0,7,56,0,0,0,0,1,0,0,0,0,1,0,0,1,0
flatworm,0,0,0,1,1,0,4,0,0,0,1,0,1,5,0,0,0,0,0,0
jellyfish,1,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0
marine_dolphin,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,4,0,0,0,1
octopus,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0
rayfish,2,0,0,1,2,0,0,0,0,0,87,0,0,1,0,0,0,0,0,2
seaAnemone,9,0,0,0,3,1,0,1,0,0,0,204,0,1,2,0,0,0,0,0
seaCucumber,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0
seaSlug,0,1,0,0,0,0,1,0,0,0,1,1,0,16,0,0,0,0,0,0
seaUrchin,0,0,0,0,2,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0
shark,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,14,0,0,0,0
shrimp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
squid,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0
starfish,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,35,0
turtle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,70
