true,predicted,count,pct_of_true_class
fish,coral,17,3.16
fish,fishInGroups,15,2.79
fish,seaAnemone,14,2.6
coral,seaAnemone,12,3.45
coral,fish,11,3.16
seaAnemone,coral,9,4.07
fish,eel,9,1.67
coral,rayfish,8,2.3
coral,fishInGroups,8,2.3
fishInGroups,fish,7,9.72
fishInGroups,coral,5,6.94
fish,rayfish,5,0.93
flatworm,seaSlug,5,38.46
coral,seaUrchin,5,1.44
turtle,shark,4,5.26
marine_dolphin,shark,4,40.0
coral,eel,4,1.15
fish,crab,3,0.56
coral,starfish,3,0.86
seaAnemone,fish,3,1.36
fish,turtle,3,0.56
eel,seaSlug,2,4.88
eel,fish,2,4.88
seaAnemone,seaUrchin,2,0.9
shrimp,crab,2,18.18
seaCucumber,eel,2,20.0
seaUrchin,fish,2,6.9
rayfish,turtle,2,2.11
rayfish,coral,2,2.11
fish,seaSlug,2,0.37
shark,rayfish,2,10.53
rayfish,fish,2,2.11
fish,shark,2,0.37
coral,turtle,2,0.57
coral,seaSlug,2,0.57
fish,starfish,2,0.37
fish,jellyfish,2,0.37
coral,crab,1,0.29
coral,jellyfish,1,0.29
fish,diver,1,0.19
eel,fishInGroups,1,2.44
eel,flatworm,1,2.44
eel,rayfish,1,2.44
coral,seaCucumber,1,0.29
crab,eel,1,9.09
crab,seaAnemone,1,9.09
crab,turtle,1,9.09
flatworm,eel,1,7.69
fishInGroups,starfish,1,1.39
fishInGroups,shark,1,1.39
fishInGroups,rayfish,1,1.39
jellyfish,coral,1,4.0
flatworm,fish,1,7.69
flatworm,rayfish,1,7.69
fishInGroups,crab,1,1.39
rayfish,eel,1,1.05
octopus,squid,1,10.0
octopus,coral,1,10.0
octopus,eel,1,10.0
marine_dolphin,turtle,1,10.0
jellyfish,seaAnemone,1,4.0
marine_dolphin,fish,1,10.0
marine_dolphin,rayfish,1,10.0
flatworm,seaCucumber,1,7.69
seaAnemone,seaSlug,1,0.45
seaCucumber,starfish,1,10.0
seaCucumber,seaSlug,1,10.0
seaSlug,crab,1,5.0
seaAnemone,jellyfish,1,0.45
rayfish,seaSlug,1,1.05
seaAnemone,fishInGroups,1,0.45
seaSlug,seaAnemone,1,5.0
seaSlug,rayfish,1,5.0
seaSlug,flatworm,1,5.0
seaUrchin,seaAnemone,1,3.45
shark,marine_dolphin,1,5.26
shark,fishInGroups,1,5.26
squid,fish,1,10.0
shark,fish,1,5.26
squid,jellyfish,1,10.0
starfish,coral,1,2.5
starfish,fishInGroups,1,2.5
starfish,eel,1,2.5
starfish,seaCucumber,1,2.5
starfish,seaSlug,1,2.5
turtle,coral,1,1.32
turtle,crab,1,1.32
