stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
1,1,7.0489,0.14885,5.51495,0.20655,0.14001,0.001,37.7,True
1,2,4.01669,0.36669,4.4246,0.33689,0.27796,0.001,73.8,True
1,3,3.18322,0.49152,3.25938,0.49162,0.39522,0.001,109.5,True
1,4,2.79074,0.55937,3.14283,0.52515,0.41304,0.001,145.3,True
1,5,2.59814,0.59234,3.04037,0.53811,0.43943,0.001,180.1,True
1,6,2.38306,0.62588,3.01023,0.56326,0.46171,0.001,215.8,True
1,7,2.33071,0.63255,2.7065,0.59756,0.49024,0.001,250.6,True
1,8,2.17326,0.65828,2.573,0.61509,0.47896,0.001,285.7,False
1,9,2.10085,0.66762,2.32827,0.64863,0.50082,0.001,321.4,True
1,10,2.05324,0.66953,2.24177,0.65549,0.51275,0.001,355.4,True
1,11,1.96342,0.68668,2.39006,0.61357,0.46954,0.001,390.4,False
1,12,1.93877,0.68401,2.14987,0.65549,0.5164,0.001,427.8,True
1,13,1.85579,0.70669,2.2127,0.64101,0.50051,0.001,462.3,False
1,14,1.83765,0.69868,2.24525,0.63338,0.49365,0.001,498.5,False
1,15,1.77335,0.71069,2.04612,0.67226,0.5233,0.001,535.2,True
1,16,1.73064,0.72041,2.14834,0.63415,0.49183,0.001,570.8,False
1,17,1.71561,0.71412,2.07454,0.64329,0.51003,0.001,605.6,False
1,18,1.69229,0.7206,1.91567,0.67378,0.53246,0.001,641.6,True
1,19,1.64416,0.72956,2.01007,0.66159,0.51119,0.001,676.3,False
1,20,1.66584,0.72499,2.00976,0.64177,0.48221,0.001,711.5,False
1,21,1.61536,0.73375,1.86621,0.67607,0.52712,0.001,747.1,False
1,22,1.62003,0.7267,2.02901,0.64177,0.52546,0.0001,782.1,False
1,23,1.52985,0.75815,1.86079,0.68445,0.5204,0.0001,819.1,False
1,24,1.53693,0.75357,1.86804,0.67988,0.53919,0.0001,855.2,True
1,25,1.52367,0.75129,1.86698,0.69131,0.53381,0.0001,890.8,False
2,1,1.63484,0.7288,1.80394,0.70122,0.54054,1e-05,962.6,True
2,2,1.44896,0.77644,1.70072,0.72485,0.56398,1e-05,1022.9,True
2,3,1.38362,0.80141,1.6096,0.75686,0.60908,1e-05,1082.8,True
2,4,1.30934,0.81837,1.63513,0.72637,0.598,1e-05,1142.5,False
2,5,1.26488,0.82771,1.5657,0.72485,0.55129,1e-05,1202.6,False
2,6,1.20365,0.84181,1.53535,0.73933,0.57003,1e-05,1262.3,False
