file,test_index,true,predicted,confidence,correct
err_000_coral-as-turtle.png,60,coral,turtle,0.9784,False
err_001_crab-as-eel.png,352,crab,eel,0.2462,False
err_002_eel-as-seaSlug.png,388,eel,seaSlug,0.5832,False
err_003_fish-as-eel.png,944,fish,eel,0.918,False
err_004_fishInGroups-as-fish.png,985,fishInGroups,fish,0.8155,False
err_005_flatworm-as-seaSlug.png,1031,flatworm,seaSlug,0.9042,False
err_006_jellyfish-as-seaAnemone.png,1048,jellyfish,seaAnemone,0.381,False
err_007_marine_dolphin-as-shark.png,1068,marine_dolphin,shark,0.5697,False
err_008_octopus-as-squid.png,1079,octopus,squid,0.7936,False
err_009_rayfish-as-fish.png,1130,rayfish,fish,0.7268,False
err_010_seaAnemone-as-fish.png,1388,seaAnemone,fish,0.969,False
err_011_seaCucumber-as-eel.png,1400,seaCucumber,eel,0.511,False
err_012_seaSlug-as-flatworm.png,1425,seaSlug,flatworm,0.4896,False
err_013_seaUrchin-as-seaAnemone.png,1452,seaUrchin,seaAnemone,0.4296,False
err_014_shark-as-rayfish.png,1466,shark,rayfish,0.414,False
err_015_shrimp-as-crab.png,1480,shrimp,crab,0.8878,False
err_016_squid-as-fish.png,1494,squid,fish,0.3041,False
err_017_starfish-as-eel.png,1529,starfish,eel,0.5908,False
err_018_turtle-as-shark.png,1605,turtle,shark,0.9156,False
err_019_coral-as-seaAnemone.png,252,coral,seaAnemone,0.9753,False
zz_ok_020_coral-as-coral.png,29,coral,coral,0.9964,True
zz_ok_021_crab-as-crab.png,349,crab,crab,0.8688,True
zz_ok_022_diver-as-diver.png,361,diver,diver,0.9489,True
zz_ok_023_eel-as-eel.png,411,eel,eel,0.9782,True
zz_ok_024_fish-as-fish.png,507,fish,fish,0.9986,True
zz_ok_025_fishInGroups-as-fishInGroups.png,1019,fishInGroups,fishInGroups,0.996,True
zz_ok_026_flatworm-as-flatworm.png,1028,flatworm,flatworm,0.6493,True
zz_ok_027_jellyfish-as-jellyfish.png,1039,jellyfish,jellyfish,0.9341,True
zz_ok_028_marine_dolphin-as-marine_dolphin.png,1069,marine_dolphin,marine_dolphin,0.4993,True
zz_ok_029_octopus-as-octopus.png,1077,octopus,octopus,0.9387,True
zz_ok_030_rayfish-as-rayfish.png,1163,rayfish,rayfish,0.9903,True
zz_ok_031_seaAnemone-as-seaAnemone.png,1330,seaAnemone,seaAnemone,0.9948,True
zz_ok_032_seaCucumber-as-seaCucumber.png,1399,seaCucumber,seaCucumber,0.5799,True
zz_ok_033_seaSlug-as-seaSlug.png,1412,seaSlug,seaSlug,0.8956,True
zz_ok_034_seaUrchin-as-seaUrchin.png,1439,seaUrchin,seaUrchin,0.9707,True
zz_ok_035_shark-as-shark.png,1460,shark,shark,0.933,True
zz_ok_036_shrimp-as-shrimp.png,1483,shrimp,shrimp,0.9379,True
zz_ok_037_squid-as-squid.png,1489,squid,squid,0.9728,True
zz_ok_038_starfish-as-starfish.png,1498,starfish,starfish,0.9906,True
zz_ok_039_turtle-as-turtle.png,1571,turtle,turtle,0.9911,True
