class,support,precision,recall,f1,top3_recall,mean_conf_correct,mean_conf_wrong,mean_true_prob_when_wrong
flatworm,13,0.6667,0.3077,0.4211,0.7692,0.4983,0.5256,0.0925
marine_dolphin,10,0.75,0.3,0.4286,0.7,0.335,0.431,0.1016
crab,11,0.4706,0.7273,0.5714,1.0,0.5931,0.2119,0.1542
seaSlug,20,0.5161,0.8,0.6275,1.0,0.5979,0.3291,0.1336
seaCucumber,10,0.6667,0.6,0.6316,1.0,0.429,0.4035,0.0937
shark,19,0.56,0.7368,0.6364,0.8947,0.6619,0.3595,0.1543
eel,41,0.6296,0.8293,0.7158,0.9024,0.6823,0.4,0.0701
fishInGroups,72,0.6747,0.7778,0.7226,0.9722,0.8167,0.4806,0.171
octopus,10,1.0,0.7,0.8235,0.9,0.5905,0.4621,0.1388
seaUrchin,29,0.7879,0.8966,0.8387,1.0,0.8039,0.3306,0.1278
squid,10,0.8889,0.8,0.8421,0.9,0.6495,0.3033,0.1682
starfish,40,0.8333,0.875,0.8537,0.95,0.768,0.3547,0.1132
coral,348,0.8869,0.8333,0.8593,0.9741,0.7955,0.5326,0.1434
rayfish,95,0.8131,0.9158,0.8614,0.9789,0.8212,0.4758,0.1426
jellyfish,25,0.8214,0.92,0.8679,1.0,0.7292,0.3367,0.1944
seaAnemone,221,0.8718,0.9231,0.8967,0.9774,0.8359,0.6143,0.095
fish,538,0.9372,0.8606,0.8973,0.9665,0.8193,0.4729,0.162
shrimp,11,1.0,0.8182,0.9,0.9091,0.6712,0.7053,0.0388
turtle,76,0.8861,0.9211,0.9032,0.9605,0.8088,0.5065,0.1029
diver,13,0.9286,1.0,0.963,1.0,0.666,,
