true,predicted,count,pct_of_true_class
fish,coral,19,3.53
coral,fish,16,4.6
coral,seaAnemone,14,4.02
seaAnemone,coral,11,4.98
fish,fishInGroups,10,1.86
fish,seaAnemone,9,1.67
coral,rayfish,7,2.01
coral,eel,6,1.72
seaAnemone,fish,6,2.71
fish,rayfish,6,1.12
fishInGroups,coral,6,8.33
eel,fish,5,12.2
rayfish,fish,5,5.26
marine_dolphin,shark,5,50.0
fishInGroups,fish,5,6.94
seaSlug,fish,4,20.0
fish,eel,4,0.74
flatworm,seaSlug,4,30.77
coral,starfish,3,0.86
fish,turtle,3,0.56
fish,shark,3,0.56
seaAnemone,seaUrchin,2,0.9
turtle,coral,2,2.63
fish,seaSlug,2,0.37
coral,fishInGroups,2,0.57
squid,fish,2,20.0
seaCucumber,seaSlug,2,20.0
turtle,shark,2,2.63
rayfish,coral,2,2.11
shrimp,crab,2,18.18
crab,turtle,1,9.09
coral,flatworm,1,0.29
crab,seaSlug,1,9.09
coral,turtle,1,0.29
coral,seaSlug,1,0.29
fishInGroups,crab,1,1.39
eel,fishInGroups,1,2.44
fish,diver,1,0.19
fishInGroups,rayfish,1,1.39
flatworm,fish,1,7.69
flatworm,rayfish,1,7.69
fish,jellyfish,1,0.19
eel,seaSlug,1,2.44
octopus,fish,1,10.0
octopus,eel,1,10.0
marine_dolphin,turtle,1,10.0
marine_dolphin,rayfish,1,10.0
jellyfish,rayfish,1,4.0
marine_dolphin,fish,1,10.0
flatworm,seaCucumber,1,7.69
jellyfish,coral,1,4.0
fishInGroups,shark,1,1.39
fishInGroups,shrimp,1,1.39
seaAnemone,squid,1,0.45
rayfish,turtle,1,1.05
seaAnemone,jellyfish,1,0.45
rayfish,octopus,1,1.05
rayfish,shark,1,1.05
rayfish,eel,1,1.05
seaCucumber,seaAnemone,1,10.0
seaCucumber,flatworm,1,10.0
seaCucumber,eel,1,10.0
seaCucumber,coral,1,10.0
seaAnemone,rayfish,1,0.45
seaCucumber,shrimp,1,10.0
seaCucumber,starfish,1,10.0
seaSlug,eel,1,5.0
shark,fishInGroups,1,5.26
shark,fish,1,5.26
seaUrchin,seaAnemone,1,3.45
seaUrchin,fish,1,3.45
starfish,eel,1,2.5
squid,seaSlug,1,10.0
starfish,shrimp,1,2.5
starfish,seaCucumber,1,2.5
