class,support,precision,recall,f1
seaCucumber,10,0.5,0.2,0.2857
marine_dolphin,10,1.0,0.2,0.3333
flatworm,13,0.75,0.4615,0.5714
seaSlug,20,0.5556,0.75,0.6383
shark,19,0.5862,0.8947,0.7083
eel,41,0.6939,0.8293,0.7556
squid,10,0.875,0.7,0.7778
crab,11,0.75,0.8182,0.7826
shrimp,11,0.75,0.8182,0.7826
fishInGroups,72,0.8028,0.7917,0.7972
octopus,10,0.8889,0.8,0.8421
rayfish,95,0.8235,0.8842,0.8528
coral,348,0.8761,0.8534,0.8646
seaAnemone,221,0.8884,0.9005,0.8944
fish,538,0.9091,0.8922,0.9006
starfish,40,0.9024,0.925,0.9136
jellyfish,25,0.92,0.92,0.92
turtle,76,0.9114,0.9474,0.929
seaUrchin,29,0.931,0.931,0.931
diver,13,0.9286,1.0,0.963
