test_index,true,predicted,confidence,true_class_prob,true_rank
252,coral,seaAnemone,1.0,0.0,2
505,fish,shark,1.0,0.0,2
1273,seaAnemone,seaUrchin,1.0,0.0,2
1480,shrimp,crab,1.0,0.0,4
1510,starfish,seaCucumber,1.0,0.0,2
1029,flatworm,seaSlug,1.0,0.0,2
1031,flatworm,seaSlug,1.0,0.0,2
1034,flatworm,seaCucumber,1.0,0.0,3
857,fish,eel,1.0,0.0,2
624,fish,fishInGroups,1.0,0.0,3
1478,shrimp,crab,1.0,0.0,2
1401,seaCucumber,eel,1.0,0.0,4
309,coral,fish,0.9999,1e-04,3
724,fish,eel,0.9999,0.0,2
1391,seaAnemone,fish,0.9998,0.0002,2
718,fish,fishInGroups,0.9998,0.0002,2
593,fish,fishInGroups,0.9998,1e-04,2
1024,flatworm,fish,0.9998,0.0,5
599,fish,fishInGroups,0.9998,0.0002,2
342,coral,eel,0.9998,0.0,7
27,coral,seaAnemone,0.9996,0.0003,2
115,coral,seaAnemone,0.9995,0.0,3
3,coral,seaAnemone,0.9991,0.0,6
341,coral,starfish,0.999,0.001,2
1529,starfish,eel,0.9987,0.0003,3
1199,seaAnemone,fish,0.9986,0.0,5
228,coral,rayfish,0.9986,0.0009,2
1422,seaSlug,fish,0.9986,0.0008,2
530,fish,rayfish,0.9984,0.001,2
1276,seaAnemone,seaUrchin,0.9981,0.0,5
283,coral,fishInGroups,0.998,0.0003,3
1350,seaAnemone,coral,0.9979,0.0004,3
1377,seaAnemone,coral,0.9979,0.0018,2
1402,seaCucumber,starfish,0.9978,0.0022,2
557,fish,diver,0.9974,0.0,5
282,coral,starfish,0.997,0.0015,2
14,coral,seaAnemone,0.9966,0.0006,3
1066,marine_dolphin,shark,0.9964,0.0,4
147,coral,rayfish,0.9963,0.0031,2
1035,flatworm,rayfish,0.9961,1e-04,6
1103,rayfish,fish,0.9959,0.0,11
313,coral,starfish,0.9956,0.0034,2
329,coral,seaUrchin,0.9952,0.0017,3
944,fish,eel,0.9951,0.0,3
73,coral,fish,0.9951,0.0017,3
1063,marine_dolphin,fish,0.9948,0.0,5
412,eel,flatworm,0.9945,0.0038,2
1420,seaSlug,fish,0.9942,1e-04,5
43,coral,fish,0.9934,0.0011,4
1076,octopus,fish,0.9929,0.0018,3
24,coral,seaAnemone,0.9914,0.0026,3
1073,octopus,eel,0.9914,0.0,10
430,fish,coral,0.9896,0.0007,3
1555,turtle,shark,0.9889,0.0,8
1068,marine_dolphin,shark,0.9887,0.0,4
777,fish,seaAnemone,0.9873,0.0127,2
1208,seaAnemone,jellyfish,0.9858,0.0083,2
956,fishInGroups,fish,0.9845,0.0154,2
288,coral,fishInGroups,0.9824,0.0043,3
1352,seaAnemone,coral,0.9824,0.0088,2
529,fish,fishInGroups,0.9823,0.0177,2
439,fish,shark,0.9813,0.0185,2
378,eel,fish,0.9812,0.0163,2
1353,seaAnemone,coral,0.9807,0.0192,2
180,coral,seaAnemone,0.9804,0.0194,2
1117,rayfish,fish,0.9796,0.0064,3
245,coral,seaAnemone,0.9787,0.0,6
581,fish,fishInGroups,0.9758,0.0005,4
1400,seaCucumber,starfish,0.9741,0.0008,4
967,fishInGroups,fish,0.9707,0.0,4
1466,shark,rayfish,0.9683,0.0,5
573,fish,coral,0.9672,0.0218,2
979,fishInGroups,coral,0.9655,0.0131,3
1331,seaAnemone,coral,0.9653,0.0118,3
595,fish,fishInGroups,0.9644,0.0355,2
1130,rayfish,fish,0.9612,0.0033,4
1411,seaSlug,crab,0.9589,0.0056,4
722,fish,seaAnemone,0.9554,0.0441,2
473,fish,turtle,0.9547,0.0421,2
307,coral,starfish,0.9543,1e-04,3
906,fish,coral,0.9541,0.0358,2
586,fish,coral,0.9536,0.0415,2
419,fish,fishInGroups,0.9511,0.0007,4
1168,rayfish,coral,0.95,0.0,16
800,fish,coral,0.9485,0.009,3
325,coral,fish,0.9485,0.0304,2
351,crab,fish,0.9463,0.0022,8
392,eel,fish,0.9458,0.023,3
795,fish,seaAnemone,0.9437,0.0528,2
287,coral,fish,0.942,0.0526,2
985,fishInGroups,fish,0.9385,0.0615,2
647,fish,fishInGroups,0.9356,0.0205,3
446,fish,eel,0.935,0.065,2
1388,seaAnemone,fish,0.9345,0.0066,3
60,coral,turtle,0.9341,0.0642,2
1090,rayfish,starfish,0.9341,0.0624,2
1017,fishInGroups,fish,0.9285,0.0715,2
347,coral,fishInGroups,0.9271,0.0091,5
1003,fishInGroups,coral,0.9239,0.0502,2
80,coral,seaAnemone,0.9176,0.0133,3
83,coral,fish,0.9146,0.0087,4
23,coral,fishInGroups,0.9144,0.0525,2
864,fish,seaAnemone,0.9094,0.0564,2
515,fish,starfish,0.9091,0.0019,6
134,coral,eel,0.9065,0.0015,6
424,fish,coral,0.9064,0.0631,2
1,coral,fish,0.9062,0.003,3
1028,flatworm,seaSlug,0.9009,0.0991,2
1406,seaCucumber,eel,0.8987,0.0514,2
399,eel,fishInGroups,0.898,0.0,5
425,fish,eel,0.8977,0.1023,2
1070,marine_dolphin,shark,0.8949,1e-04,5
242,coral,turtle,0.8925,0.0261,3
436,fish,starfish,0.8911,0.0183,3
88,coral,rayfish,0.8911,0.0793,2
192,coral,rayfish,0.8885,0.1111,2
582,fish,fishInGroups,0.8871,0.0017,3
1430,seaUrchin,starfish,0.8776,0.0977,2
76,coral,fish,0.8699,0.0053,4
393,eel,rayfish,0.8665,0.0696,2
323,coral,eel,0.855,0.1414,2
2,coral,seaAnemone,0.8528,0.032,4
600,fish,coral,0.8502,0.0757,2
577,fish,coral,0.8492,0.0893,2
1067,marine_dolphin,shark,0.8448,0.1531,2
890,fish,seaAnemone,0.8427,0.1567,2
548,fish,diver,0.8395,0.1532,2
540,fish,turtle,0.8335,0.1464,2
262,coral,rayfish,0.8319,0.0224,3
304,coral,eel,0.8255,0.1728,2
1023,flatworm,seaSlug,0.8183,0.0677,2
1283,seaAnemone,fish,0.8151,0.147,2
1022,fishInGroups,shark,0.8067,0.1484,2
384,eel,seaCucumber,0.8029,0.0076,3
1213,seaAnemone,coral,0.8022,0.1792,2
1189,seaAnemone,jellyfish,0.7935,0.1437,2
1072,octopus,coral,0.7918,0.1729,2
901,fish,jellyfish,0.7893,0.2055,2
1494,squid,fish,0.7865,0.0005,11
316,coral,seaUrchin,0.784,0.1916,2
885,fish,seaAnemone,0.782,0.2178,2
56,coral,eel,0.7818,0.1377,2
743,fish,coral,0.7812,0.2115,2
1279,seaAnemone,fish,0.7751,0.2211,2
803,fish,seaAnemone,0.7749,0.2251,2
562,fish,seaAnemone,0.7623,0.2211,2
1359,seaAnemone,coral,0.7558,0.1621,2
533,fish,turtle,0.7546,0.2215,2
1546,turtle,starfish,0.7526,0.2219,2
111,coral,eel,0.7478,0.0017,3
204,coral,fish,0.7454,0.2519,2
485,fish,fishInGroups,0.7445,0.2555,2
377,eel,fish,0.7373,0.2606,2
916,fish,turtle,0.7367,0.2613,2
1064,marine_dolphin,turtle,0.7315,0.1023,3
277,coral,seaAnemone,0.7309,0.0828,3
299,coral,starfish,0.728,0.2248,2
1587,turtle,fish,0.7278,0.2524,2
998,fishInGroups,coral,0.727,0.2537,2
32,coral,rayfish,0.7257,0.1017,2
969,fishInGroups,fish,0.7237,0.2656,2
1026,flatworm,starfish,0.7188,0.0002,3
952,fishInGroups,starfish,0.7166,0.1919,2
1446,seaUrchin,fish,0.6969,0.2274,2
6,coral,seaSlug,0.6929,0.2896,2
564,fish,rayfish,0.6881,0.3101,2
285,coral,fish,0.6786,0.0043,3
388,eel,seaSlug,0.6782,0.3212,2
17,coral,seaAnemone,0.6748,0.3172,2
878,fish,seaAnemone,0.6723,0.2463,2
474,fish,seaAnemone,0.671,0.2802,2
824,fish,squid,0.6614,0.2859,2
532,fish,coral,0.6591,0.3277,2
1015,fishInGroups,coral,0.6578,0.1409,3
1405,seaCucumber,starfish,0.6575,0.3261,2
1443,seaUrchin,fish,0.6553,0.0359,3
1116,rayfish,fish,0.6542,0.0365,3
1061,marine_dolphin,shark,0.6528,0.0003,4
984,fishInGroups,fish,0.6503,0.228,2
796,fish,seaAnemone,0.6478,0.3481,2
208,coral,seaAnemone,0.6453,0.3521,2
1048,jellyfish,seaAnemone,0.6414,0.0009,5
1074,octopus,seaAnemone,0.6355,0.1613,2
8,coral,seaAnemone,0.6303,0.3559,2
1426,seaSlug,starfish,0.6299,0.3596,2
468,fish,eel,0.6235,0.3731,2
