,coral,crab,diver,eel,fish,fishInGroups,flatworm,jellyfish,marine_dolphin,octopus,rayfish,seaAnemone,seaCucumber,seaSlug,seaUrchin,shark,shrimp,squid,starfish,turtle
coral,285,0,0,6,14,4,0,0,0,0,6,18,0,1,2,0,0,0,10,2
crab,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
diver,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,0,0,0,33,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
fish,15,0,2,8,470,13,0,1,0,0,3,15,0,0,0,3,0,1,2,5
fishInGroups,4,0,0,0,8,57,0,0,0,0,0,0,0,0,0,1,0,0,2,0
flatworm,0,0,0,0,2,0,4,0,0,0,1,0,1,4,0,0,0,0,1,0
jellyfish,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0
marine_dolphin,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,1
octopus,1,0,0,1,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
rayfish,1,0,0,0,4,0,0,0,0,0,87,1,0,0,0,0,0,0,2,0
seaAnemone,9,0,0,0,6,0,0,2,0,0,0,200,0,1,3,0,0,0,0,0
seaCucumber,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
seaSlug,0,1,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0
seaUrchin,0,0,0,1,2,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0
shark,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,16,0,0,0,0
shrimp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
squid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
starfish,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0
turtle,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,71
