true,predicted,count,pct_of_true_class
coral,seaAnemone,18,5.17
fish,coral,15,2.79
fish,seaAnemone,15,2.79
coral,fish,14,4.02
fish,fishInGroups,13,2.42
coral,starfish,10,2.87
seaAnemone,coral,9,4.07
fishInGroups,fish,8,11.11
fish,eel,8,1.49
coral,eel,6,1.72
seaAnemone,fish,6,2.71
coral,rayfish,6,1.72
marine_dolphin,shark,6,60.0
fish,turtle,5,0.93
coral,fishInGroups,4,1.15
seaCucumber,starfish,4,40.0
flatworm,seaSlug,4,30.77
fishInGroups,coral,4,5.56
rayfish,fish,4,4.21
fish,rayfish,3,0.56
fish,shark,3,0.56
eel,fish,3,7.32
seaAnemone,seaUrchin,3,1.36
seaSlug,fish,2,10.0
coral,seaUrchin,2,0.57
coral,turtle,2,0.57
flatworm,fish,2,15.38
fishInGroups,starfish,2,2.78
seaAnemone,jellyfish,2,0.9
rayfish,starfish,2,2.11
fish,starfish,2,0.37
shrimp,crab,2,18.18
seaUrchin,fish,2,6.9
seaCucumber,eel,2,20.0
fish,diver,2,0.37
coral,seaSlug,1,0.29
crab,fish,1,9.09
fish,squid,1,0.19
eel,flatworm,1,2.44
fish,jellyfish,1,0.19
eel,fishInGroups,1,2.44
crab,turtle,1,9.09
octopus,coral,1,10.0
marine_dolphin,turtle,1,10.0
marine_dolphin,fish,1,10.0
jellyfish,seaAnemone,1,4.0
flatworm,seaCucumber,1,7.69
flatworm,starfish,1,7.69
fishInGroups,shark,1,1.39
flatworm,rayfish,1,7.69
eel,seaSlug,1,2.44
eel,seaCucumber,1,2.44
eel,rayfish,1,2.44
rayfish,seaAnemone,1,1.05
octopus,eel,1,10.0
octopus,fish,1,10.0
octopus,seaAnemone,1,10.0
rayfish,coral,1,1.05
seaSlug,crab,1,5.0
seaAnemone,seaSlug,1,0.45
seaUrchin,eel,1,3.45
seaSlug,starfish,1,5.0
seaUrchin,starfish,1,3.45
shark,fish,1,5.26
shark,marine_dolphin,1,5.26
shark,rayfish,1,5.26
squid,fish,1,10.0
starfish,eel,1,2.5
starfish,seaCucumber,1,2.5
turtle,coral,1,1.32
turtle,fish,1,1.32
turtle,rayfish,1,1.32
turtle,shark,1,1.32
turtle,starfish,1,1.32
