stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
1,1,6.78723,0.1519,5.0521,0.21265,0.14564,0.001,38.0,True
1,2,3.34396,0.38365,3.69272,0.37043,0.30308,0.001,74.1,True
1,3,2.36173,0.5182,2.46666,0.51372,0.42175,0.001,110.0,True
1,4,1.90442,0.5952,2.39037,0.54954,0.4271,0.001,146.2,True
1,5,1.6873,0.6316,2.16839,0.59451,0.48319,0.001,181.9,True
1,6,1.48285,0.65904,2.16208,0.60137,0.50614,0.001,219.0,True
1,7,1.43384,0.67048,1.86633,0.63643,0.52878,0.001,254.9,True
1,8,1.27599,0.70002,1.74771,0.65625,0.51608,0.001,290.9,False
1,9,1.21578,0.71164,1.47026,0.6936,0.56118,0.001,326.6,True
1,10,1.18976,0.71946,1.37975,0.70503,0.57187,0.001,361.1,True
1,11,1.08987,0.73223,1.54492,0.67378,0.51628,0.001,396.0,False
1,12,1.10823,0.72899,1.32528,0.71037,0.57975,0.001,434.4,True
1,13,1.02059,0.74957,1.4837,0.67454,0.54402,0.001,470.0,False
1,14,1.02963,0.75129,1.49136,0.68216,0.58648,0.001,507.1,True
1,15,0.95301,0.76348,1.23763,0.71875,0.59076,0.001,544.3,True
1,16,0.91202,0.77587,1.35659,0.70351,0.57197,0.001,580.4,False
1,17,0.89243,0.76977,1.31455,0.71113,0.57138,0.001,616.1,False
1,18,0.87003,0.77511,1.12595,0.73704,0.60715,0.001,653.4,True
1,19,0.84683,0.7835,1.33516,0.71723,0.58514,0.001,688.8,False
1,20,0.90525,0.77435,1.38401,0.70046,0.56663,0.001,724.6,False
1,21,0.85459,0.78083,1.00978,0.75915,0.63229,0.001,761.0,True
1,22,0.84574,0.7793,1.38005,0.70198,0.59152,0.001,796.9,False
1,23,0.80288,0.79283,1.18577,0.72256,0.59572,0.001,833.9,False
1,24,0.82828,0.78788,1.09828,0.73018,0.60137,0.001,870.4,False
1,25,0.8021,0.78826,1.28533,0.71418,0.59807,0.0001,906.9,False
2,1,0.84722,0.78369,1.02327,0.75534,0.6345,9.995614150494293e-06,988.1,True
2,2,0.63631,0.83209,1.02161,0.77287,0.63438,9.982464296247523e-06,1056.7,False
2,3,0.57239,0.84563,1.04146,0.77134,0.65996,9.960573506572391e-06,1124.9,True
2,4,0.50228,0.85897,0.94338,0.78659,0.67467,9.929980185352525e-06,1192.8,True
2,5,0.48631,0.86602,0.98225,0.78354,0.66044,9.890738003669029e-06,1260.9,False
2,6,0.46097,0.86869,0.94937,0.78659,0.68077,9.842915805643156e-06,1328.7,True
2,7,0.44689,0.88012,0.96726,0.7904,0.66387,9.786597487660336e-06,1396.6,False
2,8,0.3941,0.88641,0.70387,0.83537,0.72826,9.721881851187407e-06,1464.7,True
2,9,0.39884,0.8847,0.94394,0.79878,0.69511,9.648882429441258e-06,1533.2,False
2,10,0.37062,0.88794,0.95712,0.80107,0.68412,9.567727288213005e-06,1601.0,False
2,11,0.34875,0.89384,0.96975,0.79802,0.67896,9.478558801197065e-06,1668.7,False
2,12,0.30124,0.90719,0.72495,0.83765,0.72237,9.381533400219319e-06,1736.1,False
2,13,0.31187,0.90642,0.78413,0.82317,0.73123,9.276821300802536e-06,1803.7,True
2,14,0.27905,0.91347,0.79086,0.81555,0.72449,9.1646062035505e-06,1871.8,False
2,15,0.26824,0.9169,0.87106,0.80793,0.70451,9.04508497187474e-06,1939.6,False
