file,test_index,true,predicted,confidence,correct
err_000_coral-as-seaAnemone.png,252,coral,seaAnemone,1.0,False
err_001_crab-as-fish.png,351,crab,fish,0.9463,False
err_002_eel-as-flatworm.png,412,eel,flatworm,0.9945,False
err_003_fish-as-shark.png,505,fish,shark,1.0,False
err_004_fishInGroups-as-fish.png,956,fishInGroups,fish,0.9845,False
err_005_flatworm-as-seaSlug.png,1031,flatworm,seaSlug,1.0,False
err_006_jellyfish-as-seaAnemone.png,1048,jellyfish,seaAnemone,0.6414,False
err_007_marine_dolphin-as-shark.png,1066,marine_dolphin,shark,0.9964,False
err_008_octopus-as-fish.png,1076,octopus,fish,0.9929,False
err_009_rayfish-as-fish.png,1103,rayfish,fish,0.9959,False
err_010_seaAnemone-as-seaUrchin.png,1273,seaAnemone,seaUrchin,1.0,False
err_011_seaCucumber-as-eel.png,1401,seaCucumber,eel,1.0,False
err_012_seaSlug-as-fish.png,1422,seaSlug,fish,0.9986,False
err_013_seaUrchin-as-starfish.png,1430,seaUrchin,starfish,0.8776,False
err_014_shark-as-rayfish.png,1466,shark,rayfish,0.9683,False
err_015_shrimp-as-crab.png,1478,shrimp,crab,1.0,False
err_016_squid-as-fish.png,1494,squid,fish,0.7865,False
err_017_starfish-as-seaCucumber.png,1510,starfish,seaCucumber,1.0,False
err_018_turtle-as-shark.png,1555,turtle,shark,0.9889,False
err_019_coral-as-fish.png,309,coral,fish,0.9999,False
zz_ok_020_coral-as-coral.png,0,coral,coral,1.0,True
zz_ok_021_crab-as-crab.png,349,crab,crab,1.0,True
zz_ok_022_diver-as-diver.png,359,diver,diver,1.0,True
zz_ok_023_eel-as-eel.png,400,eel,eel,1.0,True
zz_ok_024_fish-as-fish.png,422,fish,fish,1.0,True
zz_ok_025_fishInGroups-as-fishInGroups.png,960,fishInGroups,fishInGroups,1.0,True
zz_ok_026_flatworm-as-flatworm.png,1033,flatworm,flatworm,1.0,True
zz_ok_027_jellyfish-as-jellyfish.png,1037,jellyfish,jellyfish,1.0,True
zz_ok_028_marine_dolphin-as-marine_dolphin.png,1069,marine_dolphin,marine_dolphin,0.762,True
zz_ok_029_octopus-as-octopus.png,1077,octopus,octopus,1.0,True
zz_ok_030_rayfish-as-rayfish.png,1082,rayfish,rayfish,1.0,True
zz_ok_031_seaAnemone-as-seaAnemone.png,1241,seaAnemone,seaAnemone,1.0,True
zz_ok_032_seaCucumber-as-seaCucumber.png,1398,seaCucumber,seaCucumber,0.9994,True
zz_ok_033_seaSlug-as-seaSlug.png,1412,seaSlug,seaSlug,1.0,True
zz_ok_034_seaUrchin-as-seaUrchin.png,1427,seaUrchin,seaUrchin,1.0,True
zz_ok_035_shark-as-shark.png,1467,shark,shark,1.0,True
zz_ok_036_shrimp-as-shrimp.png,1476,shrimp,shrimp,1.0,True
zz_ok_037_squid-as-squid.png,1488,squid,squid,1.0,True
zz_ok_038_starfish-as-starfish.png,1498,starfish,starfish,1.0,True
zz_ok_039_turtle-as-turtle.png,1537,turtle,turtle,1.0,True
