class,support,precision,recall,f1,top3_recall,mean_conf_correct,mean_conf_wrong,mean_true_prob_when_wrong
marine_dolphin,10,0.6667,0.2,0.3077,0.5,0.5885,0.8253,0.077
flatworm,13,0.8,0.3077,0.4444,0.8462,0.8152,0.8898,0.0369
seaCucumber,10,0.5714,0.4,0.4706,0.7,0.8706,0.8331,0.0637
shark,19,0.5926,0.8421,0.6957,0.8947,0.9703,0.674,0.0281
eel,41,0.6346,0.8049,0.7097,0.9756,0.9744,0.8631,0.0878
seaSlug,20,0.6957,0.8,0.7442,0.9,0.9599,0.8954,0.0915
starfish,40,0.6129,0.95,0.7451,1.0,0.9781,0.9993,0.0001
octopus,10,1.0,0.6,0.75,0.9,0.9929,0.8529,0.084
fishInGroups,72,0.76,0.7917,0.7755,0.9861,0.9575,0.7621,0.1338
crab,11,0.75,0.8182,0.7826,0.9091,0.9988,0.7265,0.2424
seaUrchin,29,0.8333,0.8621,0.8475,1.0,0.997,0.641,0.1311
coral,348,0.9019,0.819,0.8584,0.9684,0.9378,0.8093,0.1063
seaAnemone,221,0.8475,0.905,0.8753,0.9864,0.979,0.8329,0.1242
fish,538,0.9091,0.8736,0.891,0.9888,0.9617,0.7916,0.1439
rayfish,95,0.87,0.9158,0.8923,0.9579,0.9631,0.8044,0.0421
shrimp,11,1.0,0.8182,0.9,0.9091,0.9993,1.0,0.0
squid,10,0.9,0.9,0.9,0.9,0.9946,0.7865,0.0005
turtle,76,0.8875,0.9342,0.9103,0.9605,0.9823,0.7245,0.0949
jellyfish,25,0.8889,0.96,0.9231,0.96,0.9684,0.6414,0.0009
diver,13,0.8667,1.0,0.9286,1.0,0.9974,,
