true,predicted,count,pct_of_true_class
coral,seaAnemone,15,4.31
coral,fish,14,4.02
fish,fishInGroups,14,2.6
fish,seaAnemone,12,2.23
fish,coral,11,2.04
seaAnemone,coral,9,4.07
fish,eel,8,1.49
fishInGroups,fish,7,9.72
coral,rayfish,7,2.01
coral,fishInGroups,6,1.72
marine_dolphin,shark,6,60.0
coral,eel,5,1.44
flatworm,seaSlug,5,38.46
coral,starfish,5,1.44
fishInGroups,coral,5,6.94
seaAnemone,fish,5,2.26
fish,turtle,4,0.74
fish,rayfish,4,0.74
rayfish,fish,3,3.16
fish,starfish,3,0.56
eel,fish,3,7.32
fish,shark,3,0.56
seaAnemone,jellyfish,2,0.9
coral,seaUrchin,2,0.57
coral,turtle,2,0.57
seaCucumber,eel,2,20.0
seaSlug,fish,2,10.0
seaAnemone,seaUrchin,2,0.9
marine_dolphin,fish,2,20.0
rayfish,turtle,2,2.11
turtle,shark,2,2.63
shrimp,crab,2,18.18
seaCucumber,starfish,2,20.0
coral,crab,1,0.29
flatworm,seaCucumber,1,7.69
flatworm,rayfish,1,7.69
flatworm,fish,1,7.69
fishInGroups,starfish,1,1.39
fishInGroups,shark,1,1.39
fish,seaSlug,1,0.19
eel,seaCucumber,1,2.44
fish,diver,1,0.19
eel,flatworm,1,2.44
coral,flatworm,1,0.29
eel,fishInGroups,1,2.44
crab,fish,1,9.09
eel,rayfish,1,2.44
octopus,eel,1,10.0
jellyfish,fish,1,4.0
flatworm,starfish,1,7.69
rayfish,starfish,1,1.05
rayfish,coral,1,1.05
rayfish,diver,1,1.05
rayfish,seaAnemone,1,1.05
jellyfish,seaAnemone,1,4.0
marine_dolphin,turtle,1,10.0
octopus,coral,1,10.0
seaSlug,crab,1,5.0
seaUrchin,coral,1,3.45
seaSlug,starfish,1,5.0
shark,rayfish,1,5.26
seaUrchin,starfish,1,3.45
squid,fish,1,10.0
starfish,eel,1,2.5
starfish,seaCucumber,1,2.5
turtle,coral,1,1.32
