class,support,precision,recall,f1
marine_dolphin,10,1.0,0.1,0.1818
flatworm,13,0.6667,0.3077,0.4211
seaCucumber,10,0.6667,0.6,0.6316
shark,19,0.6,0.9474,0.7347
eel,41,0.6667,0.8293,0.7391
seaSlug,20,0.7273,0.8,0.7619
fishInGroups,72,0.7342,0.8056,0.7682
crab,11,0.7143,0.9091,0.8
starfish,40,0.717,0.95,0.8172
coral,348,0.9091,0.8333,0.8696
rayfish,95,0.86,0.9053,0.8821
octopus,10,1.0,0.8,0.8889
seaAnemone,221,0.875,0.9186,0.8962
seaUrchin,29,0.871,0.931,0.9
shrimp,11,1.0,0.8182,0.9
fish,538,0.9226,0.8866,0.9043
jellyfish,25,0.92,0.92,0.92
turtle,76,0.8902,0.9605,0.9241
diver,13,0.8667,1.0,0.9286
squid,10,1.0,0.9,0.9474
