test_index,true,predicted,confidence,margin,true_class_prob,true_rank
505,fish,shark,1.0,0.9999,0.0,2
1510,starfish,seaCucumber,1.0,1.0,0.0,3
1401,seaCucumber,eel,1.0,1.0,0.0,12
1064,marine_dolphin,turtle,1.0,0.9999,0.0,5
1031,flatworm,seaSlug,1.0,1.0,0.0,2
1024,flatworm,fish,1.0,0.9999,0.0,3
944,fish,eel,1.0,1.0,0.0,3
857,fish,eel,1.0,1.0,0.0,3
1480,shrimp,crab,1.0,1.0,0.0,4
624,fish,fishInGroups,0.9999,0.9999,0.0,3
963,fishInGroups,crab,0.9999,0.9999,1e-04,2
1377,seaAnemone,coral,0.9999,0.9999,1e-04,2
1276,seaAnemone,seaUrchin,0.9997,0.9994,0.0,3
309,coral,fish,0.9996,0.9994,0.0002,3
956,fishInGroups,fish,0.9995,0.9989,0.0005,2
342,coral,eel,0.9995,0.9992,0.0,4
3,coral,seaAnemone,0.9994,0.9988,0.0,5
724,fish,eel,0.9993,0.9985,0.0007,2
1199,seaAnemone,fish,0.9993,0.9989,0.0,5
1478,shrimp,crab,0.9993,0.9985,0.0007,2
252,coral,seaAnemone,0.9993,0.9986,0.0007,2
906,fish,coral,0.9992,0.9987,0.0004,3
1558,turtle,shark,0.9991,0.9986,0.0,9
1063,marine_dolphin,fish,0.999,0.9981,0.0,3
325,coral,fish,0.9989,0.998,1e-04,3
1529,starfish,eel,0.9986,0.9974,0.0,6
1406,seaCucumber,shrimp,0.9983,0.9968,1e-04,3
1532,starfish,shrimp,0.9982,0.9965,0.0,5
803,fish,seaAnemone,0.9977,0.9955,0.0023,2
964,fishInGroups,rayfish,0.9975,0.9954,0.0021,2
1067,marine_dolphin,shark,0.9972,0.9954,0.0008,3
593,fish,fishInGroups,0.9972,0.9946,0.0026,2
1029,flatworm,seaSlug,0.9967,0.9934,0.0033,2
1468,shark,marine_dolphin,0.996,0.994,0.0019,3
341,coral,starfish,0.9957,0.9915,0.0043,2
1420,seaSlug,fish,0.9955,0.9915,0.0002,4
61,coral,fish,0.9954,0.9919,0.0035,2
43,coral,fish,0.9954,0.9923,0.0009,3
307,coral,starfish,0.9952,0.9904,1e-04,3
1213,seaAnemone,coral,0.995,0.9924,0.0027,2
24,coral,seaAnemone,0.9944,0.9896,0.0047,2
337,coral,flatworm,0.9943,0.9904,0.0039,2
1487,squid,fish,0.9942,0.9884,0.0058,2
530,fish,rayfish,0.9941,0.9893,0.0048,2
1103,rayfish,fish,0.9934,0.989,0.0,6
1070,marine_dolphin,rayfish,0.9927,0.9891,1e-04,5
595,fish,fishInGroups,0.9914,0.9828,0.0086,2
1402,seaCucumber,starfish,0.9912,0.9868,0.0044,2
577,fish,coral,0.9911,0.9854,0.0057,2
1452,seaUrchin,seaAnemone,0.9903,0.9857,0.0035,3
967,fishInGroups,fish,0.9902,0.9841,1e-04,6
430,fish,coral,0.9898,0.982,0.0022,3
73,coral,fish,0.9886,0.9824,0.0062,2
599,fish,fishInGroups,0.9886,0.9771,0.0114,2
718,fish,fishInGroups,0.9886,0.9776,0.0109,2
636,fish,flatworm,0.9876,0.9753,0.0123,2
245,coral,seaAnemone,0.9867,0.9805,0.0022,4
557,fish,diver,0.9865,0.9787,0.0078,2
573,fish,coral,0.9864,0.9751,0.0113,2
378,eel,fish,0.9863,0.9811,0.0053,3
134,coral,eel,0.9861,0.9742,1e-04,5
1035,flatworm,rayfish,0.9846,0.9741,0.0105,2
228,coral,rayfish,0.9842,0.9692,0.0005,3
1062,marine_dolphin,shark,0.9839,0.9759,0.008,2
1254,seaAnemone,seaSlug,0.9838,0.9767,0.007,2
1555,turtle,shark,0.9829,0.9728,0.0019,4
287,coral,fish,0.9778,0.9567,0.0211,2
377,eel,fish,0.9778,0.9569,0.0209,2
1239,seaAnemone,rayfish,0.9753,0.962,0.0,14
1273,seaAnemone,seaUrchin,0.9743,0.9547,0.0056,3
449,fish,shark,0.9723,0.9445,0.0277,2
1168,rayfish,coral,0.9723,0.9628,0.0006,9
901,fish,jellyfish,0.9705,0.9545,0.016,2
582,fish,fishInGroups,0.9691,0.9466,0.0084,3
1048,jellyfish,rayfish,0.9688,0.9397,0.0,7
1400,seaCucumber,seaSlug,0.9687,0.9571,0.0116,2
529,fish,fishInGroups,0.9677,0.9359,0.0317,2
1331,seaAnemone,coral,0.9672,0.9344,0.0327,2
27,coral,seaAnemone,0.9671,0.9379,0.0291,2
5,coral,seaAnemone,0.9667,0.9425,0.0242,2
1388,seaAnemone,fish,0.9663,0.9337,0.0006,3
722,fish,seaAnemone,0.966,0.9334,0.0326,2
217,coral,rayfish,0.966,0.9323,0.0338,2
1116,rayfish,fish,0.9644,0.9315,0.0026,3
80,coral,seaAnemone,0.9635,0.9355,0.028,2
427,fish,coral,0.9618,0.9283,0.0335,2
1422,seaSlug,fish,0.9602,0.9237,0.0031,3
1293,seaAnemone,fish,0.9594,0.9214,0.038,2
979,fishInGroups,coral,0.959,0.9223,0.0367,2
1352,seaAnemone,coral,0.9533,0.9236,0.0008,4
60,coral,turtle,0.9506,0.9017,0.0489,2
399,eel,fishInGroups,0.9504,0.918,0.0,6
1391,seaAnemone,fish,0.949,0.898,0.051,2
1203,seaAnemone,fish,0.9487,0.9079,0.0408,2
1066,marine_dolphin,shark,0.9446,0.9035,0.0005,5
606,fish,rayfish,0.944,0.8915,0.0525,2
1411,seaSlug,eel,0.9427,0.8955,0.003,4
941,fish,seaSlug,0.9396,0.8808,0.0012,3
1045,jellyfish,coral,0.9395,0.9021,0.0374,2
115,coral,seaAnemone,0.9395,0.8874,0.0083,3
1073,octopus,eel,0.9378,0.8762,0.0616,2
56,coral,eel,0.9353,0.8754,0.0024,3
1353,seaAnemone,coral,0.9342,0.8697,0.0646,2
795,fish,seaAnemone,0.9341,0.8712,0.0629,2
850,fish,seaAnemone,0.9327,0.8688,0.0639,2
515,fish,rayfish,0.9304,0.8891,0.0,10
946,fish,shark,0.9302,0.8604,0.0698,2
581,fish,fishInGroups,0.9299,0.887,0.0429,2
330,coral,fish,0.9291,0.87,0.0591,2
1173,rayfish,coral,0.9234,0.8819,0.0416,2
1547,turtle,coral,0.9172,0.8388,0.0,7
1340,seaAnemone,coral,0.9136,0.8307,0.0829,2
569,fish,seaSlug,0.9083,0.8167,0.0917,2
890,fish,seaAnemone,0.9041,0.8093,0.0948,2
1072,octopus,fish,0.9031,0.842,0.0162,3
106,coral,fish,0.9011,0.8028,0.0983,2
123,coral,eel,0.9006,0.8068,0.0938,2
1443,seaUrchin,fish,0.898,0.8113,0.0153,3
22,coral,fish,0.8969,0.8349,0.0407,3
950,fish,rayfish,0.8927,0.7997,0.093,2
1587,turtle,fish,0.8917,0.8211,0.0288,3
468,fish,eel,0.881,0.7637,0.1173,2
1032,flatworm,eel,0.8791,0.7752,0.1039,2
985,fishInGroups,fish,0.8765,0.7529,0.1235,2
334,coral,starfish,0.8765,0.7575,0.1191,2
488,fish,seaAnemone,0.875,0.8072,0.057,3
544,fish,coral,0.8737,0.7525,0.1212,2
1003,fishInGroups,coral,0.8677,0.7451,0.1225,2
1350,seaAnemone,coral,0.8664,0.8199,0.0162,5
88,coral,rayfish,0.8628,0.7947,0.0681,2
392,eel,fish,0.8591,0.7183,0.0,5
211,coral,seaUrchin,0.859,0.7179,0.141,2
1404,seaCucumber,seaAnemone,0.8585,0.7413,0.0184,3
393,eel,fish,0.8569,0.7141,1e-04,7
586,fish,coral,0.8522,0.7052,0.147,2
304,coral,eel,0.8375,0.7094,0.1281,2
282,coral,seaSlug,0.8354,0.7847,0.0507,2
204,coral,fish,0.8348,0.6698,0.165,2
288,coral,fish,0.8335,0.6819,0.0147,3
1065,marine_dolphin,shark,0.8316,0.7125,0.1191,2
1027,flatworm,seaSlug,0.8289,0.6712,0.0104,3
405,eel,fish,0.827,0.6543,0.1727,2
285,coral,seaAnemone,0.8247,0.6546,0.003,3
1397,seaCucumber,eel,0.8224,0.6507,0.0056,3
541,fish,coral,0.8181,0.648,0.1701,2
1201,seaAnemone,coral,0.816,0.7112,0.1049,2
14,coral,seaAnemone,0.8112,0.6608,0.1504,2
1208,seaAnemone,jellyfish,0.8108,0.7187,0.0592,3
984,fishInGroups,shrimp,0.8096,0.7562,0.0534,2
237,coral,fish,0.8033,0.6487,0.1545,2
283,coral,seaSlug,0.8025,0.725,0.0769,3
1328,seaAnemone,coral,0.7906,0.6584,0.1322,2
1242,seaAnemone,fish,0.7901,0.5856,0.2044,2
