,coral,crab,diver,eel,fish,fishInGroups,flatworm,jellyfish,marine_dolphin,octopus,rayfish,seaAnemone,seaCucumber,seaSlug,seaUrchin,shark,shrimp,squid,starfish,turtle
coral,291,0,0,6,17,2,1,0,0,0,8,15,0,2,1,0,0,0,4,1
crab,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
diver,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,0,0,0,34,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fish,16,0,1,7,475,9,1,1,0,0,5,13,0,4,0,4,0,0,1,1
fishInGroups,8,1,0,0,5,54,0,0,0,0,1,1,0,0,0,1,1,0,0,0
flatworm,0,0,0,1,1,0,6,0,0,0,1,0,1,3,0,0,0,0,0,0
jellyfish,1,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0
marine_dolphin,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,5,0,0,0,1
octopus,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
rayfish,2,0,0,0,3,0,0,0,0,1,85,0,0,0,0,1,0,1,0,2
seaAnemone,9,0,0,0,9,0,0,1,0,0,1,198,0,1,2,0,0,0,0,0
seaCucumber,1,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0
seaSlug,0,0,0,1,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
seaUrchin,0,0,0,0,1,0,0,0,0,0,0,2,0,1,25,0,0,0,0,0
shark,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,16,0,0,0,0
shrimp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
squid,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0
starfish,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35,0
turtle,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,72
