true,predicted,count,pct_of_true_class
coral,fish,17,4.89
fish,coral,16,2.97
coral,seaAnemone,15,4.31
fish,seaAnemone,13,2.42
fish,fishInGroups,9,1.67
seaAnemone,fish,9,4.07
seaAnemone,coral,9,4.07
fishInGroups,coral,8,11.11
coral,rayfish,8,2.3
fish,eel,7,1.3
coral,eel,6,1.72
eel,fish,5,12.2
fishInGroups,fish,5,6.94
fish,rayfish,5,0.93
marine_dolphin,shark,5,50.0
fish,shark,4,0.74
coral,starfish,4,1.15
fish,seaSlug,4,0.74
seaSlug,fish,3,15.0
rayfish,fish,3,3.16
flatworm,seaSlug,3,23.08
seaUrchin,seaAnemone,2,6.9
shrimp,crab,2,18.18
turtle,shark,2,2.63
starfish,eel,2,5.0
rayfish,coral,2,2.11
octopus,fish,2,20.0
coral,seaSlug,2,0.57
coral,fishInGroups,2,0.57
seaAnemone,seaUrchin,2,0.9
seaCucumber,eel,2,20.0
rayfish,turtle,2,2.11
marine_dolphin,rayfish,2,20.0
coral,turtle,1,0.29
crab,coral,1,9.09
fish,diver,1,0.19
crab,turtle,1,9.09
eel,fishInGroups,1,2.44
eel,starfish,1,2.44
coral,flatworm,1,0.29
coral,seaUrchin,1,0.29
fishInGroups,rayfish,1,1.39
fishInGroups,crab,1,1.39
flatworm,eel,1,7.69
fishInGroups,shrimp,1,1.39
fishInGroups,shark,1,1.39
fishInGroups,seaAnemone,1,1.39
fish,turtle,1,0.19
fish,starfish,1,0.19
fish,flatworm,1,0.19
fish,jellyfish,1,0.19
rayfish,shark,1,1.05
rayfish,octopus,1,1.05
marine_dolphin,turtle,1,10.0
octopus,eel,1,10.0
flatworm,seaCucumber,1,7.69
jellyfish,coral,1,4.0
jellyfish,rayfish,1,4.0
marine_dolphin,fish,1,10.0
flatworm,fish,1,7.69
flatworm,rayfish,1,7.69
seaCucumber,seaAnemone,1,10.0
seaCucumber,coral,1,10.0
seaAnemone,seaSlug,1,0.45
seaAnemone,rayfish,1,0.45
rayfish,squid,1,1.05
seaAnemone,jellyfish,1,0.45
seaSlug,eel,1,5.0
seaCucumber,starfish,1,10.0
seaCucumber,shrimp,1,10.0
seaCucumber,seaSlug,1,10.0
shark,fish,1,5.26
shark,fishInGroups,1,5.26
seaUrchin,seaSlug,1,3.45
seaUrchin,fish,1,3.45
squid,fish,1,10.0
shark,marine_dolphin,1,5.26
starfish,coral,1,2.5
squid,fishInGroups,1,10.0
starfish,seaCucumber,1,2.5
starfish,shrimp,1,2.5
turtle,coral,1,1.32
turtle,fish,1,1.32
