file,test_index,true,predicted,confidence,correct
wrong_000_coral-as-fish.png,309,coral,fish,0.9996,False
wrong_001_crab-as-turtle.png,350,crab,turtle,0.7813,False
wrong_002_eel-as-fish.png,378,eel,fish,0.9863,False
wrong_003_fish-as-eel.png,944,fish,eel,1.0,False
wrong_004_fishInGroups-as-crab.png,963,fishInGroups,crab,0.9999,False
wrong_005_flatworm-as-seaSlug.png,1031,flatworm,seaSlug,1.0,False
wrong_006_jellyfish-as-rayfish.png,1048,jellyfish,rayfish,0.9688,False
wrong_007_marine_dolphin-as-turtle.png,1064,marine_dolphin,turtle,1.0,False
wrong_008_octopus-as-eel.png,1073,octopus,eel,0.9378,False
wrong_009_rayfish-as-fish.png,1103,rayfish,fish,0.9934,False
wrong_010_seaAnemone-as-coral.png,1377,seaAnemone,coral,0.9999,False
wrong_011_seaCucumber-as-eel.png,1401,seaCucumber,eel,1.0,False
wrong_012_seaSlug-as-fish.png,1420,seaSlug,fish,0.9955,False
wrong_013_seaUrchin-as-seaAnemone.png,1452,seaUrchin,seaAnemone,0.9903,False
wrong_014_shark-as-marine_dolphin.png,1468,shark,marine_dolphin,0.996,False
wrong_015_shrimp-as-crab.png,1480,shrimp,crab,1.0,False
wrong_016_squid-as-fish.png,1487,squid,fish,0.9942,False
wrong_017_starfish-as-seaCucumber.png,1510,starfish,seaCucumber,1.0,False
wrong_018_turtle-as-shark.png,1558,turtle,shark,0.9991,False
wrong_019_coral-as-eel.png,342,coral,eel,0.9995,False
ok_020_coral-as-coral.png,0,coral,coral,1.0,True
ok_021_crab-as-crab.png,349,crab,crab,1.0,True
ok_022_diver-as-diver.png,359,diver,diver,1.0,True
ok_023_eel-as-eel.png,380,eel,eel,1.0,True
ok_024_fish-as-fish.png,423,fish,fish,1.0,True
ok_025_fishInGroups-as-fishInGroups.png,993,fishInGroups,fishInGroups,1.0,True
ok_026_flatworm-as-flatworm.png,1033,flatworm,flatworm,1.0,True
ok_027_jellyfish-as-jellyfish.png,1037,jellyfish,jellyfish,1.0,True
ok_028_marine_dolphin-as-marine_dolphin.png,1069,marine_dolphin,marine_dolphin,0.8655,True
ok_029_octopus-as-octopus.png,1071,octopus,octopus,1.0,True
ok_030_rayfish-as-rayfish.png,1081,rayfish,rayfish,1.0,True
ok_031_seaAnemone-as-seaAnemone.png,1177,seaAnemone,seaAnemone,1.0,True
ok_032_seaCucumber-as-seaCucumber.png,1399,seaCucumber,seaCucumber,1.0,True
ok_033_seaSlug-as-seaSlug.png,1412,seaSlug,seaSlug,1.0,True
ok_034_seaUrchin-as-seaUrchin.png,1427,seaUrchin,seaUrchin,1.0,True
ok_035_shark-as-shark.png,1459,shark,shark,1.0,True
ok_036_shrimp-as-shrimp.png,1476,shrimp,shrimp,1.0,True
ok_037_squid-as-squid.png,1488,squid,squid,1.0,True
ok_038_starfish-as-starfish.png,1501,starfish,starfish,1.0,True
ok_039_turtle-as-turtle.png,1537,turtle,turtle,1.0,True
