class,support,precision,recall,f1,top3_recall,mean_conf_correct,mean_conf_wrong,mean_true_prob_when_wrong
marine_dolphin,10,0.5,0.1,0.1667,0.5,0.8655,0.8871,0.0145
seaCucumber,10,0.6,0.3,0.4,0.8,0.6883,0.8902,0.0125
flatworm,13,0.75,0.4615,0.5714,1.0,0.9388,0.9255,0.0479
seaSlug,20,0.5714,0.8,0.6667,0.9,0.961,0.9029,0.0724
shark,19,0.5517,0.8421,0.6667,0.8947,0.9589,0.7764,0.0023
eel,41,0.6296,0.8293,0.7158,0.9024,0.9681,0.8907,0.0312
fishInGroups,72,0.7941,0.75,0.7714,0.9861,0.9367,0.7141,0.1934
octopus,10,0.875,0.7,0.7778,0.9,0.9833,0.7499,0.0264
crab,11,0.75,0.8182,0.7826,0.9091,0.9752,0.6315,0.1332
shrimp,11,0.75,0.8182,0.7826,0.9091,0.9991,0.9996,0.0004
squid,10,0.8889,0.8,0.8421,0.9,0.9948,0.7538,0.0029
starfish,40,0.8333,0.875,0.8537,0.95,0.9936,0.8623,0.0604
rayfish,95,0.8173,0.8947,0.8543,0.9789,0.9878,0.7112,0.1618
coral,348,0.8792,0.8362,0.8571,0.9856,0.9473,0.8381,0.1092
seaUrchin,29,0.8929,0.8621,0.8772,1.0,0.9515,0.7481,0.0867
seaAnemone,221,0.8609,0.8959,0.878,0.9819,0.9691,0.8837,0.0705
fish,538,0.9048,0.8829,0.8937,0.9963,0.9624,0.8106,0.135
jellyfish,25,0.92,0.92,0.92,0.96,0.994,0.9542,0.0187
turtle,76,0.9231,0.9474,0.9351,0.9605,0.9882,0.9477,0.0077
diver,13,0.9286,1.0,0.963,1.0,0.9795,,
