test_index,true,predicted,confidence,margin,true_class_prob,true_rank
14,coral,seaAnemone,0.998,0.9967,0.0014,2
329,coral,seaUrchin,0.998,0.9974,0.0004,4
3,coral,seaAnemone,0.9957,0.9942,0.0007,4
425,fish,eel,0.9948,0.992,1e-04,11
1452,seaUrchin,seaAnemone,0.9945,0.9919,0.0014,3
501,fish,eel,0.9944,0.9927,0.0015,3
1394,seaAnemone,seaUrchin,0.9935,0.988,0.0054,2
1480,shrimp,crab,0.9934,0.9916,0.0015,3
6,coral,seaUrchin,0.9899,0.9866,0.0008,6
840,fish,seaAnemone,0.9889,0.9827,0.0062,2
906,fish,coral,0.9884,0.9832,0.0052,2
484,fish,turtle,0.9861,0.9822,0.0029,4
307,coral,seaUrchin,0.986,0.9803,0.0028,3
22,coral,seaAnemone,0.9841,0.9748,0.0093,2
724,fish,eel,0.9839,0.9781,1e-04,12
189,coral,seaAnemone,0.983,0.97,0.0034,3
1465,shark,turtle,0.9828,0.9772,0.0054,3
24,coral,seaAnemone,0.9788,0.9691,0.0097,2
1009,fishInGroups,fish,0.9783,0.9597,0.0186,2
718,fish,fishInGroups,0.9769,0.9671,0.0094,3
60,coral,turtle,0.9764,0.963,0.0134,2
80,coral,seaAnemone,0.9754,0.9602,0.0079,3
529,fish,fishInGroups,0.9743,0.9614,0.0129,2
341,coral,starfish,0.9736,0.9551,0.004,3
551,fish,eel,0.9733,0.9616,0.0003,11
857,fish,eel,0.9728,0.96,0.0002,13
600,fish,seaSlug,0.9725,0.9616,0.0004,7
1290,seaAnemone,seaUrchin,0.9704,0.9433,0.0271,2
1352,seaAnemone,coral,0.9674,0.9403,0.0272,2
505,fish,shark,0.9671,0.9502,0.0027,5
228,coral,rayfish,0.9666,0.955,0.0013,9
460,fish,turtle,0.9665,0.9522,0.0143,2
27,coral,seaAnemone,0.966,0.9477,0.0184,2
446,fish,rayfish,0.9628,0.9509,0.0039,5
959,fishInGroups,fish,0.9603,0.9429,0.0174,2
1425,seaSlug,flatworm,0.9601,0.9222,0.0379,2
944,fish,eel,0.9552,0.9466,1e-04,17
893,fish,seaAnemone,0.9439,0.9144,0.0295,2
560,fish,eel,0.9371,0.908,0.0008,11
901,fish,fishInGroups,0.9345,0.8936,0.006,4
984,fishInGroups,shrimp,0.9327,0.8986,0.0341,2
1359,seaAnemone,coral,0.9304,0.8842,0.0462,2
746,fish,turtle,0.9292,0.8826,0.0126,3
1213,seaAnemone,coral,0.9219,0.8501,0.0718,2
515,fish,seaCucumber,0.9186,0.8872,0.0011,10
890,fish,seaAnemone,0.9182,0.8395,0.0787,2
850,fish,seaAnemone,0.9174,0.8421,0.0754,2
1076,octopus,eel,0.9115,0.8869,0.0158,4
473,fish,turtle,0.9102,0.8209,0.0893,2
121,coral,fishInGroups,0.908,0.8567,0.0513,2
950,fish,eel,0.907,0.8427,0.0643,2
245,coral,seaAnemone,0.9065,0.8481,0.0109,4
1391,seaAnemone,fish,0.9062,0.8165,0.0897,2
894,fish,seaAnemone,0.9058,0.8189,0.0869,2
299,coral,jellyfish,0.9049,0.8541,0.0055,6
118,coral,seaAnemone,0.9,0.8408,0.0245,3
555,fish,eel,0.8988,0.8595,0.0122,4
932,fish,fishInGroups,0.8977,0.819,0.0787,2
556,fish,fishInGroups,0.8939,0.8348,0.0591,2
1073,octopus,eel,0.8889,0.824,0.0649,2
967,fishInGroups,fish,0.8875,0.7846,0.1029,2
115,coral,seaAnemone,0.8852,0.7912,0.094,2
964,fishInGroups,shark,0.8824,0.7855,0.0969,2
994,fishInGroups,fish,0.8813,0.8426,0.0134,5
1163,rayfish,shark,0.8808,0.8186,0.0478,3
107,coral,fishInGroups,0.8778,0.7977,0.08,2
79,coral,fishInGroups,0.875,0.7639,0.111,2
56,coral,eel,0.8736,0.8365,0.0109,5
577,fish,coral,0.865,0.8068,0.0287,3
1130,rayfish,octopus,0.8633,0.7867,0.0004,14
1497,starfish,seaAnemone,0.8633,0.7679,0.0953,2
1173,rayfish,seaSlug,0.8533,0.8005,0.0058,7
449,fish,shark,0.853,0.7185,0.0078,3
1199,seaAnemone,fish,0.8497,0.7101,0.1395,2
324,coral,fishInGroups,0.8489,0.7563,0.0926,2
61,coral,seaAnemone,0.848,0.7017,0.0025,3
1015,fishInGroups,fish,0.8478,0.7861,0.0618,2
489,fish,fishInGroups,0.842,0.7436,0.0984,2
980,fishInGroups,fish,0.8286,0.7548,0.0532,3
90,coral,seaAnemone,0.8278,0.6978,0.0334,3
1068,marine_dolphin,shark,0.8256,0.6576,0.1681,2
536,fish,fishInGroups,0.8218,0.6738,0.148,2
587,fish,fishInGroups,0.8204,0.7488,0.0439,3
452,fish,eel,0.8169,0.7074,0.1095,2
468,fish,fishInGroups,0.8163,0.7153,0.0622,3
978,fishInGroups,fish,0.8151,0.6316,0.1835,2
824,fish,fishInGroups,0.8131,0.6477,0.1655,2
106,coral,seaAnemone,0.8034,0.6603,0.0495,3
471,fish,rayfish,0.8033,0.6587,0.1446,2
435,fish,diver,0.7988,0.7139,0.0483,3
344,coral,fishInGroups,0.7979,0.7111,0.0868,2
884,fish,seaAnemone,0.7962,0.5961,0.2001,2
424,fish,seaCucumber,0.7945,0.7169,0.0003,15
83,coral,seaAnemone,0.7933,0.6716,0.0366,4
836,fish,seaAnemone,0.7919,0.5911,0.2008,2
517,fish,fishInGroups,0.7865,0.583,0.2035,2
309,coral,fish,0.7848,0.6865,0.0983,2
73,coral,fish,0.782,0.6649,0.0596,3
42,coral,fish,0.7793,0.7124,0.0488,4
277,coral,seaAnemone,0.7765,0.6674,0.1091,2
584,fish,fishInGroups,0.7746,0.6735,0.1011,2
120,coral,seaAnemone,0.7738,0.5554,0.2184,2
25,coral,fishInGroups,0.7699,0.5833,0.1867,2
938,fish,eel,0.7695,0.7112,0.0015,15
50,coral,seaAnemone,0.7686,0.6184,0.068,3
493,fish,fishInGroups,0.7668,0.6143,0.1525,2
895,fish,seaAnemone,0.7533,0.5371,0.2162,2
314,coral,seaSlug,0.7468,0.6645,0.0823,2
923,fish,turtle,0.7451,0.6576,0.0083,6
1189,seaAnemone,fish,0.7448,0.6536,0.0851,3
287,coral,fishInGroups,0.7406,0.5987,0.1419,2
544,fish,eel,0.7403,0.5972,0.0038,9
1,coral,fishInGroups,0.7355,0.6407,0.0065,8
885,fish,seaAnemone,0.7324,0.5243,0.2081,2
1063,marine_dolphin,fishInGroups,0.7264,0.6275,0.0989,2
1078,octopus,starfish,0.72,0.4686,0.2514,2
108,coral,fish,0.7192,0.5805,0.1387,2
431,fish,eel,0.7188,0.5947,0.1241,2
421,fish,turtle,0.7183,0.6222,0.0788,3
1064,marine_dolphin,turtle,0.7179,0.5442,0.1737,2
553,fish,fishInGroups,0.7117,0.5308,0.1809,2
531,fish,fishInGroups,0.7094,0.5181,0.1913,2
97,coral,fishInGroups,0.7072,0.533,0.1742,2
288,coral,seaSlug,0.7059,0.4689,0.237,2
1165,rayfish,shark,0.6963,0.4361,0.2602,2
43,coral,seaAnemone,0.6925,0.4066,0.0146,3
1031,flatworm,seaSlug,0.6909,0.3849,0.3061,2
610,fish,fishInGroups,0.6904,0.4693,0.2211,2
78,coral,fishInGroups,0.6867,0.5092,0.1012,3
845,fish,seaAnemone,0.6867,0.3858,0.3009,2
284,coral,seaAnemone,0.6857,0.5801,0.0959,4
280,coral,fishInGroups,0.6855,0.4819,0.2036,2
726,fish,seaAnemone,0.6843,0.3922,0.2921,2
23,coral,seaAnemone,0.6823,0.5292,0.0219,5
878,fish,seaAnemone,0.6815,0.4576,0.2239,2
804,fish,seaAnemone,0.6782,0.3812,0.2969,2
1368,seaAnemone,seaUrchin,0.6773,0.4602,0.217,2
1156,rayfish,turtle,0.675,0.385,0.2899,2
426,fish,fishInGroups,0.6747,0.38,0.2947,2
579,fish,fishInGroups,0.6687,0.5294,0.1393,2
308,coral,fishInGroups,0.6676,0.3533,0.3143,2
581,fish,coral,0.6657,0.5596,0.0858,3
969,fishInGroups,fish,0.6657,0.3726,0.2931,2
39,coral,crab,0.6625,0.4246,0.0021,8
15,coral,seaAnemone,0.6614,0.4179,0.2435,2
57,coral,seaAnemone,0.6585,0.5081,0.0736,3
1411,seaSlug,starfish,0.6572,0.4916,0.0451,3
550,fish,fishInGroups,0.6544,0.3945,0.2599,2
593,fish,fishInGroups,0.6531,0.4179,0.2351,2
1066,marine_dolphin,shark,0.6519,0.3721,0.0189,4
470,fish,marine_dolphin,0.648,0.4954,0.0391,4
336,coral,fishInGroups,0.6431,0.3526,0.2904,2
527,fish,eel,0.6376,0.4489,0.1887,2
902,fish,seaAnemone,0.6374,0.3332,0.3042,2
12,coral,diver,0.6367,0.4567,0.18,2
101,coral,seaAnemone,0.6356,0.3297,0.3059,2
747,fish,seaAnemone,0.6347,0.2927,0.3419,2
586,fish,coral,0.631,0.4382,0.1929,2
465,fish,seaSlug,0.6308,0.3985,0.2323,2
952,fishInGroups,diver,0.6281,0.359,0.2691,2
1529,starfish,eel,0.6267,0.4179,0.2088,2
134,coral,starfish,0.6172,0.431,0.0166,7
289,coral,seaUrchin,0.6165,0.3852,0.2313,2
875,fish,seaAnemone,0.6124,0.2892,0.3232,2
582,fish,fishInGroups,0.6101,0.3737,0.0971,3
315,coral,rayfish,0.6099,0.4612,0.0346,5
535,fish,fishInGroups,0.6099,0.508,0.0881,4
985,fishInGroups,fish,0.6089,0.3933,0.0303,4
585,fish,seaAnemone,0.6077,0.2254,0.3823,2
1139,rayfish,octopus,0.6062,0.3422,0.264,2
1494,squid,shrimp,0.6027,0.4519,0.1508,2
306,coral,fishInGroups,0.6025,0.3891,0.2135,2
8,coral,seaAnemone,0.6023,0.2456,0.3567,2
803,fish,seaAnemone,0.5999,0.2117,0.3882,2
722,fish,seaAnemone,0.5989,0.2439,0.3549,2
1002,fishInGroups,fish,0.5917,0.2209,0.3708,2
941,fish,seaAnemone,0.5902,0.4363,0.0213,6
606,fish,rayfish,0.588,0.4956,0.072,4
211,coral,fishInGroups,0.588,0.3055,0.2825,2
436,fish,octopus,0.5877,0.3535,0.0084,7
461,fish,rayfish,0.5859,0.3974,0.1885,2
1360,seaAnemone,fish,0.5797,0.1722,0.4074,2
