true,predicted,count,pct_of_true_class
fish,fishInGroups,38,7.06
coral,seaAnemone,31,8.91
coral,fishInGroups,28,8.05
fish,seaAnemone,24,4.46
fish,eel,15,2.79
fish,turtle,15,2.79
fishInGroups,fish,13,18.06
coral,fish,8,2.3
fish,octopus,7,1.3
fish,coral,7,1.3
fish,seaUrchin,6,1.12
fish,shark,6,1.12
seaAnemone,fish,6,2.71
coral,octopus,6,1.72
seaAnemone,coral,5,2.26
fish,rayfish,5,0.93
coral,seaUrchin,5,1.44
coral,diver,4,1.15
coral,rayfish,4,1.15
fishInGroups,shark,3,4.17
marine_dolphin,shark,3,30.0
seaAnemone,seaUrchin,3,1.36
fish,marine_dolphin,3,0.56
coral,eel,2,0.57
flatworm,seaSlug,2,15.38
octopus,eel,2,20.0
rayfish,shark,2,2.11
fishInGroups,coral,2,2.78
fish,starfish,2,0.37
fish,squid,2,0.37
fish,seaCucumber,2,0.37
fish,seaSlug,2,0.37
fishInGroups,diver,2,2.78
coral,starfish,2,0.57
coral,turtle,2,0.57
rayfish,octopus,2,2.11
coral,seaSlug,2,0.57
coral,jellyfish,1,0.29
coral,crab,1,0.29
coral,flatworm,1,0.29
fishInGroups,shrimp,1,1.39
fishInGroups,seaAnemone,1,1.39
fishInGroups,rayfish,1,1.39
coral,seaCucumber,1,0.29
eel,octopus,1,2.44
fish,diver,1,0.19
eel,seaCucumber,1,2.44
fish,crab,1,0.19
octopus,jellyfish,1,10.0
marine_dolphin,turtle,1,10.0
marine_dolphin,fish,1,10.0
octopus,starfish,1,10.0
rayfish,seaCucumber,1,1.05
rayfish,jellyfish,1,1.05
marine_dolphin,fishInGroups,1,10.0
fishInGroups,squid,1,1.39
rayfish,turtle,1,1.05
rayfish,seaSlug,1,1.05
seaAnemone,rayfish,1,0.45
seaCucumber,shark,1,10.0
seaSlug,flatworm,1,5.0
seaSlug,starfish,1,5.0
seaUrchin,coral,1,3.45
seaUrchin,seaAnemone,1,3.45
shark,turtle,1,5.26
shrimp,crab,1,9.09
squid,seaSlug,1,10.0
squid,shrimp,1,10.0
starfish,coral,1,2.5
starfish,eel,1,2.5
starfish,seaAnemone,1,2.5
turtle,seaCucumber,1,1.32
