file,test_index,true,predicted,confidence,correct
err_000_coral-as-seaAnemone.png,14,coral,seaAnemone,0.998,False
err_001_eel-as-octopus.png,392,eel,octopus,0.5272,False
err_002_fish-as-eel.png,425,fish,eel,0.9948,False
err_003_fishInGroups-as-fish.png,1009,fishInGroups,fish,0.9783,False
err_004_flatworm-as-seaSlug.png,1031,flatworm,seaSlug,0.6909,False
err_005_marine_dolphin-as-shark.png,1068,marine_dolphin,shark,0.8256,False
err_006_octopus-as-eel.png,1076,octopus,eel,0.9115,False
err_007_rayfish-as-shark.png,1163,rayfish,shark,0.8808,False
err_008_seaAnemone-as-seaUrchin.png,1394,seaAnemone,seaUrchin,0.9935,False
err_009_seaCucumber-as-shark.png,1403,seaCucumber,shark,0.5029,False
err_010_seaSlug-as-flatworm.png,1425,seaSlug,flatworm,0.9601,False
err_011_seaUrchin-as-seaAnemone.png,1452,seaUrchin,seaAnemone,0.9945,False
err_012_shark-as-turtle.png,1465,shark,turtle,0.9828,False
err_013_shrimp-as-crab.png,1480,shrimp,crab,0.9934,False
err_014_squid-as-shrimp.png,1494,squid,shrimp,0.6027,False
err_015_starfish-as-seaAnemone.png,1497,starfish,seaAnemone,0.8633,False
err_016_turtle-as-seaCucumber.png,1547,turtle,seaCucumber,0.4076,False
err_017_coral-as-seaUrchin.png,329,coral,seaUrchin,0.998,False
err_018_eel-as-seaCucumber.png,384,eel,seaCucumber,0.4277,False
err_019_fish-as-eel.png,501,fish,eel,0.9944,False
zz_ok_020_coral-as-coral.png,259,coral,coral,0.9988,True
zz_ok_021_crab-as-crab.png,349,crab,crab,0.9991,True
zz_ok_022_diver-as-diver.png,368,diver,diver,0.9998,True
zz_ok_023_eel-as-eel.png,385,eel,eel,0.9947,True
zz_ok_024_fish-as-fish.png,444,fish,fish,0.9979,True
zz_ok_025_fishInGroups-as-fishInGroups.png,966,fishInGroups,fishInGroups,0.9983,True
zz_ok_026_flatworm-as-flatworm.png,1035,flatworm,flatworm,0.9967,True
zz_ok_027_jellyfish-as-jellyfish.png,1047,jellyfish,jellyfish,0.999,True
zz_ok_028_marine_dolphin-as-marine_dolphin.png,1070,marine_dolphin,marine_dolphin,0.9728,True
zz_ok_029_octopus-as-octopus.png,1077,octopus,octopus,0.9993,True
zz_ok_030_rayfish-as-rayfish.png,1147,rayfish,rayfish,0.9985,True
zz_ok_031_seaAnemone-as-seaAnemone.png,1266,seaAnemone,seaAnemone,0.9998,True
zz_ok_032_seaCucumber-as-seaCucumber.png,1398,seaCucumber,seaCucumber,0.9954,True
zz_ok_033_seaSlug-as-seaSlug.png,1412,seaSlug,seaSlug,0.9977,True
zz_ok_034_seaUrchin-as-seaUrchin.png,1440,seaUrchin,seaUrchin,0.9998,True
zz_ok_035_shark-as-shark.png,1460,shark,shark,0.9992,True
zz_ok_036_shrimp-as-shrimp.png,1484,shrimp,shrimp,0.9999,True
zz_ok_037_squid-as-squid.png,1486,squid,squid,1.0,True
zz_ok_038_starfish-as-starfish.png,1512,starfish,starfish,0.9993,True
zz_ok_039_turtle-as-turtle.png,1573,turtle,turtle,1.0,True
