class,support,precision,recall,f1,top3_recall,mean_conf_correct,mean_conf_wrong,mean_true_prob_when_wrong
octopus,10,0.2727,0.6,0.375,0.9,0.8499,0.7292,0.1602
marine_dolphin,10,0.5714,0.4,0.4706,0.8,0.845,0.6541,0.1288
fishInGroups,72,0.4174,0.6667,0.5134,0.9444,0.8567,0.648,0.1727
shark,19,0.5455,0.9474,0.6923,1.0,0.9374,0.9828,0.0054
seaCucumber,10,0.6,0.9,0.72,0.9,0.9794,0.5029,0.0011
squid,10,0.7273,0.8,0.7619,1.0,0.996,0.5712,0.2992
seaUrchin,29,0.6585,0.931,0.7714,1.0,0.9757,0.7093,0.0388
eel,41,0.661,0.9512,0.78,1.0,0.9338,0.4775,0.2638
seaSlug,20,0.6923,0.9,0.7826,1.0,0.9247,0.8087,0.0415
diver,13,0.65,1.0,0.7879,1.0,0.9941,,
coral,348,0.9398,0.7184,0.8143,0.9368,0.8409,0.647,0.1481
fish,538,0.9349,0.7472,0.8306,0.9182,0.8739,0.6202,0.1375
flatworm,13,0.8462,0.8462,0.8462,1.0,0.8652,0.5026,0.2821
seaAnemone,221,0.7803,0.9321,0.8495,0.9955,0.946,0.7265,0.1733
shrimp,11,0.8333,0.9091,0.8696,1.0,0.9664,0.9934,0.0015
turtle,76,0.7895,0.9868,0.8772,1.0,0.9957,0.4076,0.2937
crab,11,0.7857,1.0,0.88,1.0,0.8887,,
starfish,40,0.8605,0.925,0.8916,1.0,0.9368,0.6562,0.2242
rayfish,95,0.8878,0.9158,0.9016,0.9684,0.9431,0.6839,0.1626
jellyfish,25,0.8929,1.0,0.9434,1.0,0.9618,,
