test_index,true,predicted,confidence,margin,true_class_prob,true_rank
944,fish,eel,1.0,1.0,0.0,3
1480,shrimp,crab,0.9999,0.9998,0.0,3
425,fish,eel,0.9998,0.9995,0.0002,2
718,fish,fishInGroups,0.9997,0.9994,0.0003,2
341,coral,starfish,0.9996,0.9994,0.0002,3
857,fish,eel,0.9991,0.9984,0.0007,2
60,coral,turtle,0.9986,0.9973,0.0013,2
724,fish,eel,0.9982,0.9968,0.0014,2
3,coral,seaAnemone,0.9981,0.9971,0.001,2
252,coral,seaAnemone,0.9978,0.9957,0.0022,2
115,coral,seaAnemone,0.9966,0.9945,0.0021,2
1199,seaAnemone,fish,0.9954,0.9926,0.0013,3
593,fish,fishInGroups,0.9936,0.9874,0.0062,2
329,coral,seaUrchin,0.9918,0.9851,0.0067,2
581,fish,fishInGroups,0.9886,0.9798,0.0088,2
1425,seaSlug,flatworm,0.988,0.976,0.012,2
1452,seaUrchin,seaAnemone,0.9873,0.9763,0.0009,3
1173,rayfish,seaSlug,0.984,0.971,0.0004,4
529,fish,fishInGroups,0.9836,0.9672,0.0164,2
14,coral,seaAnemone,0.9825,0.9656,0.0169,2
307,coral,seaUrchin,0.9823,0.9687,0.0035,3
1352,seaAnemone,coral,0.9798,0.9638,0.016,2
1391,seaAnemone,fish,0.9761,0.9529,0.0232,2
56,coral,eel,0.9759,0.9561,0.0198,2
624,fish,fishInGroups,0.9737,0.9531,0.0049,3
309,coral,fish,0.9704,0.9478,0.0226,2
599,fish,fishInGroups,0.9692,0.9384,0.0308,2
551,fish,eel,0.9685,0.9418,0.0268,2
505,fish,shark,0.9674,0.9355,0.0319,2
1213,seaAnemone,coral,0.9654,0.9312,0.0342,2
27,coral,seaAnemone,0.9636,0.9287,0.0349,2
1401,seaCucumber,eel,0.9635,0.9298,0.0337,2
342,coral,seaSlug,0.9635,0.9389,0.0081,3
582,fish,fishInGroups,0.9623,0.9322,0.0075,3
1024,flatworm,seaSlug,0.9563,0.9149,0.0019,3
104,coral,fishInGroups,0.9541,0.9099,0.0442,2
76,coral,fish,0.9538,0.9284,0.0254,2
43,coral,fish,0.9504,0.9158,0.004,4
647,fish,fishInGroups,0.9476,0.9044,0.0432,2
24,coral,seaAnemone,0.943,0.8867,0.0563,2
595,fish,fishInGroups,0.9397,0.8798,0.0599,2
73,coral,fish,0.9345,0.9034,0.0311,2
914,fish,fishInGroups,0.9338,0.8842,0.0496,2
42,coral,fish,0.9305,0.8778,0.0164,3
440,fish,turtle,0.9276,0.8953,0.0138,4
1466,shark,fish,0.9274,0.8987,0.0287,2
901,fish,fishInGroups,0.9195,0.8521,0.0673,2
334,coral,eel,0.918,0.8517,0.0663,2
560,fish,eel,0.918,0.8408,0.0772,2
878,fish,seaAnemone,0.8879,0.798,0.0899,2
1331,seaAnemone,coral,0.8849,0.7766,0.1083,2
1547,turtle,coral,0.8825,0.7801,0.0036,3
985,fishInGroups,fish,0.878,0.7595,0.1185,2
1350,seaAnemone,coral,0.8759,0.8093,0.0666,2
34,coral,fish,0.868,0.7606,0.1074,2
1377,seaAnemone,coral,0.8594,0.7192,0.1402,2
6,coral,seaUrchin,0.8569,0.7807,0.0587,3
22,coral,seaAnemone,0.8477,0.7008,0.1469,2
1360,seaAnemone,fish,0.8347,0.6751,0.1596,2
118,coral,seaAnemone,0.831,0.7435,0.0875,2
980,fishInGroups,fish,0.8295,0.7198,0.1097,2
956,fishInGroups,fish,0.8274,0.6549,0.1725,2
938,fish,eel,0.8206,0.689,0.0101,4
1388,seaAnemone,fish,0.8205,0.7139,0.0349,4
1072,octopus,fish,0.8082,0.6965,0.0638,3
955,fishInGroups,fish,0.8035,0.6118,0.1916,2
80,coral,seaAnemone,0.8026,0.6138,0.1888,2
443,fish,fishInGroups,0.7943,0.5887,0.2056,2
984,fishInGroups,fish,0.7873,0.5791,0.2082,2
245,coral,seaAnemone,0.7865,0.6571,0.1294,2
979,fishInGroups,coral,0.7848,0.5857,0.1992,2
583,fish,fishInGroups,0.7833,0.591,0.1924,2
1079,octopus,squid,0.7737,0.5475,0.2262,2
23,coral,seaAnemone,0.7726,0.5894,0.1832,2
96,coral,fishInGroups,0.7664,0.5666,0.0333,3
61,coral,fish,0.7664,0.6333,0.1331,2
1027,flatworm,seaSlug,0.7632,0.6265,0.0139,4
1394,seaAnemone,seaUrchin,0.7553,0.5295,0.2258,2
289,coral,seaUrchin,0.7512,0.5054,0.2458,2
1205,seaAnemone,fish,0.7372,0.4891,0.2482,2
1210,seaAnemone,fish,0.7365,0.5909,0.0235,4
1063,marine_dolphin,fishInGroups,0.7328,0.4818,0.0123,3
864,fish,seaAnemone,0.7302,0.4889,0.0271,3
228,coral,rayfish,0.7277,0.5197,0.208,2
959,fishInGroups,fish,0.7275,0.51,0.2175,2
906,fish,coral,0.7165,0.444,0.2725,2
108,coral,fish,0.7154,0.4692,0.2462,2
427,fish,fishInGroups,0.711,0.4329,0.2781,2
967,fishInGroups,fish,0.705,0.41,0.295,2
430,fish,coral,0.7034,0.4452,0.0369,3
485,fish,fishInGroups,0.7006,0.4033,0.2973,2
325,coral,fish,0.6986,0.4169,0.0182,3
2,coral,fish,0.6972,0.535,0.1396,3
1403,seaCucumber,shark,0.6864,0.5613,0.0311,5
1465,shark,turtle,0.6776,0.4089,0.2688,2
969,fishInGroups,fish,0.6676,0.3392,0.3284,2
715,fish,fishInGroups,0.665,0.3302,0.3348,2
1426,seaSlug,seaCucumber,0.6559,0.4304,0.0985,3
1359,seaAnemone,coral,0.6537,0.3133,0.3405,2
983,fishInGroups,fish,0.6536,0.3321,0.3215,2
314,coral,seaSlug,0.6524,0.3108,0.3417,2
90,coral,fish,0.6517,0.4569,0.1948,2
1034,flatworm,seaSlug,0.6455,0.316,0.0243,3
1497,starfish,seaAnemone,0.6298,0.2659,0.3639,2
344,coral,fishInGroups,0.6255,0.2645,0.361,2
600,fish,seaSlug,0.6186,0.3976,0.0667,3
596,fish,fishInGroups,0.6168,0.2812,0.3356,2
994,fishInGroups,fish,0.6164,0.2339,0.3825,2
1009,fishInGroups,fish,0.6094,0.2187,0.3906,2
577,fish,coral,0.5887,0.2446,0.0566,3
1273,seaAnemone,seaUrchin,0.5857,0.1877,0.398,2
722,fish,seaAnemone,0.57,0.1608,0.4092,2
557,fish,diver,0.5694,0.3198,0.0564,4
281,coral,eel,0.5649,0.1864,0.3785,2
1066,marine_dolphin,fish,0.5627,0.2729,0.0034,4
1090,rayfish,starfish,0.5533,0.3108,0.1122,3
586,fish,coral,0.5531,0.197,0.356,2
515,fish,seaCucumber,0.547,0.3243,0.0391,5
384,eel,seaCucumber,0.545,0.2148,0.1018,3
1276,seaAnemone,coral,0.5424,0.256,0.2863,2
497,fish,fishInGroups,0.5396,0.0814,0.4582,2
50,coral,seaAnemone,0.5388,0.1049,0.4339,2
858,fish,fishInGroups,0.5335,0.0685,0.465,2
424,fish,coral,0.5324,0.1557,0.3767,2
462,fish,squid,0.5257,0.0556,0.4701,2
1061,marine_dolphin,shark,0.5209,0.1547,0.3661,2
83,coral,fish,0.5199,0.1824,0.3375,2
941,fish,seaSlug,0.5194,0.1541,0.0734,3
435,fish,diver,0.5184,0.1457,0.0688,3
587,fish,fishInGroups,0.5176,0.2393,0.2783,2
455,fish,fishInGroups,0.511,0.0258,0.4852,2
823,fish,coral,0.51,0.162,0.348,2
493,fish,fishInGroups,0.5086,0.0401,0.4685,2
1328,seaAnemone,coral,0.5037,0.009,0.4946,2
543,fish,turtle,0.5034,0.0276,0.4758,2
1605,turtle,shark,0.5028,0.0124,0.4905,2
287,coral,fishInGroups,0.4971,0.0529,0.4442,2
1140,rayfish,fish,0.4937,0.0577,0.436,2
1406,seaCucumber,eel,0.4903,0.0262,0.4641,2
579,fish,fishInGroups,0.4759,0.097,0.379,2
88,coral,rayfish,0.4725,0.2501,0.2224,2
1064,marine_dolphin,shark,0.4722,0.0181,0.4542,2
351,crab,coral,0.4674,0.2758,0.1342,3
204,coral,fish,0.4467,0.1179,0.3288,2
1130,rayfish,seaAnemone,0.4423,0.2267,0.1693,3
417,fish,fishInGroups,0.4233,0.009,0.4142,2
1239,seaAnemone,rayfish,0.411,0.0152,0.3958,2
1475,shrimp,fish,0.4035,0.064,0.3395,2
19,coral,fish,0.4015,0.0564,0.3451,2
470,fish,shark,0.3714,0.0375,0.3339,2
436,fish,octopus,0.2954,0.034,0.0723,6
