,coral,crab,diver,eel,fish,fishInGroups,flatworm,jellyfish,marine_dolphin,octopus,rayfish,seaAnemone,seaCucumber,seaSlug,seaUrchin,shark,shrimp,squid,starfish,turtle
coral,305,0,0,3,14,4,0,0,0,0,2,12,0,2,4,0,0,0,1,1
crab,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diver,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fish,6,0,2,7,487,24,0,0,0,1,0,3,1,2,0,2,0,1,0,2
fishInGroups,1,0,0,0,11,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flatworm,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0
jellyfish,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
marine_dolphin,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
octopus,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0
rayfish,0,0,0,0,1,0,0,0,0,0,91,1,0,1,0,0,0,0,1,0
seaAnemone,8,0,0,0,6,0,0,0,0,0,1,204,0,0,2,0,0,0,0,0
seaCucumber,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0
seaSlug,0,0,0,0,0,0,1,0,0,0,0,0,1,18,0,0,0,0,0,0
seaUrchin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0
shark,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1
shrimp,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
squid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
starfish,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,0
turtle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74
