true,predicted,count,pct_of_true_class
fish,fishInGroups,24,4.46
coral,fish,14,4.02
coral,seaAnemone,12,3.45
fishInGroups,fish,11,15.28
seaAnemone,coral,8,3.62
fish,eel,7,1.3
fish,coral,6,1.12
seaAnemone,fish,6,2.71
coral,fishInGroups,4,1.15
coral,seaUrchin,4,1.15
flatworm,seaSlug,3,23.08
coral,eel,3,0.86
fish,seaAnemone,3,0.56
fish,turtle,2,0.37
fish,diver,2,0.37
coral,seaSlug,2,0.57
marine_dolphin,shark,2,20.0
coral,rayfish,2,0.57
seaCucumber,eel,2,20.0
seaAnemone,seaUrchin,2,0.9
fish,seaSlug,2,0.37
fish,shark,2,0.37
coral,turtle,1,0.29
coral,starfish,1,0.29
eel,seaCucumber,1,2.44
crab,coral,1,9.09
fish,seaCucumber,1,0.19
fish,octopus,1,0.19
octopus,fish,1,10.0
octopus,squid,1,10.0
marine_dolphin,fish,1,10.0
marine_dolphin,fishInGroups,1,10.0
fishInGroups,coral,1,1.39
fish,squid,1,0.19
rayfish,starfish,1,1.05
rayfish,seaSlug,1,1.05
rayfish,seaAnemone,1,1.05
rayfish,fish,1,1.05
seaAnemone,rayfish,1,0.45
seaCucumber,shark,1,10.0
seaSlug,flatworm,1,5.0
seaSlug,seaCucumber,1,5.0
seaUrchin,seaAnemone,1,3.45
shark,fish,1,5.26
shark,turtle,1,5.26
shrimp,crab,1,9.09
shrimp,fish,1,9.09
starfish,seaAnemone,1,2.5
turtle,coral,1,1.32
turtle,shark,1,1.32
