stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
1,1,3.2381,0.32895,1.41324,0.62576,0.53816,0.001,80.0,True
1,2,1.31977,0.6762,0.98736,0.72485,0.67248,0.001,160.0,True
1,3,0.93005,0.75071,0.81807,0.76143,0.68706,0.001,240.6,True
1,4,0.75949,0.7997,0.70296,0.79878,0.69388,0.001,321.1,True
1,5,0.66846,0.81799,0.66293,0.80488,0.71947,0.001,401.9,True
1,6,0.62733,0.82504,0.66823,0.80183,0.72158,0.001,483.0,True
1,7,0.58712,0.83877,0.61126,0.81707,0.73441,0.001,564.0,True
1,8,0.5966,0.838,0.53566,0.83384,0.74443,0.001,645.5,True
1,9,0.52973,0.85401,0.60455,0.81402,0.72704,0.001,725.6,False
1,10,0.47099,0.8624,0.58845,0.81555,0.76651,0.001,806.6,True
1,11,0.45606,0.8704,0.57739,0.82088,0.74056,0.001,887.6,False
1,12,0.49741,0.86087,0.59814,0.81174,0.74249,0.001,968.2,False
1,13,0.50935,0.85706,0.51717,0.83308,0.75778,0.001,1049.1,False
1,14,0.45363,0.86259,0.51201,0.83918,0.75968,0.0001,1129.8,False
1,15,0.41551,0.87402,0.50581,0.84146,0.75714,0.0001,1210.2,False
1,16,0.42794,0.88031,0.50874,0.83994,0.75461,0.0001,1290.3,False
1,17,0.3999,0.8765,0.51752,0.82851,0.75242,0.0001,1370.5,False
1,18,0.4142,0.87764,0.51724,0.82927,0.75218,1e-05,1450.7,False
1,19,0.42531,0.87917,0.51716,0.83079,0.75261,1e-05,1531.6,False
1,20,0.42525,0.87669,0.5138,0.83308,0.75327,1e-05,1611.3,False
1,21,0.3875,0.88641,0.51099,0.83308,0.75335,1e-05,1691.6,False
1,22,0.40534,0.88393,0.51316,0.83308,0.75327,1.0000000000000002e-06,1771.7,False
1,23,0.43125,0.87364,0.51362,0.83308,0.75327,1.0000000000000002e-06,1852.4,False
1,24,0.39642,0.88069,0.51393,0.83308,0.75327,1.0000000000000002e-06,1933.0,False
1,25,0.43406,0.87479,0.51382,0.83308,0.75327,1.0000000000000002e-06,2013.6,False
2,1,0.38929,0.8826,0.51652,0.84146,0.7804,1e-05,2275.3,True
2,2,0.33421,0.90032,0.50551,0.85442,0.77845,1e-05,2513.9,False
2,3,0.31891,0.90109,0.45164,0.85976,0.79912,1e-05,2753.1,True
2,4,0.27533,0.91652,0.40717,0.87424,0.79743,1e-05,2991.8,False
2,5,0.26076,0.91748,0.39266,0.87576,0.81237,1e-05,3231.5,True
2,6,0.2513,0.92129,0.38349,0.88415,0.83376,1e-05,3470.8,True
2,7,0.25365,0.92529,0.39058,0.87119,0.82927,1e-05,3709.5,False
2,8,0.2369,0.92777,0.35171,0.88948,0.83872,1e-05,3948.9,True
2,9,0.22695,0.93006,0.34375,0.8971,0.84068,1e-05,4187.3,True
2,10,0.19671,0.93787,0.32536,0.90015,0.83264,1e-05,4425.5,False
2,11,0.20074,0.93882,0.33413,0.89787,0.82117,1e-05,4664.4,False
2,12,0.18502,0.94568,0.32796,0.90015,0.85916,1e-05,4903.7,True
2,13,0.17367,0.94816,0.36852,0.89787,0.84997,1e-05,5142.3,False
2,14,0.17628,0.94549,0.32521,0.89939,0.82105,1e-05,5381.1,False
2,15,0.17151,0.9453,0.35508,0.89405,0.83382,1e-05,5619.0,False
2,16,0.18248,0.94302,0.33882,0.8971,0.86265,1e-05,5858.5,True
2,17,0.15849,0.95026,0.30043,0.90854,0.84609,1e-05,6097.2,False
2,18,0.17221,0.94892,0.40669,0.87043,0.83899,1e-05,6336.3,False
2,19,0.17207,0.94435,0.2842,0.9154,0.84061,1e-05,6574.2,False
2,20,0.15859,0.95064,0.31183,0.90091,0.86924,1e-05,6813.7,True
2,21,0.15,0.95235,0.29173,0.91082,0.86086,1e-05,7052.3,False
2,22,0.16179,0.94911,0.28743,0.91387,0.87297,1e-05,7291.8,True
2,23,0.15972,0.94835,0.32502,0.9093,0.87709,1e-05,7530.8,True
2,24,0.14198,0.95483,0.35843,0.88872,0.82407,1e-05,7768.6,False
2,25,0.14182,0.95712,0.29425,0.91845,0.84985,1e-05,8006.3,False
2,26,0.13046,0.95941,0.33973,0.90244,0.84011,1e-05,8244.5,False
2,27,0.11774,0.96055,0.34526,0.90549,0.83876,1e-05,8482.6,False
2,28,0.14422,0.95617,0.36907,0.88643,0.81805,1e-05,8721.7,False
2,29,0.14827,0.95293,0.28314,0.9154,0.85985,1.0000000000000002e-06,8960.1,False
2,30,0.13392,0.95826,0.29094,0.91235,0.86438,1.0000000000000002e-06,9198.7,False
2,31,0.1268,0.96169,0.28228,0.91768,0.88159,1.0000000000000002e-06,9438.1,True
2,32,0.13014,0.95788,0.27644,0.91997,0.87473,1.0000000000000002e-06,9677.2,False
2,33,0.12576,0.95921,0.27736,0.91921,0.87387,1.0000000000000002e-06,9916.0,False
2,34,0.12802,0.95941,0.28708,0.91616,0.87223,1.0000000000000002e-06,10154.6,False
2,35,0.11261,0.96589,0.27824,0.91997,0.87483,1.0000000000000002e-06,10393.1,False
2,36,0.12512,0.95864,0.28321,0.91845,0.87758,1.0000000000000002e-06,10632.4,False
2,37,0.1221,0.96188,0.28537,0.92073,0.87472,1.0000000000000002e-07,10871.0,False
2,38,0.1238,0.96074,0.28632,0.91921,0.8737,1.0000000000000002e-07,11109.7,False
2,39,0.12146,0.9615,0.28775,0.91845,0.87378,1.0000000000000002e-07,11348.0,False
2,40,0.10779,0.9636,0.28734,0.91768,0.87359,1.0000000000000002e-07,11586.8,False
2,41,0.10571,0.96646,0.28878,0.91768,0.87359,1.0000000000000002e-07,11825.3,False
2,42,0.10807,0.96722,0.28768,0.91768,0.87526,1.0000000000000002e-07,12063.4,False
2,43,0.1136,0.96322,0.28806,0.91921,0.87574,1.0000000000000004e-08,12302.3,False
2,44,0.10048,0.96817,0.28784,0.91921,0.87574,1.0000000000000004e-08,12540.8,False
2,45,0.10731,0.96589,0.2879,0.91921,0.87598,1.0000000000000004e-08,12779.3,False
2,46,0.11754,0.96303,0.28763,0.91921,0.87598,1.0000000000000004e-08,13017.9,False
2,47,0.12187,0.9636,0.28751,0.91921,0.87598,1.0000000000000004e-08,13256.8,False
2,48,0.12225,0.96188,0.28709,0.91845,0.8754,1.0000000000000004e-08,13495.3,False
2,49,0.13245,0.95979,0.28697,0.91921,0.87559,1.0000000000000004e-08,13734.2,False
2,50,0.12591,0.96055,0.2868,0.91921,0.87559,1.0000000000000004e-08,13973.2,False
