class,support,precision,recall,f1,top3_recall,mean_conf_correct,mean_conf_wrong,mean_true_prob_when_wrong
seaCucumber,10,0.7,0.7,0.7,0.9,0.9993,0.7134,0.1763
fishInGroups,72,0.6742,0.8333,0.7453,1.0,0.9561,0.7408,0.2446
marine_dolphin,10,1.0,0.6,0.75,0.9,0.9564,0.5722,0.209
seaSlug,20,0.6923,0.9,0.7826,1.0,0.9928,0.8219,0.0552
shark,19,0.7391,0.8947,0.8095,1.0,0.9937,0.8025,0.1487
flatworm,13,0.9091,0.7692,0.8333,0.9231,0.9033,0.7883,0.0134
octopus,10,0.8889,0.8,0.8421,1.0,0.9114,0.7909,0.145
eel,41,0.7692,0.9756,0.8602,1.0,0.9823,0.545,0.1018
seaUrchin,29,0.8235,0.9655,0.8889,1.0,0.9763,0.9873,0.0009
shrimp,11,1.0,0.8182,0.9,1.0,0.9912,0.7017,0.1698
squid,10,0.8333,1.0,0.9091,1.0,0.9481,,
crab,11,0.9091,0.9091,0.9091,1.0,0.9562,0.4674,0.1342
coral,348,0.9472,0.8764,0.9104,0.9971,0.9539,0.8061,0.132
fish,538,0.9312,0.9052,0.918,0.9907,0.9515,0.7304,0.1702
seaAnemone,221,0.9189,0.9231,0.921,0.991,0.9732,0.7716,0.1763
diver,13,0.8667,1.0,0.9286,1.0,1.0,,
turtle,76,0.9487,0.9737,0.961,1.0,0.9971,0.6927,0.247
rayfish,95,0.9681,0.9579,0.963,0.9895,0.9878,0.6183,0.1795
starfish,40,0.9512,0.975,0.963,1.0,0.994,0.6298,0.3639
jellyfish,25,1.0,1.0,1.0,1.0,0.9987,,
