test_index,model,method_a,method_b,spearman,iou_top10
3,resnet50,gradcam,lime,0.16684,0.37527
3,resnet50,gradcam,shap,0.06372,0.13327
3,resnet50,lime,shap,0.02232,0.13764
3,resnet50,gradcam,random,0.00216,0.05333
319,resnet50,gradcam,lime,0.17641,0.12602
319,resnet50,gradcam,shap,0.03207,0.07018
319,resnet50,lime,shap,-0.00755,0.06202
319,resnet50,gradcam,random,-0.00154,0.05134
350,resnet50,gradcam,lime,0.05563,0.07742
350,resnet50,gradcam,shap,0.06388,0.10434
350,resnet50,lime,shap,-0.00448,0.04881
350,resnet50,gradcam,random,-0.00361,0.05101
581,resnet50,gradcam,lime,0.30203,0.21905
581,resnet50,gradcam,shap,0.03009,0.09649
581,resnet50,lime,shap,0.00324,0.07189
581,resnet50,gradcam,random,-0.00328,0.05057
725,resnet50,gradcam,lime,0.19167,0.29154
725,resnet50,gradcam,shap,0.08482,0.1311
725,resnet50,lime,shap,0.02889,0.13315
725,resnet50,gradcam,random,0.00373,0.05311
