test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
3,resnet50,gradcam,0.09271,0.35664,0.21997,0.00055,False,paper_pair
3,resnet50,lime,0.15635,0.64552,0.36224,0.00055,False,paper_pair
3,resnet50,shap,0.39738,0.57252,0.54758,0.00055,False,paper_pair
3,resnet50,random,0.56915,0.60179,0.18954,0.00055,False,paper_pair
319,resnet50,gradcam,0.37392,0.6599,0.17633,0.00097,True,class_coverage
319,resnet50,lime,0.46843,0.89657,0.32469,0.00097,True,class_coverage
319,resnet50,shap,0.51302,0.66691,0.48641,0.00097,True,class_coverage
319,resnet50,random,0.62296,0.55751,0.1899,0.00097,True,class_coverage
350,resnet50,gradcam,0.00882,0.21786,0.21313,0.00034,False,rare_class
350,resnet50,lime,0.02,0.00554,0.15841,0.00034,False,rare_class
350,resnet50,shap,0.00783,0.00834,0.53095,0.00034,False,rare_class
350,resnet50,random,0.00782,0.0084,0.19037,0.00034,False,rare_class
581,resnet50,gradcam,0.13042,0.36529,0.24468,0.98691,False,fish_group
581,resnet50,lime,0.28074,0.33784,0.29194,0.98691,False,fish_group
581,resnet50,shap,0.01148,0.01964,0.5447,0.98691,False,fish_group
581,resnet50,random,0.01052,0.01949,0.18971,0.98691,False,fish_group
725,resnet50,gradcam,0.84264,0.95381,0.21269,0.16487,True,challenging
725,resnet50,lime,0.17138,0.98246,0.51304,0.16487,True,challenging
725,resnet50,shap,0.06306,0.52232,0.5766,0.16487,True,challenging
725,resnet50,random,0.42644,0.42273,0.18934,0.16487,True,challenging
