test_index,true,predicted,confidence,margin,true_class_prob,true_rank
944,fish,eel,0.9999,0.9999,0.0,3
1480,shrimp,crab,0.9999,0.9999,0.0,2
718,fish,fishInGroups,0.9999,0.9998,1e-04,2
341,coral,starfish,0.9997,0.9996,1e-04,2
252,coral,seaAnemone,0.9992,0.9986,0.0007,2
529,fish,fishInGroups,0.9992,0.9986,0.0007,2
599,fish,fishInGroups,0.9983,0.9967,0.0017,2
857,fish,eel,0.9981,0.997,0.0012,2
593,fish,fishInGroups,0.9976,0.9957,0.002,2
967,fishInGroups,fish,0.9968,0.9938,0.003,2
228,coral,rayfish,0.9966,0.9945,0.0006,3
560,fish,eel,0.9964,0.9931,0.0033,2
724,fish,eel,0.9955,0.9918,0.0037,2
1466,shark,rayfish,0.9955,0.9924,0.0005,4
3,coral,seaAnemone,0.9953,0.9916,0.0004,3
307,coral,seaUrchin,0.993,0.9888,0.0013,3
941,fish,seaSlug,0.9921,0.9873,0.0048,2
449,fish,shark,0.992,0.9868,0.0052,2
938,fish,starfish,0.9918,0.9858,0.0008,3
14,coral,seaAnemone,0.9903,0.983,0.0074,2
22,coral,seaAnemone,0.9893,0.9807,0.0086,2
890,fish,seaAnemone,0.9873,0.978,0.0093,2
1024,flatworm,fish,0.9866,0.9798,0.0002,4
1031,flatworm,seaSlug,0.9823,0.9647,0.0176,2
505,fish,shark,0.9816,0.9653,0.0163,2
1340,seaAnemone,coral,0.9795,0.9715,0.0049,3
577,fish,coral,0.9774,0.9576,0.0198,2
1199,seaAnemone,fish,0.9756,0.9643,0.0113,2
624,fish,fishInGroups,0.9725,0.9573,0.0152,2
582,fish,fishInGroups,0.97,0.9459,0.0044,3
546,fish,rayfish,0.9613,0.9267,0.0346,2
595,fish,fishInGroups,0.9606,0.9217,0.0389,2
1359,seaAnemone,coral,0.9494,0.9064,0.0429,2
1029,flatworm,seaSlug,0.9491,0.8983,0.0508,2
342,coral,seaSlug,0.9445,0.9083,0.006,4
715,fish,fishInGroups,0.9406,0.8814,0.0591,2
1391,seaAnemone,fish,0.9363,0.8755,0.0608,2
1352,seaAnemone,coral,0.9359,0.9064,0.0296,2
60,coral,turtle,0.9302,0.893,0.0372,2
19,coral,seaAnemone,0.9294,0.893,0.0364,2
906,fish,coral,0.9276,0.8597,0.0679,2
980,fishInGroups,fish,0.9216,0.8799,0.0417,2
461,fish,rayfish,0.9194,0.8409,0.0785,2
923,fish,turtle,0.9134,0.8579,0.0197,3
27,coral,seaAnemone,0.909,0.8333,0.0757,2
1388,seaAnemone,fish,0.9077,0.871,0.0247,4
1494,squid,jellyfish,0.9057,0.8346,0.0711,2
1555,turtle,shark,0.9026,0.8088,0.0,6
108,coral,fish,0.9017,0.8339,0.0678,2
1273,seaAnemone,seaUrchin,0.8959,0.8068,0.089,2
600,fish,seaSlug,0.8927,0.7974,0.0038,3
1350,seaAnemone,coral,0.8927,0.8394,0.0533,2
329,coral,seaUrchin,0.887,0.7962,0.0908,2
586,fish,coral,0.8854,0.7838,0.1016,2
73,coral,fish,0.885,0.8166,0.0684,2
115,coral,seaAnemone,0.8847,0.7726,0.1121,2
1061,marine_dolphin,fishInGroups,0.8818,0.7786,0.0117,3
80,coral,seaAnemone,0.8759,0.7594,0.1165,2
76,coral,fish,0.8725,0.7832,0.0893,2
553,fish,fishInGroups,0.8704,0.7412,0.1293,2
104,coral,fishInGroups,0.868,0.7404,0.1277,2
998,fishInGroups,coral,0.8613,0.7942,0.0671,2
1034,flatworm,seaCucumber,0.8566,0.7753,0.0034,5
309,coral,fish,0.8552,0.7613,0.048,3
803,fish,seaAnemone,0.8506,0.7129,0.1376,2
1213,seaAnemone,coral,0.8504,0.7238,0.1265,2
557,fish,diver,0.8429,0.7704,0.0725,2
134,coral,eel,0.8408,0.7658,0.0561,3
501,fish,eel,0.8384,0.6772,0.1612,2
24,coral,seaAnemone,0.8364,0.6739,0.1625,2
551,fish,eel,0.83,0.6779,0.1521,2
795,fish,seaAnemone,0.8265,0.6757,0.1508,2
424,fish,starfish,0.8203,0.7387,0.0684,3
2,coral,fish,0.8153,0.6786,0.0434,3
581,fish,fishInGroups,0.808,0.6416,0.1664,2
1072,octopus,fish,0.8019,0.72,0.082,2
530,fish,rayfish,0.7924,0.5885,0.2039,2
1401,seaCucumber,seaSlug,0.791,0.6294,0.0414,3
1411,seaSlug,seaCucumber,0.7905,0.6806,0.0515,3
118,coral,seaAnemone,0.7885,0.6264,0.1621,2
955,fishInGroups,fish,0.7801,0.5602,0.2199,2
1430,seaUrchin,starfish,0.7768,0.5665,0.2102,2
1366,seaAnemone,fish,0.7695,0.5508,0.2187,2
901,fish,fishInGroups,0.759,0.5732,0.1858,2
981,fishInGroups,coral,0.7521,0.5116,0.2405,2
383,eel,fish,0.7457,0.6472,0.0985,2
1360,seaAnemone,fish,0.7384,0.4966,0.2417,2
283,coral,fishInGroups,0.7372,0.505,0.2322,2
555,fish,eel,0.7265,0.519,0.2075,2
284,coral,seaAnemone,0.7229,0.4941,0.2288,2
443,fish,fishInGroups,0.7154,0.4312,0.2842,2
399,eel,fishInGroups,0.7117,0.4813,0.0283,3
914,fish,fishInGroups,0.7022,0.4893,0.2129,2
1027,flatworm,seaSlug,0.698,0.5232,0.0024,8
1547,turtle,coral,0.6803,0.5557,0.1246,2
1452,seaUrchin,seaAnemone,0.6762,0.402,0.2742,2
485,fish,fishInGroups,0.6722,0.3576,0.3146,2
289,coral,seaUrchin,0.6489,0.3582,0.2908,2
1402,seaCucumber,starfish,0.6487,0.508,0.1407,2
1173,rayfish,seaAnemone,0.6385,0.4315,0.0002,5
88,coral,rayfish,0.6359,0.5137,0.1222,2
787,fish,seaAnemone,0.6342,0.2962,0.338,2
440,fish,turtle,0.6328,0.4041,0.2287,2
590,fish,fishInGroups,0.6258,0.3751,0.2507,2
237,coral,fish,0.6209,0.3348,0.2861,2
217,coral,rayfish,0.6179,0.3559,0.262,2
804,fish,seaAnemone,0.6141,0.2913,0.3227,2
1328,seaAnemone,coral,0.6127,0.2328,0.3799,2
1073,octopus,fish,0.6116,0.2645,0.0021,7
374,eel,turtle,0.6055,0.428,0.1603,3
983,fishInGroups,fish,0.596,0.258,0.3381,2
314,coral,seaSlug,0.596,0.2258,0.3702,2
56,coral,fish,0.5916,0.308,0.2836,2
970,fishInGroups,coral,0.5901,0.2173,0.3729,2
