,coral,crab,diver,eel,fish,fishInGroups,flatworm,jellyfish,marine_dolphin,octopus,rayfish,seaAnemone,seaCucumber,seaSlug,seaUrchin,shark,shrimp,squid,starfish,turtle
coral,297,0,0,1,12,6,0,0,0,0,3,18,0,4,3,0,0,0,2,2
crab,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diver,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eel,1,0,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fish,5,0,1,7,484,19,0,0,2,0,3,8,0,3,0,2,0,0,2,2
fishInGroups,4,0,0,0,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flatworm,0,0,0,0,1,0,8,0,0,0,0,0,1,3,0,0,0,0,0,0
jellyfish,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
marine_dolphin,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0
octopus,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
rayfish,1,0,0,0,2,0,0,0,1,0,90,1,0,0,0,0,0,0,0,0
seaAnemone,7,0,0,0,7,0,0,0,0,0,0,206,0,0,1,0,0,0,0,0
seaCucumber,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,1,0
seaSlug,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0
seaUrchin,0,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,1,0
shark,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0
shrimp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
squid,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0
starfish,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,0
turtle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74
