stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
1,1,3.37317,0.3442,1.35501,0.65168,0.55467,0.001,92.2,True
1,2,1.52928,0.64704,0.97315,0.73628,0.62609,0.001,192.4,True
1,3,1.21611,0.7105,0.91197,0.74695,0.64622,0.001,293.6,True
1,4,0.98456,0.74919,0.81026,0.77668,0.67339,0.001,394.5,True
1,5,0.94979,0.753,0.7396,0.80488,0.69886,0.001,495.1,True
1,6,0.83808,0.77816,0.78099,0.79192,0.69866,0.001,595.5,False
1,7,0.8082,0.78273,0.6845,0.82012,0.70548,0.001,696.2,True
1,8,0.7383,0.8037,0.65927,0.82165,0.70516,0.001,796.2,False
1,9,0.71174,0.80808,0.74866,0.79497,0.70888,0.001,897.0,True
1,10,0.66498,0.81666,0.68898,0.81402,0.71595,0.001,997.7,True
1,11,0.65208,0.82028,0.67594,0.82622,0.71543,0.001,1098.2,False
1,12,0.64646,0.82771,0.69945,0.80412,0.72153,0.001,1199.6,True
1,13,0.57134,0.83667,0.68261,0.8186,0.72013,0.001,1300.0,False
1,14,0.64569,0.8199,0.66404,0.81555,0.72008,0.001,1400.3,False
1,15,0.55887,0.84181,0.6593,0.81631,0.72343,0.001,1501.4,True
1,16,0.56943,0.84124,0.66832,0.80869,0.72415,0.001,1602.1,True
1,17,0.5689,0.83934,0.62367,0.82927,0.72169,0.001,1702.3,False
1,18,0.56623,0.84753,0.68628,0.8003,0.70041,0.001,1802.2,False
1,19,0.53787,0.85096,0.61122,0.83308,0.75014,0.001,1903.3,True
1,20,0.56493,0.84048,0.66828,0.80488,0.7191,0.001,2003.4,False
1,21,0.5087,0.85668,0.66442,0.80564,0.71852,0.001,2103.7,False
1,22,0.50854,0.85687,0.65057,0.8247,0.72602,0.001,2204.7,False
1,23,0.4547,0.86278,0.61032,0.83384,0.73719,0.0001,2305.0,False
1,24,0.46164,0.86488,0.62384,0.82851,0.73544,0.0001,2404.9,False
1,25,0.47448,0.86125,0.58898,0.84375,0.74525,0.0001,2505.0,False
2,1,0.45745,0.86411,0.56372,0.8346,0.74126,1e-05,2761.2,False
2,2,0.38924,0.88546,0.57971,0.8407,0.7443,1e-05,3014.1,False
2,3,0.35335,0.88984,0.63616,0.78582,0.75043,1e-05,3267.8,True
2,4,0.33555,0.8967,0.49969,0.84756,0.77297,1e-05,3521.9,True
2,5,0.31359,0.90871,0.42436,0.86966,0.79074,1e-05,3775.9,True
2,6,0.26385,0.92034,0.43917,0.86585,0.77786,1e-05,4028.6,False
2,7,0.26742,0.91919,0.40284,0.87805,0.81028,1e-05,4282.5,True
2,8,0.26226,0.91862,0.37812,0.87881,0.82398,1e-05,4535.6,True
2,9,0.2512,0.92624,0.42226,0.87119,0.79802,1e-05,4788.4,False
2,10,0.23068,0.92834,0.40391,0.87348,0.82261,1e-05,5041.0,False
2,11,0.21424,0.93425,0.45895,0.85747,0.82267,1e-05,5293.7,False
2,12,0.21186,0.9373,0.46918,0.85595,0.8035,1e-05,5546.7,False
2,13,0.20721,0.93558,0.41845,0.87881,0.84422,1e-05,5801.0,True
2,14,0.20378,0.93539,0.37667,0.8872,0.85068,1e-05,6054.2,True
2,15,0.20102,0.94149,0.33789,0.90168,0.85023,1e-05,6307.3,False
2,16,0.18974,0.93978,0.34787,0.89177,0.84602,1e-05,6559.8,False
2,17,0.16994,0.94949,0.3423,0.89634,0.8423,1e-05,6812.8,False
2,18,0.20541,0.93939,0.35431,0.89101,0.83675,1e-05,7065.3,False
2,19,0.17372,0.94416,0.32722,0.89482,0.82189,1e-05,7318.0,False
2,20,0.17018,0.94664,0.3137,0.90015,0.82918,1.0000000000000002e-06,7571.8,False
2,21,0.17944,0.94606,0.31842,0.90015,0.82971,1.0000000000000002e-06,7826.1,False
2,22,0.1588,0.94835,0.32376,0.89863,0.82765,1.0000000000000002e-06,8079.2,False
2,23,0.16933,0.94606,0.34089,0.89405,0.835,1.0000000000000002e-06,8332.1,False
2,24,0.14564,0.95293,0.31332,0.90473,0.84929,1.0000000000000002e-06,8585.5,False
2,25,0.16217,0.94873,0.31651,0.90625,0.85605,1.0000000000000002e-06,8839.6,True
2,26,0.15036,0.9535,0.32061,0.90091,0.85299,1.0000000000000002e-06,9092.8,False
2,27,0.15629,0.95159,0.31593,0.9032,0.85559,1.0000000000000002e-06,9345.6,False
2,28,0.15699,0.95102,0.31892,0.9032,0.85109,1.0000000000000002e-06,9599.1,False
2,29,0.15093,0.95159,0.31049,0.90244,0.86248,1.0000000000000002e-06,9852.7,True
2,30,0.15081,0.95178,0.30094,0.90625,0.86842,1.0000000000000002e-06,10107.1,True
2,31,0.14204,0.95483,0.30666,0.9032,0.86096,1.0000000000000002e-06,10360.4,False
2,32,0.15834,0.95121,0.29885,0.90854,0.87089,1.0000000000000002e-06,10613.8,True
2,33,0.14359,0.95636,0.30992,0.90625,0.868,1.0000000000000002e-06,10866.5,False
2,34,0.13309,0.95655,0.29955,0.90701,0.86758,1.0000000000000002e-06,11120.1,False
2,35,0.14291,0.95559,0.30997,0.90015,0.86586,1.0000000000000002e-06,11372.8,False
2,36,0.15623,0.95197,0.29913,0.90473,0.86481,1.0000000000000002e-06,11625.4,False
2,37,0.13656,0.95331,0.29121,0.90549,0.86311,1.0000000000000002e-06,11878.9,False
2,38,0.17208,0.9474,0.29407,0.9093,0.86693,1.0000000000000002e-07,12131.4,False
2,39,0.14705,0.95159,0.2945,0.90625,0.8646,1.0000000000000002e-07,12384.2,False
2,40,0.15207,0.95197,0.29397,0.90549,0.86441,1.0000000000000002e-07,12637.2,False
2,41,0.15291,0.95216,0.2947,0.90701,0.86694,1.0000000000000002e-07,12890.1,False
2,42,0.14313,0.95788,0.29389,0.90777,0.87067,1.0000000000000002e-07,13142.7,False
2,43,0.15389,0.94988,0.2942,0.90777,0.87067,1.0000000000000002e-07,13395.2,False
2,44,0.15276,0.95216,0.29667,0.90701,0.86694,1.0000000000000002e-07,13648.7,False
2,45,0.14825,0.95407,0.29701,0.90625,0.86672,1.0000000000000002e-07,13901.5,False
2,46,0.1588,0.95159,0.29644,0.90625,0.86672,1.0000000000000002e-07,14154.0,False
2,47,0.13964,0.95521,0.29572,0.90625,0.86508,1.0000000000000002e-07,14407.2,False
2,48,0.14271,0.95559,0.29758,0.90473,0.86635,1.0000000000000002e-07,14659.5,False
2,49,0.14342,0.95502,0.29577,0.90473,0.8645,1.0000000000000002e-07,14912.5,False
2,50,0.14584,0.95521,0.29633,0.9032,0.86396,1.0000000000000002e-07,15165.3,False
2,51,0.15845,0.95312,0.29722,0.90396,0.866,1.0000000000000002e-07,15418.1,False
2,52,0.13691,0.95502,0.29657,0.90549,0.86654,1.0000000000000002e-07,15670.4,False
2,53,0.15229,0.95331,0.29774,0.90473,0.86635,1.0000000000000002e-07,15923.3,False
2,54,0.14547,0.95388,0.29779,0.90473,0.86702,1.0000000000000002e-07,16175.8,False
2,55,0.13065,0.95769,0.29805,0.90473,0.86702,1.0000000000000002e-07,16428.8,False
2,56,0.14164,0.95807,0.2979,0.90549,0.86654,1.0000000000000002e-07,16682.3,False
2,57,0.14993,0.95426,0.29813,0.90625,0.86672,1.0000000000000002e-07,16935.7,False
2,58,0.14856,0.95273,0.29863,0.90549,0.86654,1.0000000000000002e-07,17188.2,False
2,59,0.13704,0.95845,0.29963,0.90625,0.86685,1.0000000000000002e-07,17441.4,False
2,60,0.15309,0.95559,0.29921,0.90777,0.86745,1.0000000000000002e-07,17694.0,False
2,61,0.14928,0.95121,0.30065,0.90625,0.86685,1.0000000000000002e-07,17947.2,False
2,62,0.14165,0.95674,0.3018,0.90625,0.86685,1.0000000000000002e-07,18199.7,False
2,63,0.15841,0.95331,0.30364,0.90244,0.86345,1.0000000000000002e-07,18452.1,False
2,64,0.15139,0.95407,0.30266,0.90473,0.86426,1.0000000000000002e-07,18704.6,False
2,65,0.14596,0.95407,0.29969,0.90473,0.86393,1.0000000000000002e-07,18957.3,False
2,66,0.13843,0.95445,0.2998,0.90473,0.86495,1.0000000000000002e-07,19210.0,False
2,67,0.1527,0.94988,0.30138,0.90549,0.86547,1.0000000000000002e-07,19463.1,False
2,68,0.15493,0.95159,0.30085,0.90549,0.86509,1.0000000000000002e-07,19715.4,False
2,69,0.13639,0.95464,0.30189,0.90549,0.86543,1.0000000000000002e-07,19968.1,False
2,70,0.14037,0.95731,0.30275,0.90473,0.86723,1.0000000000000002e-07,20220.4,False
2,71,0.14118,0.95159,0.3028,0.90625,0.86763,1.0000000000000002e-07,20472.7,False
2,72,0.14316,0.95655,0.30398,0.90473,0.86701,1.0000000000000002e-07,20725.2,False
2,73,0.14646,0.95197,0.30409,0.90473,0.86701,1.0000000000000002e-07,20978.1,False
2,74,0.14609,0.95597,0.30353,0.90473,0.86701,1.0000000000000002e-07,21230.4,False
2,75,0.14942,0.95502,0.3024,0.90625,0.86796,1.0000000000000002e-07,21483.3,False
