file,test_index,true,predicted,confidence,correct
err_000_coral-as-starfish.png,341,coral,starfish,0.9997,False
err_001_crab-as-coral.png,351,crab,coral,0.3221,False
err_002_diver-as-marine_dolphin.png,369,diver,marine_dolphin,0.5138,False
err_003_eel-as-fish.png,383,eel,fish,0.7457,False
err_004_fish-as-eel.png,944,fish,eel,0.9999,False
err_005_fishInGroups-as-fish.png,967,fishInGroups,fish,0.9968,False
err_006_flatworm-as-fish.png,1024,flatworm,fish,0.9866,False
err_007_marine_dolphin-as-fishInGroups.png,1061,marine_dolphin,fishInGroups,0.8818,False
err_008_octopus-as-fish.png,1072,octopus,fish,0.8019,False
err_009_rayfish-as-seaAnemone.png,1173,rayfish,seaAnemone,0.6385,False
err_010_seaAnemone-as-coral.png,1340,seaAnemone,coral,0.9795,False
err_011_seaCucumber-as-seaSlug.png,1401,seaCucumber,seaSlug,0.791,False
err_012_seaSlug-as-seaCucumber.png,1411,seaSlug,seaCucumber,0.7905,False
err_013_seaUrchin-as-starfish.png,1430,seaUrchin,starfish,0.7768,False
err_014_shark-as-rayfish.png,1466,shark,rayfish,0.9955,False
err_015_shrimp-as-crab.png,1480,shrimp,crab,0.9999,False
err_016_squid-as-jellyfish.png,1494,squid,jellyfish,0.9057,False
err_017_starfish-as-seaSlug.png,1522,starfish,seaSlug,0.3759,False
err_018_turtle-as-shark.png,1555,turtle,shark,0.9026,False
err_019_coral-as-seaAnemone.png,252,coral,seaAnemone,0.9992,False
zz_ok_020_coral-as-coral.png,143,coral,coral,0.9999,True
zz_ok_021_crab-as-crab.png,349,crab,crab,1.0,True
zz_ok_022_diver-as-diver.png,360,diver,diver,1.0,True
zz_ok_023_eel-as-eel.png,396,eel,eel,0.9999,True
zz_ok_024_fish-as-fish.png,433,fish,fish,1.0,True
zz_ok_025_fishInGroups-as-fishInGroups.png,966,fishInGroups,fishInGroups,1.0,True
zz_ok_026_flatworm-as-flatworm.png,1033,flatworm,flatworm,0.9891,True
zz_ok_027_jellyfish-as-jellyfish.png,1052,jellyfish,jellyfish,1.0,True
zz_ok_028_marine_dolphin-as-marine_dolphin.png,1069,marine_dolphin,marine_dolphin,0.9998,True
zz_ok_029_octopus-as-octopus.png,1077,octopus,octopus,1.0,True
zz_ok_030_rayfish-as-rayfish.png,1155,rayfish,rayfish,1.0,True
zz_ok_031_seaAnemone-as-seaAnemone.png,1270,seaAnemone,seaAnemone,0.9999,True
zz_ok_032_seaCucumber-as-seaCucumber.png,1399,seaCucumber,seaCucumber,0.9999,True
zz_ok_033_seaSlug-as-seaSlug.png,1407,seaSlug,seaSlug,1.0,True
zz_ok_034_seaUrchin-as-seaUrchin.png,1442,seaUrchin,seaUrchin,1.0,True
zz_ok_035_shark-as-shark.png,1474,shark,shark,1.0,True
zz_ok_036_shrimp-as-shrimp.png,1484,shrimp,shrimp,1.0,True
zz_ok_037_squid-as-squid.png,1489,squid,squid,1.0,True
zz_ok_038_starfish-as-starfish.png,1533,starfish,starfish,1.0,True
zz_ok_039_turtle-as-turtle.png,1590,turtle,turtle,1.0,True
