class,support,precision,recall,f1,top3_recall,mean_conf_correct,mean_conf_wrong,mean_true_prob_when_wrong
flatworm,13,0.8889,0.6154,0.7273,0.7692,0.8725,0.8945,0.0149
marine_dolphin,10,0.6667,0.8,0.7273,1.0,0.9657,0.6976,0.1663
seaCucumber,10,0.7778,0.7,0.7368,0.9,0.9922,0.5766,0.0653
seaSlug,20,0.6129,0.95,0.7451,1.0,0.9876,0.7905,0.0515
fishInGroups,72,0.7033,0.8889,0.7853,1.0,0.9291,0.744,0.2162
squid,10,1.0,0.7,0.8235,1.0,0.9999,0.683,0.2575
octopus,10,0.8889,0.8,0.8421,0.9,0.967,0.7068,0.042
shark,19,0.8095,0.8947,0.85,0.9474,0.9699,0.7026,0.087
eel,41,0.8043,0.9024,0.8506,1.0,0.9638,0.638,0.1925
seaUrchin,29,0.8667,0.8966,0.8814,1.0,0.9774,0.6633,0.2795
coral,348,0.9369,0.8534,0.8932,0.9971,0.9253,0.7028,0.192
seaAnemone,221,0.8766,0.9321,0.9035,0.991,0.9694,0.7906,0.1493
crab,11,0.9091,0.9091,0.9091,1.0,0.9874,0.3221,0.24
starfish,40,0.8667,0.975,0.9176,1.0,0.9788,0.3759,0.2476
fish,538,0.9416,0.8996,0.9202,0.9981,0.9294,0.7847,0.1569
diver,13,0.9231,0.9231,0.9231,1.0,0.9998,0.5138,0.1149
rayfish,95,0.9278,0.9474,0.9375,0.9895,0.9717,0.5165,0.2092
shrimp,11,1.0,0.9091,0.9524,1.0,0.9975,0.9999,0.0
turtle,76,0.9367,0.9737,0.9548,0.9868,0.9958,0.7914,0.0623
jellyfish,25,0.9615,1.0,0.9804,1.0,0.999,,
