test_index,true,predicted,confidence,margin,true_class_prob,true_rank
3,coral,seaAnemone,1.0,1.0,0.0,4
1276,seaAnemone,seaUrchin,1.0,1.0,0.0,3
440,fish,turtle,1.0,1.0,0.0,3
1031,flatworm,seaSlug,1.0,1.0,0.0,3
505,fish,shark,1.0,1.0,0.0,2
1480,shrimp,crab,1.0,0.9999,0.0,2
1047,jellyfish,seaUrchin,0.9999,0.9998,1e-04,2
1034,flatworm,turtle,0.9999,0.9998,0.0,8
217,coral,eel,0.9999,0.9998,0.0,3
724,fish,eel,0.9999,0.9998,1e-04,3
944,fish,eel,0.9998,0.9997,1e-04,2
718,fish,fishInGroups,0.9998,0.9997,1e-04,2
551,fish,eel,0.9998,0.9996,0.0002,2
1425,seaSlug,flatworm,0.9996,0.9991,0.0004,2
293,coral,seaUrchin,0.9996,0.9992,0.0003,2
56,coral,eel,0.9995,0.999,0.0,4
73,coral,fish,0.9981,0.9975,0.0005,4
329,coral,seaUrchin,0.9965,0.9944,0.0021,2
595,fish,fishInGroups,0.996,0.9929,0.0031,2
1391,seaAnemone,fish,0.9954,0.9909,0.0046,2
857,fish,eel,0.9937,0.9883,0.0055,2
316,coral,seaUrchin,0.9934,0.9909,0.0025,2
1061,marine_dolphin,fishInGroups,0.9933,0.9876,0.0,6
17,coral,seaAnemone,0.9927,0.9873,0.0053,2
593,fish,fishInGroups,0.9922,0.9855,0.0009,3
974,fishInGroups,seaUrchin,0.9909,0.9854,0.0055,2
460,fish,squid,0.9902,0.9811,0.0092,2
95,coral,diver,0.9901,0.9848,0.0032,3
1377,seaAnemone,coral,0.9889,0.9783,0.0105,2
288,coral,fishInGroups,0.9885,0.9774,1e-04,4
492,fish,crab,0.9885,0.985,0.0016,5
1005,fishInGroups,diver,0.9877,0.9778,0.0099,2
252,coral,seaAnemone,0.9862,0.9803,0.0059,2
624,fish,fishInGroups,0.9846,0.9702,0.0005,3
1366,seaAnemone,fish,0.9841,0.9689,0.0151,2
1605,turtle,shark,0.981,0.9658,0.0152,2
1388,seaAnemone,fishInGroups,0.9806,0.9642,0.0,4
887,fish,seaAnemone,0.9801,0.968,0.0073,3
1022,fishInGroups,shark,0.9773,0.9598,0.0041,3
586,fish,coral,0.9764,0.957,0.0194,2
115,coral,seaAnemone,0.9763,0.959,0.0059,3
938,fish,eel,0.975,0.9542,0.0014,3
1127,rayfish,turtle,0.9732,0.9482,0.0249,2
700,fish,seaUrchin,0.9719,0.944,0.0279,2
1529,starfish,fish,0.9673,0.9414,0.026,2
1076,octopus,fish,0.9647,0.9297,0.0,6
543,fish,turtle,0.9643,0.9372,0.0271,2
43,coral,fish,0.9621,0.929,0.0017,4
1213,seaAnemone,coral,0.9604,0.9367,0.0237,2
546,fish,rayfish,0.9578,0.9168,0.041,2
557,fish,diver,0.9568,0.943,0.0069,4
108,coral,fish,0.9545,0.9335,0.021,2
347,coral,fishInGroups,0.9544,0.9211,0.0117,3
1103,rayfish,squid,0.9487,0.9198,1e-04,6
878,fish,fishInGroups,0.9479,0.9275,0.0203,2
956,fishInGroups,fish,0.9464,0.898,0.0484,2
1048,jellyfish,seaAnemone,0.944,0.8912,0.0529,2
1426,seaSlug,fish,0.9393,0.9181,0.0089,4
726,fish,seaAnemone,0.9352,0.8735,0.0616,2
1094,rayfish,marine_dolphin,0.9335,0.8901,0.0191,3
1210,seaAnemone,fish,0.9316,0.8673,0.0643,2
1199,seaAnemone,fish,0.9309,0.8632,0.0007,3
14,coral,seaAnemone,0.9282,0.8643,0.0639,2
483,fish,seaCucumber,0.9276,0.8787,0.0489,2
795,fish,seaAnemone,0.9238,0.8511,0.0728,2
833,fish,coral,0.9187,0.8514,0.0121,3
1032,flatworm,seaSlug,0.9164,0.8328,0.0836,2
388,eel,fish,0.9163,0.8457,0.0706,2
104,coral,fishInGroups,0.9115,0.8244,0.0872,2
980,fishInGroups,fish,0.8999,0.8112,0.0887,2
599,fish,fishInGroups,0.8986,0.8045,0.094,2
1604,turtle,fishInGroups,0.8947,0.8379,0.0567,2
1173,rayfish,seaSlug,0.8933,0.8486,0.0383,3
425,fish,eel,0.8929,0.7866,0.1063,2
341,coral,starfish,0.8894,0.7959,0.0935,2
1555,turtle,fish,0.8858,0.8224,0.0003,7
501,fish,eel,0.8794,0.7674,0.112,2
430,fish,fishInGroups,0.8774,0.7763,0.0168,3
1564,turtle,rayfish,0.8717,0.7822,0.0007,7
392,eel,fish,0.8642,0.7297,0.0002,5
1066,marine_dolphin,shark,0.8637,0.7288,0.0,6
493,fish,fishInGroups,0.8612,0.7998,0.0614,2
399,eel,crab,0.8611,0.7958,0.0005,15
204,coral,fish,0.8593,0.7305,0.1288,2
452,fish,eel,0.8587,0.724,0.1347,2
522,fish,eel,0.8535,0.7479,0.1056,2
160,coral,rayfish,0.8511,0.7026,0.1485,2
335,coral,seaAnemone,0.8497,0.727,0.1227,2
1015,fishInGroups,fish,0.8496,0.7312,0.1184,2
606,fish,rayfish,0.8486,0.7085,0.1401,2
901,fish,jellyfish,0.8478,0.7677,0.0691,3
1577,turtle,coral,0.8476,0.7746,0.0603,3
120,coral,seaAnemone,0.8472,0.7634,0.0839,2
1009,fishInGroups,fish,0.8452,0.6906,0.1546,2
1352,seaAnemone,coral,0.8418,0.7721,0.0697,2
27,coral,seaAnemone,0.836,0.7011,0.135,2
1140,rayfish,turtle,0.8346,0.7206,0.114,2
80,coral,seaAnemone,0.8335,0.7446,0.0889,2
890,fish,seaAnemone,0.8323,0.7056,0.1267,2
994,fishInGroups,fish,0.8318,0.6907,0.1412,2
20,coral,fishInGroups,0.8284,0.7416,0.0742,3
1165,rayfish,shark,0.8274,0.6553,0.1721,2
1350,seaAnemone,coral,0.8254,0.758,0.0673,2
850,fish,seaAnemone,0.8254,0.694,0.1314,2
23,coral,seaAnemone,0.8209,0.6622,0.015,3
192,coral,rayfish,0.819,0.6382,0.1808,2
967,fishInGroups,fish,0.8167,0.737,0.0028,10
22,coral,fish,0.8136,0.6457,0.0153,3
