,coral,crab,diver,eel,fish,fishInGroups,flatworm,jellyfish,marine_dolphin,octopus,rayfish,seaAnemone,seaCucumber,seaSlug,seaUrchin,shark,shrimp,squid,starfish,turtle
coral,275,0,1,8,14,17,1,0,0,0,6,16,1,2,5,0,0,0,2,0
crab,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diver,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,0,1,0,35,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fish,6,1,1,13,460,22,0,1,2,1,5,11,1,3,2,6,0,1,0,2
fishInGroups,6,0,1,0,10,52,0,0,0,0,1,0,0,0,1,1,0,0,0,0
flatworm,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,1
jellyfish,0,0,0,0,1,0,0,22,0,0,0,1,0,0,1,0,0,0,0,0
marine_dolphin,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,0,1
octopus,1,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0
rayfish,1,0,1,0,2,0,0,0,1,0,84,0,0,1,0,2,0,1,0,2
seaAnemone,11,1,0,0,9,3,0,0,0,0,1,192,0,0,4,0,0,0,0,0
seaCucumber,1,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
seaSlug,1,0,0,0,2,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0
seaUrchin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
shark,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,0,0,0,1
shrimp,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
squid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
starfish,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0
turtle,1,0,0,2,3,2,0,0,0,0,2,0,0,0,0,1,0,0,0,65
