true,predicted,count,pct_of_true_class
fish,fishInGroups,22,4.09
coral,fishInGroups,17,4.89
coral,seaAnemone,16,4.6
coral,fish,14,4.02
fish,eel,13,2.42
fish,seaAnemone,11,2.04
seaAnemone,coral,11,4.98
fishInGroups,fish,10,13.89
seaAnemone,fish,9,4.07
coral,eel,8,2.3
fish,coral,6,1.12
fish,shark,6,1.12
fishInGroups,coral,6,8.33
coral,rayfish,6,1.72
fish,rayfish,5,0.93
coral,seaUrchin,5,1.44
flatworm,seaSlug,4,30.77
seaAnemone,seaUrchin,4,1.81
eel,fish,3,7.32
turtle,fish,3,3.95
fish,seaSlug,3,0.56
seaAnemone,fishInGroups,3,1.36
seaSlug,flatworm,3,15.0
seaCucumber,eel,2,20.0
rayfish,shark,2,2.11
turtle,eel,2,2.63
seaSlug,fish,2,10.0
coral,starfish,2,0.57
coral,seaSlug,2,0.57
marine_dolphin,fishInGroups,2,20.0
turtle,fishInGroups,2,2.63
rayfish,turtle,2,2.11
turtle,rayfish,2,2.63
fish,turtle,2,0.37
fish,seaUrchin,2,0.37
marine_dolphin,shark,2,20.0
rayfish,fish,2,2.11
fish,marine_dolphin,2,0.37
eel,starfish,1,2.44
eel,crab,1,2.44
coral,seaCucumber,1,0.29
coral,flatworm,1,0.29
coral,diver,1,0.29
fish,diver,1,0.19
fish,crab,1,0.19
eel,fishInGroups,1,2.44
fish,squid,1,0.19
fishInGroups,rayfish,1,1.39
fishInGroups,diver,1,1.39
fish,jellyfish,1,0.19
fish,octopus,1,0.19
rayfish,diver,1,1.05
rayfish,coral,1,1.05
octopus,seaAnemone,1,10.0
octopus,fish,1,10.0
marine_dolphin,turtle,1,10.0
octopus,coral,1,10.0
jellyfish,seaAnemone,1,4.0
jellyfish,seaUrchin,1,4.0
fishInGroups,seaUrchin,1,1.39
fishInGroups,shark,1,1.39
jellyfish,fish,1,4.0
flatworm,turtle,1,7.69
fish,seaCucumber,1,0.19
rayfish,marine_dolphin,1,1.05
rayfish,seaSlug,1,1.05
rayfish,squid,1,1.05
seaSlug,coral,1,5.0
seaCucumber,coral,1,10.0
seaAnemone,rayfish,1,0.45
seaAnemone,crab,1,0.45
seaUrchin,coral,1,3.45
shark,marine_dolphin,1,5.26
shark,rayfish,1,5.26
shark,turtle,1,5.26
starfish,eel,1,2.5
squid,fish,1,10.0
shrimp,eel,1,9.09
shrimp,crab,1,9.09
turtle,coral,1,1.32
starfish,fishInGroups,1,2.5
starfish,fish,1,2.5
turtle,shark,1,1.32
