stage,epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr,elapsed_sec,is_best
1,1,12.4117,0.08024,6.20054,0.17988,0.1297,0.001,38.3,True
1,2,9.95438,0.15209,4.5326,0.3186,0.22058,0.001,76.7,True
1,3,8.34874,0.22756,3.9388,0.4154,0.30032,0.001,113.3,True
1,4,7.25214,0.28702,3.80358,0.43979,0.32768,0.001,150.4,True
1,5,6.3708,0.33257,3.21922,0.50229,0.36704,0.001,187.6,True
1,6,5.81357,0.36573,3.19719,0.52973,0.38976,0.001,226.4,True
1,7,5.4866,0.40309,2.61946,0.57165,0.41776,0.001,262.7,True
1,8,5.3289,0.41872,2.80236,0.57698,0.42634,0.001,299.3,True
1,9,4.69345,0.46198,2.39818,0.61433,0.48075,0.001,337.2,True
1,10,4.67923,0.46884,2.38118,0.61585,0.47855,0.001,373.5,False
1,11,4.36138,0.49152,2.44385,0.61738,0.46182,0.001,410.9,False
1,12,4.23269,0.50524,2.17777,0.63796,0.48264,0.001,448.9,True
1,13,4.14928,0.50257,2.01574,0.65549,0.50115,0.001,485.6,True
1,14,4.00023,0.52449,2.17176,0.65473,0.50229,0.001,522.4,True
1,15,3.75322,0.54279,2.1194,0.6593,0.5023,0.001,559.8,True
1,16,3.61535,0.55308,2.01451,0.65625,0.50458,0.001,596.8,True
1,17,3.70402,0.54774,2.1429,0.65396,0.50312,0.001,634.2,False
1,18,3.46656,0.5668,2.19013,0.64482,0.50538,0.001,671.3,True
1,19,3.35641,0.57576,1.85553,0.68521,0.52619,0.001,707.6,True
1,20,3.4374,0.56642,1.91931,0.6814,0.53691,0.001,745.3,True
1,21,3.07231,0.58929,1.98238,0.66311,0.52567,0.001,782.4,False
1,22,3.21,0.58643,1.77424,0.69131,0.52989,0.001,817.6,False
1,23,3.1813,0.58776,1.8503,0.69436,0.52802,0.001,855.0,False
1,24,3.13038,0.58529,1.83106,0.68216,0.52977,0.0001,892.7,False
1,25,3.04143,0.59405,1.81304,0.69055,0.53377,0.0001,929.7,False
2,1,2.75014,0.61788,1.79697,0.69817,0.55784,1e-05,987.5,True
2,2,2.08901,0.66724,1.37961,0.72713,0.5815,1e-05,1036.0,True
2,3,1.70034,0.6821,1.12774,0.75,0.61143,1e-05,1084.5,True
2,4,1.33456,0.70974,0.96302,0.76372,0.63075,1e-05,1133.1,True
2,5,1.28109,0.70212,0.90731,0.76753,0.64089,1e-05,1181.6,True
2,6,1.09882,0.73261,0.8451,0.78201,0.65793,1e-05,1229.8,True
2,7,1.02372,0.74957,0.93111,0.78201,0.64169,1e-05,1278.4,False
2,8,0.88896,0.76996,0.85272,0.79649,0.68728,1e-05,1327.3,True
2,9,0.85248,0.77682,0.78792,0.79649,0.69919,1e-05,1375.9,True
2,10,0.78636,0.78216,0.83444,0.79116,0.66802,1e-05,1424.4,False
2,11,0.79305,0.78769,0.80479,0.8003,0.68011,1e-05,1472.5,False
2,12,0.70535,0.80408,0.76124,0.80412,0.69335,1e-05,1521.0,False
2,13,0.68612,0.80751,0.70312,0.82165,0.72472,1e-05,1570.3,True
2,14,0.66324,0.81742,0.67749,0.81631,0.72212,1e-05,1618.6,False
2,15,0.59566,0.82866,0.7416,0.80488,0.71246,1e-05,1667.0,False
2,16,0.61042,0.83114,0.68319,0.82241,0.70997,1e-05,1715.4,False
2,17,0.58252,0.83533,0.63258,0.82927,0.74105,1e-05,1764.0,True
2,18,0.59421,0.82676,0.59184,0.82622,0.73818,1e-05,1812.0,False
2,19,0.5607,0.83819,0.64352,0.82088,0.72391,1e-05,1860.4,False
2,20,0.51374,0.8462,0.58453,0.83613,0.73382,1e-05,1909.5,False
2,21,0.511,0.84677,0.58742,0.83079,0.75689,1e-05,1958.7,True
2,22,0.49764,0.85001,0.55779,0.84375,0.74064,1e-05,2007.4,False
2,23,0.45412,0.86488,0.59795,0.83765,0.72734,1e-05,2056.3,False
2,24,0.46848,0.86202,0.58073,0.83003,0.73763,1e-05,2105.0,False
2,25,0.46036,0.86411,0.54734,0.84223,0.76736,1e-05,2154.0,True
2,26,0.42793,0.8725,0.50051,0.86433,0.76318,1e-05,2203.3,False
2,27,0.37608,0.88165,0.55969,0.83918,0.7424,1e-05,2251.7,False
2,28,0.40306,0.87955,0.53554,0.8407,0.75039,1e-05,2300.5,False
2,29,0.40224,0.87498,0.56676,0.84451,0.73459,1e-05,2349.1,False
2,30,0.39054,0.87993,0.54112,0.84527,0.74309,1e-05,2398.1,False
2,31,0.39169,0.88165,0.48467,0.86052,0.77439,1e-05,2446.4,True
2,32,0.34551,0.89403,0.49199,0.86204,0.77596,1e-05,2495.1,True
2,33,0.35556,0.88927,0.53923,0.84909,0.76365,1e-05,2543.2,False
2,34,0.36575,0.88927,0.50229,0.85899,0.7849,1e-05,2592.2,True
2,35,0.36834,0.88755,0.50203,0.85976,0.77174,1e-05,2640.5,False
2,36,0.32634,0.89823,0.52822,0.84832,0.77314,1e-05,2689.0,False
2,37,0.3372,0.89708,0.62685,0.82851,0.75287,1e-05,2737.1,False
2,38,0.33287,0.90071,0.4918,0.85595,0.75655,1e-05,2786.1,False
2,39,0.33311,0.90051,0.54059,0.84527,0.75704,1e-05,2834.3,False
2,40,0.34317,0.89461,0.44557,0.87119,0.78137,1.0000000000000002e-06,2882.7,False
2,41,0.31392,0.90356,0.4672,0.86585,0.76819,1.0000000000000002e-06,2930.9,False
2,42,0.30927,0.89842,0.46852,0.86585,0.75972,1.0000000000000002e-06,2979.8,False
2,43,0.30701,0.90738,0.47044,0.86357,0.76736,1.0000000000000002e-06,3028.8,False
2,44,0.29558,0.90719,0.48081,0.86433,0.77006,1.0000000000000002e-06,3077.4,False
2,45,0.30323,0.90471,0.47539,0.87043,0.77188,1.0000000000000002e-06,3125.8,False
2,46,0.30131,0.90356,0.46374,0.87043,0.78245,1.0000000000000002e-07,3174.7,False
2,47,0.29981,0.90928,0.45225,0.86738,0.77074,1.0000000000000002e-07,3223.6,False
2,48,0.31533,0.90375,0.47411,0.86814,0.76781,1.0000000000000002e-07,3272.5,False
2,49,0.2796,0.911,0.48535,0.85823,0.75834,1.0000000000000002e-07,3321.0,False
