file,test_index,true,predicted,confidence,correct
err_000_coral-as-seaAnemone.png,3,coral,seaAnemone,1.0,False
err_001_eel-as-fish.png,388,eel,fish,0.9163,False
err_002_fish-as-shark.png,505,fish,shark,1.0,False
err_003_fishInGroups-as-seaUrchin.png,974,fishInGroups,seaUrchin,0.9909,False
err_004_flatworm-as-seaSlug.png,1031,flatworm,seaSlug,1.0,False
err_005_jellyfish-as-seaUrchin.png,1047,jellyfish,seaUrchin,0.9999,False
err_006_marine_dolphin-as-fishInGroups.png,1061,marine_dolphin,fishInGroups,0.9933,False
err_007_octopus-as-fish.png,1076,octopus,fish,0.9647,False
err_008_rayfish-as-turtle.png,1127,rayfish,turtle,0.9732,False
err_009_seaAnemone-as-seaUrchin.png,1276,seaAnemone,seaUrchin,1.0,False
err_010_seaCucumber-as-eel.png,1402,seaCucumber,eel,0.8096,False
err_011_seaSlug-as-flatworm.png,1425,seaSlug,flatworm,0.9996,False
err_012_seaUrchin-as-coral.png,1443,seaUrchin,coral,0.7691,False
err_013_shark-as-rayfish.png,1466,shark,rayfish,0.8072,False
err_014_shrimp-as-crab.png,1480,shrimp,crab,1.0,False
err_015_squid-as-fish.png,1494,squid,fish,0.3288,False
err_016_starfish-as-fish.png,1529,starfish,fish,0.9673,False
err_017_turtle-as-shark.png,1605,turtle,shark,0.981,False
err_018_coral-as-eel.png,217,coral,eel,0.9999,False
err_019_eel-as-fish.png,392,eel,fish,0.8642,False
zz_ok_020_coral-as-coral.png,292,coral,coral,1.0,True
zz_ok_021_crab-as-crab.png,348,crab,crab,1.0,True
zz_ok_022_diver-as-diver.png,359,diver,diver,1.0,True
zz_ok_023_eel-as-eel.png,376,eel,eel,1.0,True
zz_ok_024_fish-as-fish.png,441,fish,fish,1.0,True
zz_ok_025_fishInGroups-as-fishInGroups.png,995,fishInGroups,fishInGroups,1.0,True
zz_ok_026_flatworm-as-flatworm.png,1028,flatworm,flatworm,0.9997,True
zz_ok_027_jellyfish-as-jellyfish.png,1037,jellyfish,jellyfish,1.0,True
zz_ok_028_marine_dolphin-as-marine_dolphin.png,1065,marine_dolphin,marine_dolphin,1.0,True
zz_ok_029_octopus-as-octopus.png,1071,octopus,octopus,1.0,True
zz_ok_030_rayfish-as-rayfish.png,1081,rayfish,rayfish,1.0,True
zz_ok_031_seaAnemone-as-seaAnemone.png,1306,seaAnemone,seaAnemone,1.0,True
zz_ok_032_seaCucumber-as-seaCucumber.png,1399,seaCucumber,seaCucumber,1.0,True
zz_ok_033_seaSlug-as-seaSlug.png,1415,seaSlug,seaSlug,1.0,True
zz_ok_034_seaUrchin-as-seaUrchin.png,1431,seaUrchin,seaUrchin,1.0,True
zz_ok_035_shark-as-shark.png,1457,shark,shark,1.0,True
zz_ok_036_shrimp-as-shrimp.png,1476,shrimp,shrimp,1.0,True
zz_ok_037_squid-as-squid.png,1486,squid,squid,1.0,True
zz_ok_038_starfish-as-starfish.png,1496,starfish,starfish,1.0,True
zz_ok_039_turtle-as-turtle.png,1543,turtle,turtle,1.0,True
