class,support,precision,recall,f1,top3_recall,mean_conf_correct,mean_conf_wrong,mean_true_prob_when_wrong
marine_dolphin,10,0.5556,0.5,0.5263,0.7,0.903,0.8096,0.1025
fishInGroups,72,0.52,0.7222,0.6047,0.9722,0.9424,0.7507,0.1923
seaSlug,20,0.5833,0.7,0.6364,0.9,0.959,0.8142,0.0673
flatworm,13,0.6667,0.6154,0.64,0.8462,0.8557,0.8105,0.0372
eel,41,0.5645,0.8537,0.6796,0.9268,0.956,0.6974,0.0549
shark,19,0.5714,0.8421,0.6809,0.9474,0.9638,0.6776,0.1679
seaCucumber,10,0.7778,0.7,0.7368,1.0,0.9791,0.6297,0.1804
octopus,10,0.875,0.7,0.7778,0.8,0.8462,0.6171,0.0512
seaUrchin,29,0.6829,0.9655,0.8,1.0,0.9969,0.7691,0.0658
coral,348,0.9046,0.7902,0.8436,0.9655,0.8951,0.7054,0.1336
crab,11,0.7333,1.0,0.8462,1.0,0.9831,,
squid,10,0.8182,0.9,0.8571,0.9,0.9199,0.3288,0.005
rayfish,95,0.84,0.8842,0.8615,0.9684,0.9728,0.7316,0.119
diver,13,0.7647,1.0,0.8667,1.0,0.9984,,
seaAnemone,221,0.8688,0.8688,0.8688,0.9774,0.9533,0.7178,0.1433
turtle,76,0.9028,0.8553,0.8784,0.9211,0.9836,0.7648,0.0397
fish,538,0.9073,0.855,0.8804,0.987,0.9508,0.7656,0.1504
shrimp,11,1.0,0.8182,0.9,0.9091,0.9946,0.8904,0.0134
jellyfish,25,0.9565,0.88,0.9167,1.0,0.9832,0.8857,0.101
starfish,40,0.925,0.925,0.925,0.975,0.9917,0.8183,0.0352
